_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-01,84638,130620,81273.0,49322,112843.0,73972,58247,41.1,43.2,41.0,45.7,40.7,40.9,38.8,2004-01,1,2004-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,388.0,285.0,103.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-02,84623,129330,81194.0,50364,113061.0,74225,58669,41.1,42.7,40.9,46.7,40.8,41.1,39.1,2004-02,1,2004-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,326.0,219.0,107.0,0.0,-1.0,-0.1,2.1,0.2,0.3,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-03,86536,131585,83137.0,51719,115218.0,76201,60399,42.1,43.5,41.9,47.9,41.6,42.2,40.2,2004-03,1,2004-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,453.0,313.0,140.0,2.3,1.7,2.4,2.7,1.9,2.7,2.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-04,87373,130454,84241.0,53143,115247.0,78082,62326,42.5,43.1,42.5,49.2,41.6,43.2,41.5,2004-04,1,2004-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,571.0,391.0,180.0,1.0,-0.9,1.3,2.8,0.0,2.5,3.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-05,89493,132762,86466.0,54678,117377.0,80340,64442,43.5,43.9,43.6,50.7,42.4,44.5,42.9,2004-05,1,2004-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,502.0,335.0,167.0,2.4,1.8,2.6,2.9,1.8,2.9,3.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-06,92485,136572,89391.0,56901,121174.0,83191,66935,44.9,45.1,45.1,52.7,43.7,46.0,44.6,2004-06,1,2004-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,525.0,361.0,164.0,3.3,2.9,3.4,4.1,3.2,3.5,3.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-07,96401,143558,93285.0,58734,125918.0,86122,69178,46.8,47.4,47.0,54.4,45.4,47.7,46.1,2004-07,1,2004-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,652.0,489.0,163.0,4.2,5.1,4.4,3.2,3.9,3.5,3.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-08,101315,151700,98214.0,61241,131712.0,90186,72334,49.2,50.1,49.5,56.7,47.5,49.9,48.2,2004-08,1,2004-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,512.0,382.0,130.0,5.1,5.7,5.3,4.3,4.6,4.7,4.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-09,102220,153471,99193.0,61552,132519.0,90814,72793,49.7,50.7,50.0,57.0,47.8,50.3,48.5,2004-09,1,2004-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,497.0,355.0,142.0,0.9,1.2,1.0,0.5,0.6,0.7,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-10,102655,154137,99411.0,62088,133810.0,91003,73013,49.9,50.9,50.1,57.5,48.3,50.4,48.6,2004-10,1,2004-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,590.0,426.0,164.0,0.4,0.4,0.2,0.9,1.0,0.2,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-11,103013,154524,99516.0,62368,135149.0,91347,73387,50.1,51.0,50.2,57.8,48.8,50.6,48.9,2004-11,1,2004-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,516.0,367.0,149.0,0.3,0.3,0.1,0.5,1.0,0.4,0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2004-12,104124,155437,100326.0,63507,137565.0,92487,74650,50.6,51.4,50.6,58.8,49.7,51.2,49.7,2004-12,1,2004-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,465.0,314.0,151.0,1.1,0.6,0.8,1.8,1.8,1.2,1.7,,,,,,,,,
