_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-01,183658,267270,176137.0,99700,254510.0,162078,134064,89.2,88.3,88.8,92.4,91.9,89.7,89.3,-3.0,-2.4,-3.0,-5.5,-2.6,-2.9,-2.9,-1.9,-1.7,-2.0,-2.3,-1.1,-2.1,-2.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,270.0,247.0,23.0,82.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-02,182444,266143,174726.0,98500,255230.0,160827,133000,88.7,87.9,88.1,91.2,92.1,89.0,88.6,-2.8,-2.1,-2.7,-5.7,-3.3,-2.8,-2.7,-0.7,-0.4,-0.8,-1.2,0.3,-0.8,-0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,213.0,194.0,19.0,53.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-03,180635,263365,172667.0,97874,255897.0,159260,131598,87.8,87.0,87.1,90.7,92.4,88.2,87.6,-3.4,-3.0,-3.4,-5.2,-3.3,-3.3,-3.2,-1.0,-1.0,-1.2,-0.6,0.3,-1.0,-1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,275.0,236.0,39.0,69.0,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-04,181158,264475,173086.0,97496,257477.0,159592,132173,88.0,87.4,87.3,90.3,92.9,88.3,88.0,-3.7,-2.9,-3.7,-6.0,-3.6,-4.0,-3.8,0.3,0.4,0.2,-0.4,0.6,0.2,0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,133.0,121.0,12.0,41.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-05,182540,265704,174129.0,98653,262197.0,161132,133536,88.7,87.8,87.8,91.4,94.6,89.2,88.9,-5.0,-4.2,-5.3,-7.1,-2.9,-5.2,-5.3,0.8,0.5,0.6,1.2,1.8,1.0,1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,150.0,146.0,4.0,32.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-06,185595,270642,177280.0,99445,264261.0,163872,135688,90.2,89.4,89.4,92.1,95.4,90.7,90.3,-4.6,-3.2,-4.9,-8.2,-2.5,-5.1,-5.4,1.7,1.9,1.8,0.8,0.8,1.7,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,211.0,194.0,17.0,61.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-07,183091,267449,175100.0,98458,258551.0,161346,133374,89.0,88.4,88.3,91.2,93.3,89.3,88.8,-6.9,-5.6,-7.0,-10.1,-5.9,-7.2,-7.8,-1.3,-1.2,-1.2,-1.0,-2.2,-1.5,-1.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,227.0,201.0,26.0,77.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-08,181535,264643,173860.0,97559,253879.0,160274,132645,88.2,87.4,87.7,90.4,91.6,88.7,88.3,-7.6,-6.6,-7.6,-10.7,-7.3,-7.6,-8.1,-0.8,-1.0,-0.7,-0.9,-1.8,-0.7,-0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,283.0,250.0,33.0,108.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-09,181304,263009,173571.0,97930,254218.0,160616,133184,88.1,86.9,87.5,90.7,91.8,88.9,88.7,-6.4,-6.0,-6.3,-8.8,-6.6,-5.9,-6.5,-0.1,-0.6,-0.2,0.4,0.1,0.2,0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,459.0,406.0,53.0,125.0,334.0
http://landregistry.data.gov.uk/data/ukhpi/region/aberdeenshire/month/2020-10,188068,271814,180340.0,101547,260826.0,167130,138879,91.4,89.8,90.9,94.1,94.1,92.5,92.5,-1.8,-1.6,-1.7,-4.1,-2.5,-1.3,-1.4,3.7,3.3,3.9,3.7,2.6,4.1,4.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/aberdeenshire,540.0,492.0,48.0,170.0,370.0
