_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-01,54669,92462,54271.0,38461,51937.0,60309,47934,14.5,14.7,14.4,17.1,15.9,14.0,13.3,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,79.0,68.0,11.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-02,55864,93680,55454.0,39130,53163.0,61864,49106,14.8,14.8,14.7,17.4,16.2,14.3,13.6,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,69.0,64.0,5.0,2.2,1.3,2.2,1.7,2.4,2.6,2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-03,55880,93441,55464.0,39142,53321.0,61854,49217,14.8,14.8,14.7,17.4,16.3,14.3,13.7,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,103.0,98.0,5.0,0.0,-0.3,0.0,0.0,0.3,0.0,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-04,55596,92553,55184.0,38956,53003.0,61549,49056,14.7,14.7,14.6,17.3,16.2,14.2,13.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,84.0,82.0,2.0,-0.5,-0.9,-0.5,-0.5,-0.6,-0.5,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-05,53483,89065,53086.0,37540,51018.0,59172,47170,14.2,14.1,14.1,16.7,15.6,13.7,13.1,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,77.0,72.0,5.0,-3.8,-3.8,-3.8,-3.6,-3.7,-3.9,-3.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-06,53637,89401,53237.0,37747,51197.0,59366,47185,14.2,14.2,14.1,16.8,15.6,13.7,13.1,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,109.0,107.0,2.0,0.3,0.4,0.3,0.6,0.4,0.3,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-07,53421,89367,53029.0,37380,50836.0,59187,47018,14.2,14.2,14.1,16.6,15.5,13.7,13.0,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,111.0,106.0,5.0,-0.4,0.0,-0.4,-1.0,-0.7,-0.3,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-08,54204,91191,53817.0,37708,51329.0,60049,47751,14.4,14.5,14.3,16.8,15.7,13.9,13.3,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,99.0,98.0,1.0,1.5,2.0,1.5,0.9,1.0,1.5,1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-09,52740,88993,52383.0,36452,49456.0,58464,46543,14.0,14.1,13.9,16.2,15.1,13.5,12.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,87.0,87.0,,-2.7,-2.4,-2.7,-3.3,-3.6,-2.6,-2.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-10,52906,89369,52535.0,36645,49942.0,58733,46523,14.0,14.2,13.9,16.3,15.3,13.6,12.9,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,96.0,96.0,,0.3,0.4,0.3,0.5,1.0,0.5,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-11,53699,90530,53308.0,37404,51034.0,59636,47079,14.2,14.3,14.1,16.6,15.6,13.8,13.1,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,103.0,101.0,2.0,1.5,1.3,1.5,2.1,2.2,1.5,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1995-12,52824,88998,52416.0,36861,50771.0,58676,46262,14.0,14.1,13.9,16.4,15.5,13.6,12.8,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,80.0,77.0,3.0,-1.6,-1.7,-1.7,-1.4,-0.5,-1.6,-1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-01,51565,86917,51158.0,35855,49771.0,57326,45204,13.7,13.8,13.6,15.9,15.2,13.3,12.5,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,68.0,67.0,1.0,-2.4,-2.3,-2.4,-2.7,-2.0,-2.3,-2.3,-5.7,-6.0,-5.7,-6.8,-4.2,-4.9,-5.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-02,49561,83434,49160.0,34341,48109.0,55179,43504,13.1,13.2,13.0,15.3,14.7,12.8,12.1,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,68.0,67.0,1.0,-3.9,-4.0,-3.9,-4.2,-3.3,-3.7,-3.8,-11.3,-10.9,-11.3,-12.2,-9.5,-10.8,-11.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-03,50593,85340,50177.0,34912,49391.0,56448,44367,13.4,13.5,13.3,15.5,15.1,13.1,12.3,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,89.0,89.0,,2.1,2.3,2.1,1.7,2.7,2.3,2.0,-9.5,-8.7,-9.5,-10.8,-7.4,-8.7,-9.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-04,51625,86847,51195.0,35729,50593.0,57487,45385,13.7,13.8,13.6,15.9,15.5,13.3,12.6,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,118.0,116.0,2.0,2.0,1.8,2.0,2.3,2.4,1.8,2.3,-7.1,-6.2,-7.2,-8.3,-4.5,-6.6,-7.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-05,53502,90074,53068.0,36973,52019.0,59486,47162,14.2,14.3,14.1,16.4,15.9,13.8,13.1,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,116.0,114.0,2.0,3.6,3.7,3.7,3.5,2.8,3.5,3.9,0.0,1.1,0.0,-1.5,2.0,0.5,0.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-06,53666,90127,53231.0,37303,52136.0,59541,47341,14.2,14.3,14.1,16.6,15.9,13.8,13.1,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,111.0,110.0,1.0,0.3,0.1,0.3,0.9,0.2,0.1,0.4,0.1,0.8,0.0,-1.2,1.8,0.3,0.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/adur/month/1996-07,54949,92577,54515.0,38031,52892.0,61041,48427,14.6,14.7,14.5,16.9,16.2,14.1,13.4,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/adur,125.0,124.0,1.0,2.4,2.7,2.4,2.0,1.5,2.5,2.3,2.9,3.6,2.8,1.7,4.0,3.1,3.0,,
