_about,average_price,house_price_index,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,percentage_change,percentage_annual_change
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-01,107491,64.8,2005-01,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,79.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-02,107491,64.8,2005-02,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,79.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-03,107491,64.8,2005-03,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,79.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-04,107298,64.6,2005-04,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,245.0,-0.2,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-05,107298,64.6,2005-05,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,245.0,-0.2,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-06,107298,64.6,2005-06,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,245.0,-0.2,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-07,116139,70.0,2005-07,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,252.0,8.2,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-08,116139,70.0,2005-08,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,252.0,8.2,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-09,116139,70.0,2005-09,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,252.0,8.2,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-10,120436,72.6,2005-10,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,298.0,3.7,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-11,120436,72.6,2005-11,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,298.0,3.7,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2005-12,120436,72.6,2005-12,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,298.0,3.7,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-01,122114,73.6,2006-01,3,2006-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,254.0,1.4,13.6
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-02,122114,73.6,2006-02,3,2006-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,254.0,1.4,13.6
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-03,122114,73.6,2006-03,3,2006-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,254.0,1.4,13.6
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-04,133693,80.5,2006-04,3,2006-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,339.0,9.5,24.6
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-05,133693,80.5,2006-05,3,2006-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,339.0,9.5,24.6
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-06,133693,80.5,2006-06,3,2006-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,339.0,9.5,24.6
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-07,150090,90.4,2006-07,3,2006-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,317.0,12.3,29.2
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-08,150090,90.4,2006-08,3,2006-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,317.0,12.3,29.2
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-09,150090,90.4,2006-09,3,2006-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,317.0,12.3,29.2
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-10,168985,101.8,2006-10,3,2006-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,296.0,12.6,40.3
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-11,168985,101.8,2006-11,3,2006-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,296.0,12.6,40.3
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2006-12,168985,101.8,2006-12,3,2006-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,296.0,12.6,40.3
