_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-01,136168,82.0,4.6,0.0,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-02,136168,82.0,4.6,0.0,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-03,136168,82.0,4.6,0.0,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-04,137184,82.6,5.2,0.7,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,66.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-05,137184,82.6,5.2,0.7,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,66.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-06,137184,82.6,5.2,0.7,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,66.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-07,138746,83.6,2.5,1.1,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-08,138746,83.6,2.5,1.1,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-09,138746,83.6,2.5,1.1,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-10,140998,84.9,3.5,1.6,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,252.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-11,140998,84.9,3.5,1.6,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,252.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2020-12,140998,84.9,3.5,1.6,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,252.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-01,143619,86.5,5.5,1.9,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-02,143619,86.5,5.5,1.9,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-03,143619,86.5,5.5,1.9,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-04,148296,89.3,8.1,3.3,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-05,148296,89.3,8.1,3.3,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-06,148296,89.3,8.1,3.3,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-07,151947,91.5,9.5,2.5,2021-07,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,254.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-08,151947,91.5,9.5,2.5,2021-08,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,254.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-09,151947,91.5,9.5,2.5,2021-09,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,254.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-10,152367,91.8,8.1,0.3,2021-10,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-11,152367,91.8,8.1,0.3,2021-11,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2021-12,152367,91.8,8.1,0.3,2021-12,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-01,155408,93.6,8.2,2.0,2022-01,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-02,155408,93.6,8.2,2.0,2022-02,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-03,155408,93.6,8.2,2.0,2022-03,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-04,163062,98.2,10.0,4.9,2022-04,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-05,163062,98.2,10.0,4.9,2022-05,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-06,163062,98.2,10.0,4.9,2022-06,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-07,168550,101.5,10.9,3.4,2022-07,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-08,168550,101.5,10.9,3.4,2022-08,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-09,168550,101.5,10.9,3.4,2022-09,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-10,168309,101.4,10.5,-0.1,2022-10,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,225.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-11,168309,101.4,10.5,-0.1,2022-11,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,225.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2022-12,168309,101.4,10.5,-0.1,2022-12,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,225.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-01,165990,100.0,6.8,-1.4,2023-01,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-02,165990,100.0,6.8,-1.4,2023-02,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-03,165990,100.0,6.8,-1.4,2023-03,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-04,166865,100.5,2.3,0.5,2023-04,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-05,166865,100.5,2.3,0.5,2023-05,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-06,166865,100.5,2.3,0.5,2023-06,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-07,173472,104.5,2.9,4.0,2023-07,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-08,173472,104.5,2.9,4.0,2023-08,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-09,173472,104.5,2.9,4.0,2023-09,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-10,171530,103.3,1.9,-1.1,2023-10,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-11,171530,103.3,1.9,-1.1,2023-11,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2023-12,171530,103.3,1.9,-1.1,2023-12,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,191.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-01,173461,104.5,4.5,1.1,2024-01,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-02,173461,104.5,4.5,1.1,2024-02,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-03,173461,104.5,4.5,1.1,2024-03,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-04,178688,107.6,7.1,3.0,2024-04,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-05,178688,107.6,7.1,3.0,2024-05,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-06,178688,107.6,7.1,3.0,2024-06,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-07,184171,111.0,6.2,3.1,2024-07,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-08,184171,111.0,6.2,3.1,2024-08,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-09,184171,111.0,6.2,3.1,2024-09,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-10,186384,112.3,8.7,1.2,2024-10,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-11,186384,112.3,8.7,1.2,2024-11,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2024-12,186384,112.3,8.7,1.2,2024-12,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-01,189792,114.3,9.4,1.8,2025-01,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-02,189792,114.3,9.4,1.8,2025-02,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-03,189792,114.3,9.4,1.8,2025-03,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-04,189474,114.1,6.0,-0.2,2025-04,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-05,189474,114.1,6.0,-0.2,2025-05,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-06,189474,114.1,6.0,-0.2,2025-06,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-07,196263,118.2,6.6,3.6,2025-07,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-08,196263,118.2,6.6,3.6,2025-08,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-09,196263,118.2,6.6,3.6,2025-09,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,
http://landregistry.data.gov.uk/data/ukhpi/region/antrim-and-newtownabbey/month/2025-10,196263,118.2,6.6,3.6,2025-10,3,2025-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/antrim-and-newtownabbey,
