_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-01,73543,132101,72748.0,51822,103324.0,78676,60689,41.5,42.4,41.7,44.8,40.1,39.8,39.0,2004-01,1,2004-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,165.0,121.0,44.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-02,71563,127039,70542.0,51085,101757.0,76522,59319,40.4,40.7,40.4,44.2,39.5,38.7,38.1,2004-02,1,2004-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,150.0,102.0,48.0,-2.7,-3.8,-3.0,-1.4,-1.5,-2.7,-2.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-03,66821,118202,65865.0,47809,95024.0,71550,55563,37.7,37.9,37.7,41.4,36.9,36.2,35.7,2004-03,1,2004-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,210.0,149.0,61.0,-6.6,-7.0,-6.6,-6.4,-6.6,-6.5,-6.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-04,67097,116189,66103.0,48548,95579.0,72716,56991,37.8,37.2,37.9,42.0,37.1,36.8,36.6,2004-04,1,2004-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,246.0,182.0,64.0,0.4,-1.7,0.4,1.5,0.6,1.6,2.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-05,68518,117677,67587.0,49794,97190.0,74535,58710,38.6,37.7,38.7,43.1,37.7,37.7,37.7,2004-05,1,2004-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,198.0,139.0,59.0,2.1,1.3,2.2,2.6,1.7,2.5,3.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-06,78515,134353,77407.0,57285,111571.0,85443,67312,44.3,43.1,44.3,49.6,43.3,43.2,43.2,2004-06,1,2004-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,229.0,174.0,55.0,14.6,14.2,14.5,15.0,14.8,14.6,14.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-07,83442,144502,82515.0,60420,117382.0,90393,70753,47.1,46.3,47.3,52.3,45.6,45.7,45.4,2004-07,1,2004-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,258.0,204.0,54.0,6.3,7.6,6.6,5.5,5.2,5.8,5.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-08,88696,154905,87905.0,63865,123832.0,95811,74622,50.0,49.7,50.4,55.3,48.1,48.4,47.9,2004-08,1,2004-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,231.0,190.0,41.0,6.3,7.2,6.5,5.7,5.5,6.0,5.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-09,85796,150216,85172.0,61627,119097.0,92657,72080,48.4,48.2,48.8,53.3,46.3,46.9,46.3,2004-09,1,2004-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,226.0,168.0,58.0,-3.3,-3.0,-3.1,-3.5,-3.8,-3.3,-3.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2004-10,83501,145809,82699.0,60313,116833.0,89854,70055,47.1,46.7,47.4,52.2,45.4,45.4,45.0,2004-10,1,2004-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,232.0,171.0,61.0,-2.7,-2.9,-2.9,-2.1,-1.9,-3.0,-2.8,,,,,,,,,
