_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-01,137919,237779,135328.0,91411,206973.0,153641,120997,77.8,76.2,77.5,79.1,80.4,77.7,77.7,4.9,6.1,4.9,3.0,4.7,5.9,5.9,-2.3,-2.0,-2.3,-2.6,-1.7,-2.3,-2.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,128.0,126.0,2.0,54.0,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-02,134643,232624,132131.0,89087,204615.0,149905,118160,75.9,74.6,75.7,77.1,79.5,75.8,75.8,2.6,4.0,2.6,0.5,1.7,3.5,3.6,-2.4,-2.2,-2.4,-2.5,-1.1,-2.4,-2.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,97.0,93.0,4.0,58.0,39.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-03,131051,225617,128604.0,87065,202183.0,145866,114958,73.9,72.3,73.7,75.3,78.5,73.8,73.8,-0.7,-0.2,-0.6,-1.6,-0.8,0.0,0.1,-2.7,-3.0,-2.7,-2.3,-1.2,-2.7,-2.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,121.0,113.0,8.0,61.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-04,129204,223158,126760.0,85470,200423.0,143763,113666,72.9,71.5,72.6,74.0,77.8,72.7,73.0,-1.4,-0.4,-1.3,-2.6,-1.4,-0.9,-0.8,-1.4,-1.1,-1.4,-1.8,-0.9,-1.4,-1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,51.0,46.0,5.0,26.0,25.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-05,125359,216030,122934.0,83034,196315.0,139635,110403,70.7,69.3,70.4,71.8,76.2,70.6,70.9,-3.5,-2.4,-3.5,-4.6,-1.6,-3.1,-3.3,-3.0,-3.2,-3.0,-2.8,-2.0,-2.9,-2.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,49.0,48.0,1.0,27.0,22.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-06,127294,220500,124890.0,83775,197354.0,141951,112213,71.8,70.7,71.5,72.5,76.6,71.8,72.0,-1.1,1.1,-1.1,-3.4,0.7,-0.5,-1.0,1.5,2.1,1.6,0.9,0.5,1.7,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,58.0,56.0,2.0,32.0,26.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-07,128564,222960,126198.0,84877,197156.0,142921,112608,72.5,71.5,72.3,73.4,76.6,72.3,72.3,-0.4,1.9,-0.3,-2.5,0.2,0.1,-0.8,1.0,1.1,1.0,1.3,-0.1,0.7,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,96.0,87.0,9.0,61.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-08,133198,230176,130798.0,87970,202529.0,148537,117133,75.1,73.8,74.9,76.1,78.7,75.1,75.2,1.6,3.3,1.7,-0.4,1.7,2.7,1.8,3.6,3.2,3.6,3.6,2.7,3.9,4.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,110.0,103.0,7.0,66.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-09,134698,231296,132244.0,89169,205689.0,150748,119100,76.0,74.2,75.7,77.2,79.9,76.2,76.4,-0.5,0.4,-0.4,-2.2,-0.6,1.0,0.2,1.1,0.5,1.1,1.4,1.6,1.5,1.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,215.0,209.0,6.0,114.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/argyll-and-bute/month/2020-10,136378,233664,133973.0,90147,205531.0,153009,121277,76.9,74.9,76.7,78.0,79.8,77.4,77.8,-2.4,-1.5,-2.2,-4.0,-3.5,-1.2,-1.2,1.2,1.0,1.3,1.1,-0.1,1.5,1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/argyll-and-bute,259.0,246.0,13.0,145.0,114.0
