_about,average_price,house_price_index,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,percentage_change,percentage_annual_change
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-01,99340,65.2,2005-01,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,111.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-02,99340,65.2,2005-02,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,111.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-03,99340,65.2,2005-03,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,111.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-04,103305,67.8,2005-04,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,320.0,4.0,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-05,103305,67.8,2005-05,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,320.0,4.0,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-06,103305,67.8,2005-06,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,320.0,4.0,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-07,106880,70.1,2005-07,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,323.0,3.5,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-08,106880,70.1,2005-08,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,323.0,3.5,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-09,106880,70.1,2005-09,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,323.0,3.5,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-10,112775,74.0,2005-10,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,400.0,5.5,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-11,112775,74.0,2005-11,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,400.0,5.5,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2005-12,112775,74.0,2005-12,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,400.0,5.5,
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-01,118369,77.6,2006-01,3,2006-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,346.0,5.0,19.2
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-02,118369,77.6,2006-02,3,2006-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,346.0,5.0,19.2
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-03,118369,77.6,2006-03,3,2006-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,346.0,5.0,19.2
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-04,130728,85.7,2006-04,3,2006-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,411.0,10.4,26.5
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-05,130728,85.7,2006-05,3,2006-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,411.0,10.4,26.5
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-06,130728,85.7,2006-06,3,2006-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,411.0,10.4,26.5
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-07,147130,96.5,2006-07,3,2006-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,399.0,12.5,37.7
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-08,147130,96.5,2006-08,3,2006-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,399.0,12.5,37.7
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-09,147130,96.5,2006-09,3,2006-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,399.0,12.5,37.7
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-10,168318,110.4,2006-10,3,2006-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,416.0,14.4,49.3
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-11,168318,110.4,2006-11,3,2006-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,416.0,14.4,49.3
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2006-12,168318,110.4,2006-12,3,2006-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,416.0,14.4,49.3
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-01,191623,125.7,2007-01,3,2007-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,331.0,13.8,61.9
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-02,191623,125.7,2007-02,3,2007-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,331.0,13.8,61.9
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-03,191623,125.7,2007-03,3,2007-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,331.0,13.8,61.9
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-04,204795,134.3,2007-04,3,2007-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,338.0,6.9,56.7
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-05,204795,134.3,2007-05,3,2007-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,338.0,6.9,56.7
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-06,204795,134.3,2007-06,3,2007-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,338.0,6.9,56.7
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-07,209025,137.1,2007-07,3,2007-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,227.0,2.1,42.1
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-08,209025,137.1,2007-08,3,2007-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,227.0,2.1,42.1
http://landregistry.data.gov.uk/data/ukhpi/region/armagh-banbridge-and-craigavon/month/2007-09,209025,137.1,2007-09,3,2007-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/armagh-banbridge-and-craigavon,227.0,2.1,42.1
