_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-01,58521,99371,57360.0,37455,84857.0,60361,46144,17.0,16.8,16.9,19.8,16.2,16.3,15.8,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,222.0,201.0,21.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-02,56936,96090,55774.0,36500,83327.0,58962,44998,16.5,16.3,16.5,19.3,15.9,15.9,15.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,206.0,194.0,12.0,-2.7,-3.3,-2.8,-2.5,-1.8,-2.3,-2.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-03,57106,96051,55935.0,36601,83728.0,59187,45296,16.6,16.3,16.5,19.4,16.0,16.0,15.5,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,226.0,208.0,18.0,0.3,0.0,0.3,0.3,0.5,0.4,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-04,56804,95118,55635.0,36478,83368.0,58953,45169,16.5,16.1,16.4,19.3,15.9,15.9,15.5,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,255.0,235.0,20.0,-0.5,-1.0,-0.5,-0.3,-0.4,-0.4,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-05,58029,97118,56845.0,37241,84916.0,60262,46171,16.8,16.5,16.8,19.7,16.2,16.3,15.8,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,275.0,255.0,20.0,2.2,2.1,2.2,2.1,1.9,2.2,2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-06,59553,99820,58338.0,38299,87145.0,61839,47214,17.3,16.9,17.2,20.3,16.6,16.7,16.2,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,269.0,256.0,13.0,2.6,2.8,2.6,2.8,2.6,2.6,2.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-07,59505,100185,58295.0,38068,86977.0,61790,47134,17.3,17.0,17.2,20.1,16.6,16.7,16.2,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,281.0,261.0,20.0,-0.1,0.4,-0.1,-0.6,-0.2,-0.1,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-08,59822,101258,58618.0,38051,87119.0,62069,47342,17.3,17.2,17.3,20.1,16.6,16.8,16.2,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,320.0,311.0,9.0,0.5,1.1,0.6,0.0,0.2,0.5,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-09,58157,98719,57015.0,36780,84029.0,60357,46077,16.9,16.7,16.8,19.5,16.0,16.3,15.8,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,269.0,263.0,6.0,-2.8,-2.5,-2.7,-3.3,-3.5,-2.8,-2.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/arun/month/1995-10,58226,98860,57061.0,36929,84655.0,60502,45955,16.9,16.8,16.9,19.5,16.1,16.4,15.8,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/arun,296.0,278.0,18.0,0.1,0.1,0.1,0.4,0.7,0.2,-0.3,,,,,,,,,
