_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-01,37897,56888,38214.0,23054,58559.0,35350,27858,20.2,21.2,20.6,24.3,19.8,19.8,19.5,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,97.0,74.0,23.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-02,37504,56086,37774.0,22777,58275.0,35152,27497,20.0,20.9,20.3,24.0,19.7,19.7,19.3,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,89.0,75.0,14.0,-1.0,-1.4,-1.2,-1.2,-0.5,-0.6,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-03,36933,55103,37185.0,22424,57488.0,34623,27125,19.7,20.5,20.0,23.6,19.5,19.4,19.0,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,161.0,133.0,28.0,-1.5,-1.8,-1.6,-1.5,-1.4,-1.5,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-04,36797,54747,37054.0,22360,57236.0,34544,27046,19.6,20.4,20.0,23.6,19.4,19.4,19.0,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,99.0,83.0,16.0,-0.4,-0.6,-0.4,-0.3,-0.4,-0.2,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-05,37346,55487,37629.0,22592,57925.0,35038,27504,19.9,20.6,20.3,23.8,19.6,19.6,19.3,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,123.0,98.0,25.0,1.5,1.4,1.6,1.0,1.2,1.4,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-06,37712,56094,38004.0,22885,58446.0,35423,27705,20.1,20.9,20.5,24.1,19.8,19.9,19.4,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,157.0,133.0,24.0,1.0,1.1,1.0,1.3,0.9,1.1,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-07,36338,54185,36613.0,21907,56357.0,34105,26665,19.4,20.2,19.7,23.1,19.1,19.1,18.7,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,112.0,104.0,8.0,-3.6,-3.4,-3.7,-4.3,-3.6,-3.7,-3.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-08,35184,52719,35449.0,21163,54584.0,32969,25761,18.8,19.6,19.1,22.3,18.5,18.5,18.1,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,131.0,110.0,21.0,-3.2,-2.7,-3.2,-3.4,-3.1,-3.3,-3.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-09,34640,51920,34948.0,20705,53392.0,32410,25403,18.5,19.3,18.8,21.8,18.1,18.2,17.8,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,162.0,123.0,39.0,-1.5,-1.5,-1.4,-2.2,-2.2,-1.7,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-10,36026,54088,36307.0,21635,55823.0,33795,26297,19.2,20.1,19.6,22.8,18.9,18.9,18.4,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,116.0,93.0,23.0,4.0,4.2,3.9,4.5,4.6,4.3,3.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-11,36557,54890,36820.0,22144,56810.0,34351,26626,19.5,20.4,19.8,23.4,19.2,19.3,18.7,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,120.0,100.0,20.0,1.5,1.5,1.4,2.4,1.8,1.6,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1995-12,36675,55149,36856.0,22237,57601.0,34517,26624,19.6,20.5,19.9,23.4,19.5,19.3,18.7,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,123.0,107.0,16.0,0.3,0.5,0.1,0.4,1.4,0.5,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1996-01,35759,53899,35879.0,21494,56600.0,33621,25941,19.1,20.1,19.3,22.7,19.2,18.8,18.2,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,80.0,69.0,11.0,-2.5,-2.3,-2.7,-3.3,-1.7,-2.6,-2.6,-5.6,-5.3,-6.1,-6.8,-3.3,-4.9,-6.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1996-02,35132,52920,35186.0,20899,56080.0,33057,25484,18.7,19.7,19.0,22.0,19.0,18.5,17.9,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,90.0,84.0,6.0,-1.8,-1.8,-1.9,-2.8,-0.9,-1.7,-1.8,-6.3,-5.6,-6.9,-8.2,-3.8,-6.0,-7.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1996-03,35177,53080,35191.0,20905,56459.0,33135,25446,18.8,19.8,19.0,22.0,19.1,18.6,17.8,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,134.0,124.0,10.0,0.1,0.3,0.0,0.0,0.7,0.2,-0.1,-4.8,-3.7,-5.4,-6.8,-1.8,-4.3,-6.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashfield/month/1996-04,36225,54494,36255.0,21645,57937.0,34092,26312,19.3,20.3,19.5,22.8,19.6,19.1,18.4,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashfield,115.0,106.0,9.0,3.0,2.7,3.0,3.5,2.6,2.9,3.4,-1.6,-0.5,-2.2,-3.2,1.2,-1.3,-2.7,,
