_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-01,60395,100045,59618.0,36222,77475.0,57988,46524,17.3,17.7,17.6,20.9,16.8,16.9,16.4,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,114.0,100.0,14.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-02,60274,99012,59429.0,36196,77680.0,58155,46610,17.3,17.6,17.5,20.9,16.8,16.9,16.5,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,79.0,61.0,18.0,-0.2,-1.0,-0.3,-0.1,0.3,0.3,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-03,59915,98013,59048.0,35928,77355.0,57894,46492,17.2,17.4,17.4,20.7,16.7,16.8,16.4,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,155.0,126.0,29.0,-0.6,-1.0,-0.6,-0.7,-0.4,-0.4,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-04,60927,99202,60056.0,36617,78609.0,58985,47415,17.5,17.6,17.7,21.1,17.0,17.2,16.8,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,113.0,86.0,27.0,1.7,1.2,1.7,1.9,1.6,1.9,2.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-05,60177,98019,59365.0,36166,77388.0,58269,46796,17.3,17.4,17.5,20.9,16.8,16.9,16.5,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,140.0,120.0,20.0,-1.2,-1.2,-1.2,-1.2,-1.6,-1.2,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-06,60749,99150,59943.0,36631,78055.0,58834,47088,17.5,17.6,17.7,21.1,16.9,17.1,16.6,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,143.0,106.0,37.0,1.0,1.2,1.0,1.3,0.9,1.0,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-07,59942,98235,59140.0,35950,77049.0,57975,46347,17.2,17.4,17.5,20.7,16.7,16.9,16.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,153.0,127.0,26.0,-1.3,-0.9,-1.3,-1.9,-1.3,-1.5,-1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-08,61212,100775,60376.0,36456,78776.0,59077,47245,17.6,17.9,17.8,21.0,17.1,17.2,16.7,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,156.0,134.0,22.0,2.1,2.6,2.1,1.4,2.2,1.9,1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-09,61914,102206,61156.0,36677,79228.0,59665,47759,17.8,18.1,18.0,21.2,17.2,17.4,16.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,167.0,133.0,34.0,1.1,1.4,1.3,0.6,0.6,1.0,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-10,62918,103912,62092.0,37360,80797.0,60762,48351,18.1,18.4,18.3,21.5,17.5,17.7,17.1,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,123.0,97.0,26.0,1.6,1.7,1.5,1.9,2.0,1.8,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-11,62956,103956,62090.0,37630,81051.0,60869,48268,18.1,18.4,18.3,21.7,17.5,17.7,17.1,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,144.0,118.0,26.0,0.1,0.0,0.0,0.7,0.3,0.2,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/ashford/month/1995-12,61322,101068,60340.0,36719,79661.0,59403,46994,17.6,17.9,17.8,21.2,17.2,17.3,16.6,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/ashford,151.0,101.0,50.0,-2.6,-2.8,-2.8,-2.4,-1.7,-2.4,-2.6,,,,,,,,,
