_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-01,56828,84231,56298.0,33862,60191.0,52189,40713,17.2,17.3,17.2,21.1,16.4,17.0,17.0,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,90.0,79.0,11.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-02,56350,82921,55744.0,33521,60209.0,52094,40550,17.1,17.0,17.0,20.9,16.4,17.0,17.0,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,93.0,85.0,8.0,-0.8,-1.6,-1.0,-1.0,0.0,-0.2,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-03,56214,82405,55577.0,33505,60281.0,52047,40619,17.0,16.9,17.0,20.9,16.4,16.9,17.0,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,115.0,101.0,14.0,-0.2,-0.6,-0.3,0.0,0.1,-0.1,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-04,54712,79908,54080.0,32667,58751.0,50778,39644,16.6,16.4,16.5,20.4,16.0,16.5,16.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,117.0,98.0,19.0,-2.7,-3.0,-2.7,-2.5,-2.5,-2.4,-2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-05,54773,80076,54155.0,32755,58715.0,50819,39625,16.6,16.4,16.5,20.4,16.0,16.5,16.6,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,113.0,100.0,13.0,0.1,0.2,0.1,0.3,-0.1,0.1,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-06,55564,81433,54954.0,33239,59455.0,51570,40021,16.8,16.7,16.8,20.7,16.2,16.8,16.8,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,141.0,118.0,23.0,1.4,1.7,1.5,1.5,1.3,1.5,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-07,56464,83018,55844.0,33513,60418.0,52343,40580,17.1,17.1,17.1,20.9,16.5,17.0,17.0,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,119.0,101.0,18.0,1.6,1.9,1.6,0.8,1.6,1.5,1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-08,56708,83730,56106.0,33351,60539.0,52432,40671,17.2,17.2,17.1,20.8,16.5,17.1,17.0,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,103.0,92.0,11.0,0.4,0.9,0.5,-0.5,0.2,0.2,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-09,56315,83384,55779.0,32910,59723.0,51960,40353,17.1,17.1,17.0,20.5,16.3,16.9,16.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,135.0,115.0,20.0,-0.7,-0.4,-0.6,-1.3,-1.3,-0.9,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/babergh/month/1995-10,56261,83335,55687.0,32972,59914.0,52015,40175,17.0,17.1,17.0,20.6,16.3,16.9,16.8,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/babergh,113.0,95.0,18.0,-0.1,-0.1,-0.2,0.2,0.3,0.1,-0.4,,,,,,,,,
