_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-01,51870,97104,51814.0,42297,47143.0,64825,53769,14.7,15.4,14.6,17.2,16.8,14.2,14.2,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,96.0,91.0,5.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-02,52513,96445,52460.0,42367,47686.0,65599,54489,14.9,15.3,14.7,17.3,17.0,14.4,14.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,95.0,91.0,4.0,1.2,-0.7,1.2,0.2,1.2,1.2,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-03,52701,96518,52633.0,42597,48006.0,65827,54683,15.0,15.3,14.8,17.4,17.1,14.5,14.4,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,144.0,130.0,14.0,0.4,0.1,0.3,0.5,0.7,0.3,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-04,54618,99171,54565.0,43981,49587.0,68208,56694,15.5,15.8,15.3,17.9,17.7,15.0,14.9,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,109.0,95.0,14.0,3.6,2.7,3.7,3.2,3.3,3.6,3.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-05,54524,99597,54463.0,44325,49573.0,68195,56543,15.5,15.8,15.3,18.1,17.7,15.0,14.9,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,149.0,130.0,19.0,-0.2,0.4,-0.2,0.8,0.0,0.0,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-06,55200,100874,55142.0,45032,50161.0,69150,57213,15.7,16.0,15.5,18.4,17.9,15.2,15.1,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,148.0,125.0,23.0,1.2,1.3,1.2,1.6,1.2,1.4,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-07,53569,98129,53523.0,43572,48578.0,67093,55530,15.2,15.6,15.0,17.8,17.3,14.7,14.6,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,117.0,111.0,6.0,-3.0,-2.7,-2.9,-3.2,-3.2,-3.0,-2.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-08,53691,98590,53675.0,43171,48411.0,67188,55697,15.2,15.7,15.1,17.6,17.3,14.8,14.7,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,150.0,135.0,15.0,0.2,0.5,0.3,-0.9,-0.3,0.1,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-09,52909,97552,52937.0,42103,47292.0,66166,54918,15.0,15.5,14.9,17.2,16.9,14.5,14.5,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,112.0,101.0,11.0,-1.5,-1.1,-1.4,-2.5,-2.3,-1.5,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/1995-10,52953,98128,52939.0,42513,47718.0,66516,54875,15.0,15.6,14.9,17.3,17.0,14.6,14.5,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,120.0,107.0,13.0,0.1,0.6,0.0,1.0,0.9,0.5,-0.1,,,,,,,,,
