_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-01,311552,551934,312849.0,225359,266327.0,400261,332233,88.4,87.7,87.9,91.9,95.0,87.9,87.5,2.0,2.2,2.4,-0.2,0.7,3.1,3.1,1.1,1.0,1.0,1.2,1.8,1.0,1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,128.0,110.0,18.0,8.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-02,311555,550355,312393.0,225860,267402.0,399025,331786,88.4,87.4,87.8,92.1,95.4,87.7,87.4,3.1,3.1,3.6,0.7,0.6,4.0,4.4,0.0,-0.3,-0.1,0.2,0.4,-0.3,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,128.0,124.0,4.0,12.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-03,308549,543220,308401.0,225276,268780.0,394109,327374,87.5,86.3,86.6,91.9,95.9,86.6,86.3,2.1,1.7,2.2,0.7,0.8,2.4,2.7,-1.0,-1.3,-1.3,-0.3,0.5,-1.2,-1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,119.0,93.0,26.0,8.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-04,299747,527207,299704.0,217819,260463.0,382921,318636,85.0,83.8,84.2,88.8,92.9,84.1,84.0,-1.3,-1.9,-1.2,-2.9,-2.5,-0.9,-0.6,-2.9,-2.9,-2.8,-3.3,-3.1,-2.8,-2.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,52.0,46.0,6.0,6.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-05,298615,525509,297972.0,218072,263294.0,382397,316670,84.7,83.5,83.7,88.9,93.9,84.0,83.4,-1.6,-2.0,-1.9,-2.0,-0.1,-1.2,-1.5,-0.4,-0.3,-0.6,0.1,1.1,-0.1,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,52.0,49.0,3.0,1.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-06,307345,541228,307187.0,223574,267841.0,393846,326400,87.2,86.0,86.3,91.2,95.5,86.5,86.0,1.7,1.5,1.4,1.3,2.9,2.2,1.8,2.9,3.0,3.1,2.5,1.7,3.0,3.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,96.0,93.0,3.0,9.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-07,311582,548714,311699.0,226795,269768.0,398800,330886,88.4,87.2,87.6,92.5,96.2,87.6,87.2,2.0,2.4,1.8,1.4,2.1,2.5,2.1,1.4,1.4,1.5,1.4,0.7,1.3,1.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,108.0,76.0,32.0,17.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-08,312479,549171,313080.0,225349,267457.0,399671,333124,88.7,87.2,88.0,91.9,95.4,87.8,87.8,1.5,2.2,1.4,0.3,1.1,2.1,1.8,0.3,0.1,0.4,-0.6,-0.9,0.2,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,121.0,97.0,24.0,6.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-09,309235,542886,309656.0,222360,265753.0,395636,330040,87.7,86.2,87.0,90.7,94.8,86.9,87.0,-1.3,-0.5,-1.3,-3.1,-2.1,-0.3,-0.7,-1.0,-1.1,-1.1,-1.3,-0.6,-1.0,-0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,121.0,107.0,14.0,14.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/barking-and-dagenham/month/2020-10,311275,548336,312053.0,222841,265309.0,398806,332713,88.3,87.1,87.7,90.9,94.6,87.6,87.7,-0.1,0.7,-0.1,-2.1,-1.4,0.6,0.5,0.7,1.0,0.8,0.2,-0.2,0.8,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,159.0,137.0,22.0,19.0,140.0
