_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-01,98948,250463,100818.0,71768,67305.0,124778,90238,15.5,14.8,15.3,17.5,15.3,14.1,13.8,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,332.0,297.0,35.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-02,98848,246997,100591.0,71654,67814.0,124840,90568,15.5,14.6,15.2,17.5,15.5,14.1,13.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,327.0,284.0,43.0,-0.1,-1.4,-0.2,-0.2,0.8,0.0,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-03,97848,244179,99538.0,70917,67289.0,123557,89756,15.3,14.5,15.1,17.3,15.3,14.0,13.7,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,384.0,344.0,40.0,-1.0,-1.1,-1.0,-1.0,-0.8,-1.0,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-04,96273,238594,97918.0,69857,66289.0,121522,88503,15.1,14.1,14.8,17.1,15.1,13.7,13.5,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,304.0,259.0,45.0,-1.6,-2.3,-1.6,-1.5,-1.5,-1.6,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-05,95737,238070,97397.0,69413,65810.0,120796,88036,15.0,14.1,14.7,17.0,15.0,13.7,13.4,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,393.0,340.0,53.0,-0.6,-0.2,-0.5,-0.6,-0.7,-0.6,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-06,95577,236672,97228.0,69514,65732.0,120465,87803,14.9,14.0,14.7,17.0,15.0,13.6,13.4,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,436.0,373.0,63.0,-0.2,-0.6,-0.2,0.1,-0.1,-0.3,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-07,96992,241148,98695.0,70207,66577.0,122528,89248,15.2,14.3,14.9,17.2,15.2,13.9,13.6,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,429.0,403.0,26.0,1.5,1.9,1.5,1.0,1.3,1.7,1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-08,97968,244343,99745.0,70691,66985.0,123959,90209,15.3,14.5,15.1,17.3,15.3,14.0,13.8,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,425.0,395.0,30.0,1.0,1.3,1.1,0.7,0.6,1.2,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-09,98936,248625,100852.0,71002,67089.0,125419,91234,15.5,14.7,15.3,17.4,15.3,14.2,13.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,423.0,374.0,49.0,1.0,1.8,1.1,0.4,0.2,1.2,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-10,98187,247471,100000.0,70622,66990.0,124462,90118,15.4,14.6,15.1,17.3,15.3,14.1,13.8,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,396.0,352.0,44.0,-0.8,-0.5,-0.8,-0.5,-0.1,-0.8,-1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/1995-11,96401,241856,98093.0,69712,66170.0,122048,88121,15.1,14.3,14.9,17.0,15.1,13.8,13.5,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,405.0,339.0,66.0,-1.8,-2.3,-1.9,-1.3,-1.2,-1.9,-2.2,,,,,,,,,
