_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-01,37385,62197,36565.0,25231,54629.0,35674,29236,23.5,24.4,23.5,28.0,23.0,23.0,23.0,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,137.0,127.0,10.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-02,36532,60591,35695.0,24484,53652.0,35069,28486,23.0,23.8,22.9,27.2,22.6,22.6,22.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,151.0,132.0,19.0,-2.3,-2.6,-2.4,-3.0,-1.8,-1.7,-2.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-03,36300,60052,35464.0,24335,53351.0,34836,28359,22.9,23.6,22.8,27.0,22.5,22.5,22.3,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,243.0,206.0,37.0,-0.6,-0.9,-0.6,-0.6,-0.6,-0.7,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-04,36767,60667,35925.0,24645,53998.0,35339,28733,23.2,23.8,23.1,27.3,22.7,22.8,22.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,219.0,172.0,47.0,1.3,1.0,1.3,1.3,1.2,1.4,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-05,36620,60298,35810.0,24583,53568.0,35156,28686,23.1,23.7,23.0,27.3,22.5,22.7,22.6,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,245.0,209.0,36.0,-0.4,-0.6,-0.3,-0.3,-0.8,-0.5,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-06,36996,61021,36178.0,24904,54114.0,35578,28904,23.3,24.0,23.2,27.6,22.8,22.9,22.8,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,294.0,255.0,39.0,1.0,1.2,1.0,1.3,1.0,1.2,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-07,36336,60120,35520.0,24300,53247.0,34926,28348,22.9,23.6,22.8,27.0,22.4,22.5,22.3,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,233.0,189.0,44.0,-1.8,-1.5,-1.8,-2.4,-1.6,-1.8,-1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-08,36771,61180,35923.0,24459,54049.0,35317,28606,23.2,24.0,23.1,27.1,22.7,22.8,22.5,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,244.0,199.0,45.0,1.2,1.8,1.1,0.7,1.5,1.1,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-09,37339,62103,36517.0,24698,54584.0,35819,29087,23.5,24.4,23.4,27.4,23.0,23.1,22.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,275.0,219.0,56.0,1.5,1.5,1.7,1.0,1.0,1.4,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/1995-10,37516,62546,36653.0,24871,55127.0,36084,29113,23.6,24.6,23.5,27.6,23.2,23.3,22.9,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,206.0,173.0,33.0,0.5,0.7,0.4,0.7,1.0,0.7,0.1,,,,,,,,,
