_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-01,123711,200662,120414.0,72271,191248.0,120928,97257,77.9,78.9,77.3,80.2,80.5,78.0,76.6,3.7,3.3,3.7,2.4,3.8,4.2,3.8,-2.9,-2.6,-3.0,-3.2,-2.1,-2.9,-3.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,244.0,224.0,20.0,59.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-02,123035,199709,119587.0,71689,191865.0,120275,96697,77.5,78.5,76.7,79.5,80.7,77.6,76.1,3.8,3.1,4.0,1.9,2.7,4.2,4.1,-0.5,-0.5,-0.7,-0.8,0.3,-0.5,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,278.0,251.0,27.0,71.0,199.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-03,121848,198219,118134.0,70761,192712.0,119124,95601,76.7,77.9,75.8,78.5,81.1,76.8,75.3,2.3,1.8,2.4,0.7,2.1,2.6,2.6,-1.0,-0.7,-1.2,-1.3,0.4,-1.0,-1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,264.0,230.0,34.0,63.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-04,121895,198462,118102.0,70279,193425.0,119074,95704,76.8,78.0,75.8,78.0,81.4,76.8,75.3,2.4,2.1,2.5,0.6,2.2,2.6,2.7,0.0,0.1,0.0,-0.7,0.4,0.0,0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,111.0,100.0,11.0,29.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-05,125039,204148,120829.0,71857,201008.0,122134,97926,78.8,80.2,77.5,79.7,84.6,78.8,77.1,3.0,3.4,2.6,0.9,5.2,3.1,2.7,2.6,2.9,2.3,2.2,3.9,2.6,2.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,167.0,163.0,4.0,43.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-06,126053,205456,122042.0,72361,200778.0,123178,98846,79.4,80.7,78.3,80.3,84.5,79.4,77.8,3.4,3.8,3.0,0.8,5.6,3.6,2.9,0.8,0.6,1.0,0.7,-0.1,0.9,0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,237.0,212.0,25.0,56.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-07,127558,207444,123742.0,73736,201174.0,124737,100114,80.3,81.5,79.4,81.8,84.7,80.4,78.8,4.2,4.5,4.1,2.0,5.2,4.6,3.8,1.2,1.0,1.4,1.9,0.2,1.3,1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,243.0,217.0,26.0,69.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-08,126968,206114,123398.0,73014,198387.0,124294,99737,80.0,81.0,79.2,81.0,83.5,80.2,78.5,4.9,4.9,4.9,2.4,5.1,5.4,4.4,-0.5,-0.6,-0.3,-1.0,-1.4,-0.4,-0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,263.0,238.0,25.0,70.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-09,130229,211913,126447.0,74411,204426.0,127299,102289,82.0,83.3,81.1,82.5,86.0,82.1,80.5,5.5,5.7,5.5,2.5,5.5,6.0,4.9,2.6,2.8,2.5,1.9,3.0,2.4,2.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,264.0,247.0,17.0,69.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnsley/month/2020-10,132451,215892,128780.0,75205,206522.0,129253,104129,83.4,84.8,82.6,83.4,86.9,83.3,82.0,4.3,4.8,4.4,1.0,4.0,4.4,3.9,1.7,1.9,1.8,1.1,1.0,1.5,1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnsley,388.0,366.0,22.0,99.0,279.0
