_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-01,51107,97995,51271.0,32931,46137.0,57478,40902,13.9,14.4,14.0,16.5,15.0,13.7,13.0,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,206.0,155.0,51.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-02,52146,98974,52233.0,33619,47319.0,58836,41920,14.2,14.5,14.2,16.9,15.4,14.0,13.3,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,183.0,137.0,46.0,2.0,1.0,1.9,2.1,2.6,2.4,2.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-03,52402,99137,52481.0,33790,47573.0,59064,42242,14.3,14.5,14.3,17.0,15.5,14.0,13.5,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,256.0,198.0,58.0,0.5,0.2,0.5,0.5,0.5,0.4,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-04,52651,99123,52747.0,34022,47750.0,59340,42546,14.4,14.5,14.4,17.1,15.6,14.1,13.5,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,215.0,152.0,63.0,0.5,0.0,0.5,0.7,0.4,0.5,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-05,52011,97931,52135.0,33674,47085.0,58665,41973,14.2,14.4,14.2,16.9,15.3,13.9,13.4,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,259.0,213.0,46.0,-1.2,-1.2,-1.2,-1.0,-1.4,-1.1,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-06,52523,98986,52648.0,34123,47549.0,59332,42261,14.3,14.5,14.3,17.1,15.5,14.1,13.5,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,307.0,213.0,94.0,1.0,1.1,1.0,1.3,1.0,1.1,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-07,52217,98799,52330.0,33725,47303.0,59029,41980,14.2,14.5,14.3,16.9,15.4,14.0,13.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,206.0,164.0,42.0,-0.6,-0.2,-0.6,-1.2,-0.5,-0.5,-0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-08,51824,98683,51952.0,33231,46903.0,58483,41654,14.1,14.5,14.1,16.7,15.3,13.9,13.3,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,261.0,208.0,53.0,-0.8,-0.1,-0.7,-1.5,-0.8,-0.9,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-09,51656,98722,51863.0,32892,46514.0,58351,41500,14.1,14.5,14.1,16.5,15.1,13.9,13.2,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,234.0,183.0,51.0,-0.3,0.0,-0.2,-1.0,-0.8,-0.2,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basildon/month/1995-10,52000,99444,52136.0,33218,47042.0,58884,41641,14.2,14.6,14.2,16.7,15.3,14.0,13.3,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/basildon,234.0,181.0,53.0,0.7,0.7,0.5,1.0,1.1,0.9,0.3,,,,,,,,,
