_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-01,66643,121154,65558.0,42445,68234.0,66603,50737,18.6,18.9,18.3,22.4,18.0,17.7,17.4,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,206.0,194.0,12.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-02,67222,120839,66133.0,42939,68777.0,67403,51493,18.8,18.9,18.5,22.6,18.2,17.9,17.6,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,143.0,129.0,14.0,0.9,-0.3,0.9,1.2,0.8,1.2,1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-03,67635,121112,66540.0,43189,69192.0,67784,51977,18.9,18.9,18.6,22.8,18.3,18.0,17.8,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,231.0,205.0,26.0,0.6,0.2,0.6,0.6,0.6,0.6,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-04,69040,122922,67946.0,44223,70413.0,69238,53226,19.3,19.2,19.0,23.3,18.6,18.4,18.2,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,203.0,187.0,16.0,2.1,1.5,2.1,2.4,1.8,2.1,2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-05,69002,122934,67921.0,44232,70252.0,69293,53125,19.3,19.2,19.0,23.3,18.6,18.4,18.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,203.0,178.0,25.0,-0.1,0.0,0.0,0.0,-0.2,0.1,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-06,69697,124331,68610.0,44820,70917.0,70128,53512,19.5,19.4,19.2,23.6,18.7,18.6,18.3,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,293.0,260.0,33.0,1.0,1.1,1.0,1.3,0.9,1.2,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-07,69856,125162,68747.0,44600,71257.0,70303,53548,19.5,19.6,19.2,23.5,18.8,18.7,18.3,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,211.0,196.0,15.0,0.2,0.7,0.2,-0.5,0.5,0.2,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-08,70296,126646,69160.0,44523,71887.0,70599,53823,19.7,19.8,19.3,23.5,19.0,18.8,18.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,246.0,226.0,20.0,0.6,1.2,0.6,-0.2,0.9,0.4,0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-09,71270,128865,70144.0,44792,72650.0,71588,54519,19.9,20.2,19.6,23.6,19.2,19.0,18.7,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,242.0,219.0,23.0,1.4,1.8,1.4,0.6,1.1,1.4,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-10,70366,127325,69224.0,44361,72017.0,70849,53692,19.7,19.9,19.3,23.4,19.0,18.8,18.4,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,237.0,220.0,17.0,-1.3,-1.2,-1.3,-1.0,-0.9,-1.0,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-11,71287,129021,70103.0,45131,73217.0,71884,54288,19.9,20.2,19.6,23.8,19.3,19.1,18.6,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,209.0,185.0,24.0,1.3,1.3,1.3,1.7,1.7,1.5,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1995-12,69839,126028,68626.0,44331,72231.0,70474,53250,19.5,19.7,19.2,23.4,19.1,18.7,18.2,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,279.0,229.0,50.0,-2.0,-2.3,-2.1,-1.8,-1.3,-2.0,-1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1996-01,70225,127103,68929.0,44266,73369.0,70776,53551,19.6,19.9,19.3,23.3,19.4,18.8,18.3,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,166.0,154.0,12.0,0.6,0.9,0.4,-0.1,1.6,0.4,0.6,5.4,4.9,5.1,4.3,7.5,6.3,5.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/basingstoke-and-deane/month/1996-02,68552,123892,67224.0,43071,72237.0,69171,52368,19.2,19.4,18.8,22.7,19.1,18.4,17.9,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/basingstoke-and-deane,179.0,159.0,20.0,-2.4,-2.5,-2.5,-2.7,-1.5,-2.3,-2.2,2.0,2.5,1.7,0.3,5.0,2.6,1.7,,
