_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-01,42715,66166,41415.0,22492,53243.0,36437,29654,22.7,23.4,22.5,25.8,22.5,22.0,22.1,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,91.0,78.0,13.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-02,42479,65386,41166.0,22251,53096.0,36426,29523,22.6,23.2,22.3,25.6,22.5,22.0,22.0,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,89.0,72.0,17.0,-0.6,-1.2,-0.6,-1.1,-0.3,0.0,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-03,42408,65098,41088.0,22228,53076.0,36399,29577,22.5,23.1,22.3,25.5,22.5,22.0,22.0,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,150.0,136.0,14.0,-0.2,-0.4,-0.2,-0.1,0.0,-0.1,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-04,43077,65906,41749.0,22689,53819.0,37042,30114,22.9,23.3,22.7,26.1,22.8,22.4,22.4,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,106.0,95.0,11.0,1.6,1.2,1.6,2.1,1.4,1.8,1.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-05,42590,65141,41305.0,22546,52995.0,36618,29795,22.6,23.1,22.4,25.9,22.4,22.1,22.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,121.0,98.0,23.0,-1.1,-1.2,-1.1,-0.6,-1.5,-1.1,-1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-06,42550,65138,41275.0,22587,52878.0,36607,29664,22.6,23.1,22.4,25.9,22.4,22.1,22.1,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,140.0,117.0,23.0,-0.1,0.0,-0.1,0.2,-0.2,0.0,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-07,42787,65716,41497.0,22554,53238.0,36754,29744,22.7,23.3,22.5,25.9,22.5,22.2,22.2,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,121.0,96.0,25.0,0.6,0.9,0.5,-0.1,0.7,0.4,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-08,43892,67722,42550.0,22966,54758.0,37606,30414,23.3,24.0,23.1,26.4,23.2,22.7,22.7,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,149.0,131.0,18.0,2.6,3.1,2.5,1.8,2.9,2.3,2.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-09,43300,66922,42011.0,22460,53746.0,37049,29998,23.0,23.7,22.8,25.8,22.8,22.4,22.3,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,102.0,91.0,11.0,-1.4,-1.2,-1.3,-2.2,-1.8,-1.5,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bassetlaw/month/1995-10,42288,65387,41007.0,21875,52664.0,36244,29160,22.5,23.2,22.3,25.1,22.3,21.9,21.7,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bassetlaw,114.0,100.0,14.0,-2.3,-2.3,-2.4,-2.6,-2.0,-2.2,-2.8,,,,,,,,,
