_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-01,320979,559957,315972.0,206792,401098.0,340503,294782,79.5,79.0,78.6,83.5,82.8,78.6,78.2,-0.6,-0.7,-0.6,-1.9,-0.6,0.0,0.0,0.0,0.1,-0.2,-0.1,0.7,-0.1,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,221.0,178.0,43.0,66.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-02,319500,557958,314099.0,205511,402273.0,338842,293569,79.1,78.7,78.2,82.9,83.0,78.3,77.9,-0.5,-0.6,-0.2,-2.1,-1.6,0.1,0.3,-0.5,-0.4,-0.6,-0.6,0.3,-0.5,-0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,209.0,181.0,28.0,55.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-03,326079,570351,319755.0,209709,415917.0,345785,299361,80.7,80.4,79.6,84.6,85.8,79.9,79.4,0.5,0.5,0.6,-0.9,0.2,1.1,1.2,2.1,2.2,1.8,2.0,3.4,2.0,2.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,197.0,160.0,37.0,55.0,132.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-04,332175,582889,325574.0,212635,424666.0,352066,305303,82.3,82.2,81.0,85.8,87.6,81.3,81.0,2.2,2.8,2.3,0.5,1.9,2.7,2.7,1.9,2.2,1.8,1.4,2.1,1.8,2.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,89.0,81.0,8.0,37.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-05,332342,583391,324937.0,213031,429676.0,352601,304859,82.3,82.3,80.8,86.0,88.7,81.4,80.9,2.9,3.8,2.5,1.5,4.9,3.4,2.8,0.1,0.1,-0.2,0.2,1.2,0.2,-0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,89.0,80.0,9.0,23.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-06,333214,583312,326567.0,213414,426229.0,353621,306349,82.5,82.3,81.3,86.1,88.0,81.7,81.3,4.9,5.7,4.6,3.5,6.7,5.4,4.9,0.3,0.0,0.5,0.2,-0.8,0.3,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,161.0,146.0,15.0,54.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-07,334611,583473,328617.0,215175,423898.0,355010,307758,82.9,82.3,81.8,86.8,87.5,82.0,81.6,4.6,5.1,4.6,3.5,5.1,5.2,4.7,0.4,0.0,0.6,0.8,-0.5,0.4,0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,167.0,149.0,18.0,38.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-08,340918,594575,335426.0,218027,428180.0,361820,314534,84.4,83.8,83.5,88.0,88.4,83.6,83.4,5.0,5.3,5.1,3.6,4.7,5.6,5.2,1.9,1.9,2.1,1.3,1.0,1.9,2.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,215.0,192.0,23.0,62.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-09,346333,606327,340395.0,220459,437073.0,367740,319490,85.8,85.5,84.7,89.0,90.2,84.9,84.7,6.4,7.2,6.5,4.5,6.1,7.3,6.5,1.6,2.0,1.5,1.1,2.1,1.6,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,226.0,193.0,33.0,59.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-10,341926,600001,336642.0,216640,428116.0,362970,315901,84.7,84.6,83.8,87.4,88.4,83.8,83.8,5.2,6.2,5.4,3.1,4.4,5.7,5.5,-1.3,-1.0,-1.1,-1.7,-2.0,-1.3,-1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,275.0,243.0,32.0,83.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-11,346032,606854,341522.0,219518,428393.0,366649,320065,85.7,85.6,85.0,88.6,88.4,84.7,84.9,7.7,8.5,8.0,5.6,6.4,7.8,8.4,1.2,1.1,1.4,1.3,0.1,1.0,1.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,256.0,226.0,30.0,73.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2020-12,349381,612539,345400.0,221389,429226.0,369821,323744,86.5,86.4,85.9,89.4,88.6,85.4,85.9,8.8,9.5,9.1,6.9,7.8,8.5,9.8,1.0,0.9,1.1,0.9,0.2,0.9,1.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,290.0,266.0,24.0,87.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2021-01,352987,614525,349673.0,225253,429639.0,373305,327517,87.4,86.7,87.0,90.9,88.7,86.2,86.9,10.0,9.7,10.7,8.9,7.1,9.6,11.1,1.0,0.3,1.2,1.7,0.1,0.9,1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,261.0,235.0,26.0,82.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2021-02,351102,607256,347953.0,225349,426811.0,371144,326205,86.9,85.6,86.6,91.0,88.1,85.7,86.5,9.9,8.8,10.8,9.7,6.1,9.5,11.1,-0.5,-1.2,-0.5,0.0,-0.7,-0.6,-0.4,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,326.0,291.0,35.0,88.0,238.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2021-03,352792,604644,349721.0,228768,428901.0,372285,328231,87.4,85.3,87.0,92.3,88.5,86.0,87.1,8.2,6.0,9.4,9.1,3.1,7.7,9.6,0.5,-0.4,0.5,1.5,0.5,0.3,0.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,484.0,434.0,50.0,174.0,310.0
http://landregistry.data.gov.uk/data/ukhpi/region/bath-and-north-east-somerset/month/2021-04,355707,610715,351883.0,230501,437546.0,375259,330695,88.1,86.1,87.6,93.0,90.3,86.7,87.7,7.1,4.8,8.1,8.4,3.0,6.6,8.3,0.8,1.0,0.6,0.8,2.0,0.8,0.8,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bath-and-north-east-somerset,282.0,264.0,18.0,81.0,200.0
