_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-01,126664,84.8,4.3,1.6,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,354.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-02,126664,84.8,4.3,1.6,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,354.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-03,126664,84.8,4.3,1.6,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,354.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-04,127832,85.6,4.3,0.9,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-05,127832,85.6,4.3,0.9,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-06,127832,85.6,4.3,0.9,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-07,129244,86.5,2.5,1.1,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,320.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-08,129244,86.5,2.5,1.1,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,320.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-09,129244,86.5,2.5,1.1,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,320.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-10,133020,89.0,6.7,2.9,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,522.0
http://landregistry.data.gov.uk/data/ukhpi/region/belfast/month/2020-11,133020,89.0,6.7,2.9,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/belfast,522.0
