_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-01,64956,122167,65245.0,46571,59825.0,80610,61767,15.6,16.5,15.7,18.1,15.7,15.3,14.9,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,269.0,250.0,19.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-02,64786,120155,65038.0,46218,60158.0,80499,61710,15.6,16.2,15.6,18.0,15.7,15.2,14.9,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,207.0,193.0,14.0,-0.3,-1.6,-0.3,-0.8,0.6,-0.1,-0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-03,64366,118917,64602.0,45890,59955.0,79926,61432,15.5,16.0,15.5,17.9,15.7,15.1,14.9,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,318.0,295.0,23.0,-0.6,-1.0,-0.7,-0.7,-0.3,-0.7,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-04,64276,117979,64506.0,45831,59958.0,79806,61433,15.5,15.9,15.5,17.8,15.7,15.1,14.9,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,253.0,235.0,18.0,-0.1,-0.8,-0.1,-0.1,0.0,-0.2,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-05,63995,117513,64237.0,45645,59525.0,79483,61122,15.4,15.9,15.4,17.8,15.6,15.0,14.8,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,317.0,288.0,29.0,-0.4,-0.4,-0.4,-0.4,-0.7,-0.4,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-06,64251,118117,64505.0,45941,59602.0,79900,61184,15.5,15.9,15.5,17.9,15.6,15.1,14.8,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,324.0,290.0,34.0,0.4,0.5,0.4,0.6,0.1,0.5,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-07,63721,117491,63985.0,45280,58945.0,79313,60634,15.3,15.8,15.4,17.6,15.4,15.0,14.7,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,314.0,292.0,22.0,-0.8,-0.5,-0.8,-1.4,-1.1,-0.7,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-08,64431,119618,64713.0,45555,59406.0,80164,61341,15.5,16.1,15.5,17.7,15.5,15.2,14.8,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,297.0,287.0,10.0,1.1,1.8,1.1,0.6,0.8,1.1,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-09,64508,120150,64822.0,45350,59052.0,80257,61457,15.5,16.2,15.6,17.7,15.5,15.2,14.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,281.0,267.0,14.0,0.1,0.4,0.2,-0.4,-0.6,0.1,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-10,64528,120196,64821.0,45529,59359.0,80371,61309,15.5,16.2,15.6,17.7,15.5,15.2,14.8,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,274.0,252.0,22.0,0.0,0.0,0.0,0.4,0.5,0.1,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-11,63844,118652,64111.0,45431,59033.0,79564,60509,15.4,16.0,15.4,17.7,15.4,15.1,14.6,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,299.0,277.0,22.0,-1.1,-1.3,-1.1,-0.2,-0.5,-1.0,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1995-12,63815,118208,64034.0,45539,59650.0,79565,60432,15.4,15.9,15.4,17.7,15.6,15.1,14.6,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,259.0,242.0,17.0,0.0,-0.4,-0.1,0.2,1.0,0.0,-0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1996-01,63994,118533,64180.0,45550,60281.0,79699,60756,15.4,16.0,15.4,17.7,15.8,15.1,14.7,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,210.0,204.0,6.0,0.3,0.3,0.2,0.0,1.1,0.2,0.5,-1.5,-3.0,-1.6,-2.2,0.8,-1.1,-1.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/1996-02,64502,119214,64659.0,45637,61174.0,80382,61311,15.5,16.1,15.5,17.8,16.0,15.2,14.8,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,228.0,217.0,11.0,0.8,0.6,0.7,0.2,1.5,0.9,0.9,-0.4,-0.8,-0.6,-1.3,1.7,-0.1,-0.6,,
