_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-01,336654,596723,336318.0,215993,329647.0,424315,330937,81.1,80.5,80.8,84.1,86.3,80.3,80.1,-0.6,-0.7,-0.6,-2.3,-1.0,0.0,0.2,-0.5,-0.4,-0.5,-0.8,0.3,-0.5,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,206.0,205.0,1.0,32.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-02,338863,601579,338682.0,217182,332190.0,426887,333511,81.6,81.1,81.3,84.6,86.9,80.8,80.7,-0.1,0.0,0.0,-2.1,-2.1,0.5,0.9,0.7,0.8,0.7,0.6,0.8,0.6,0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,255.0,236.0,19.0,36.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-03,339101,602141,338955.0,217094,337481.0,427479,333822,81.7,81.2,81.4,84.5,88.3,80.9,80.8,0.7,0.6,0.8,-0.9,0.2,1.2,1.5,0.1,0.1,0.1,0.0,1.6,0.1,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,275.0,250.0,25.0,48.0,218.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-04,342030,609620,341951.0,217930,338761.0,431337,337494,82.4,82.2,82.1,84.9,88.7,81.7,81.7,0.8,1.3,0.9,-1.1,0.4,1.4,1.6,0.9,1.2,0.9,0.4,0.4,0.9,1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,105.0,97.0,8.0,14.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-05,339455,604134,339186.0,216304,340749.0,428637,334504,81.8,81.5,81.4,84.2,89.2,81.2,81.0,0.8,1.4,0.8,-0.7,3.6,1.4,1.2,-0.8,-0.9,-0.8,-0.7,0.6,-0.6,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,101.0,98.0,3.0,17.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-06,341309,607333,341237.0,216719,337947.0,431437,336754,82.2,81.9,81.9,84.4,88.4,81.7,81.5,0.7,1.4,0.7,-1.2,2.9,1.4,1.2,0.5,0.5,0.6,0.2,-0.8,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,200.0,184.0,16.0,27.0,167.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-07,344299,610591,344287.0,219263,339484.0,435043,339344,82.9,82.4,82.7,85.4,88.8,82.4,82.1,1.7,2.3,1.8,0.0,2.7,2.4,2.1,0.9,0.5,0.9,1.2,0.5,0.8,0.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,226.0,204.0,22.0,37.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-08,347933,617986,347996.0,220212,341235.0,440315,343721,83.8,83.4,83.6,85.7,89.3,83.4,83.2,3.0,3.6,3.1,0.8,3.3,3.9,3.6,1.1,1.2,1.1,0.4,0.5,1.2,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,241.0,230.0,11.0,47.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-09,345477,615096,345399.0,217854,342103.0,437820,341474,83.2,83.0,82.9,84.8,89.5,82.9,82.6,3.8,4.7,3.9,1.1,4.4,5.0,4.3,-0.7,-0.5,-0.7,-1.1,0.3,-0.6,-0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,232.0,228.0,4.0,37.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/bexley/month/2020-10,345406,618320,345510.0,216725,337748.0,438253,341807,83.2,83.4,83.0,84.4,88.4,83.0,82.7,4.0,5.5,4.2,1.0,3.3,5.1,4.8,0.0,0.5,0.0,-0.5,-1.3,0.1,0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bexley,328.0,321.0,7.0,57.0,271.0
