_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-01,43407,86136,43217.0,34191,36046.0,48241,38087,18.7,19.3,18.4,22.7,19.8,17.9,17.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,686.0,658.0,28.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-02,44092,86660,43876.0,34687,36923.0,49159,38681,19.0,19.5,18.7,23.0,20.3,18.3,17.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,763.0,698.0,65.0,1.6,0.6,1.5,1.5,2.4,1.9,1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-03,44433,87078,44210.0,34903,37271.0,49533,39022,19.1,19.6,18.9,23.2,20.5,18.4,18.0,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,970.0,906.0,64.0,0.8,0.5,0.8,0.6,0.9,0.8,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-04,44487,86772,44264.0,34968,37308.0,49608,39093,19.1,19.5,18.9,23.2,20.5,18.4,18.0,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,821.0,771.0,50.0,0.1,-0.4,0.1,0.2,0.1,0.1,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-05,44938,87586,44721.0,35352,37579.0,50088,39504,19.3,19.7,19.1,23.5,20.6,18.6,18.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,922.0,861.0,61.0,1.0,0.9,1.0,1.1,0.7,1.0,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-06,45123,87959,44904.0,35654,37745.0,50340,39595,19.4,19.8,19.1,23.7,20.7,18.7,18.2,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,1056.0,993.0,63.0,0.4,0.4,0.4,0.9,0.4,0.5,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-07,45519,89011,45303.0,35779,38023.0,50798,39954,19.6,20.0,19.3,23.8,20.9,18.9,18.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,1014.0,967.0,47.0,0.9,1.2,0.9,0.4,0.7,0.9,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-08,45368,89267,45161.0,35432,37787.0,50622,39831,19.5,20.1,19.3,23.5,20.8,18.8,18.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,1121.0,1061.0,60.0,-0.3,0.3,-0.3,-1.0,-0.6,-0.3,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-09,44944,88708,44762.0,34865,37134.0,50103,39522,19.3,19.9,19.1,23.1,20.4,18.6,18.2,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,999.0,939.0,60.0,-0.9,-0.6,-0.9,-1.6,-1.7,-1.0,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/1995-10,44951,88926,44747.0,35030,37426.0,50223,39395,19.3,20.0,19.1,23.3,20.6,18.6,18.2,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,860.0,805.0,55.0,0.0,0.2,0.0,0.5,0.8,0.2,-0.3,,,,,,,,,
