_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-01,183376,350626,183243.0,125461,152052.0,209938,167754,78.9,78.8,78.1,83.3,83.6,78.0,77.3,0.4,0.4,0.5,-1.6,-0.7,1.1,1.0,0.5,0.7,0.5,0.4,1.3,0.6,0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,878.0,795.0,83.0,233.0,629.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-02,183044,350316,182891.0,124998,152873.0,209538,167652,78.7,78.7,78.0,83.0,84.0,77.8,77.3,-0.3,-0.2,0.0,-2.8,-2.7,0.5,0.7,-0.2,-0.1,-0.2,-0.4,0.5,-0.2,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,907.0,789.0,118.0,190.0,693.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-03,181090,346859,180784.0,123724,153061.0,207343,165757,77.9,77.9,77.1,82.1,84.1,77.0,76.4,0.1,0.1,0.4,-2.0,-1.6,0.8,1.0,-1.1,-1.0,-1.2,-1.0,0.1,-1.0,-1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,832.0,743.0,89.0,203.0,593.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-04,179394,344991,179122.0,121955,151430.0,205463,164544,77.2,77.5,76.4,81.0,83.2,76.3,75.8,-1.1,-0.4,-0.8,-3.7,-3.4,-0.4,-0.2,-0.9,-0.5,-0.9,-1.4,-1.1,-0.9,-0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,376.0,334.0,42.0,82.0,283.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-05,183127,352104,182500.0,124935,156801.0,209747,167560,78.8,79.1,77.8,82.9,86.2,77.9,77.2,1.1,2.2,1.1,-0.6,1.6,1.8,1.5,2.1,2.1,1.9,2.4,3.5,2.1,1.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,606.0,481.0,125.0,145.0,412.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-06,184007,353471,183658.0,124945,155799.0,211162,168657,79.2,79.4,78.3,83.0,85.6,78.4,77.7,0.9,2.0,1.0,-1.3,1.1,1.7,1.4,0.5,0.4,0.6,0.0,-0.6,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,690.0,622.0,68.0,187.0,486.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-07,187591,358849,187428.0,127592,157603.0,215255,171958,80.7,80.6,79.9,84.7,86.6,79.9,79.2,3.1,3.8,3.2,0.9,2.2,3.9,3.5,1.9,1.5,2.1,2.1,1.2,1.9,2.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,833.0,739.0,94.0,222.0,596.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-08,186677,357896,186851.0,125998,154697.0,214530,171689,80.3,80.4,79.7,83.6,85.0,79.7,79.1,2.0,2.9,2.3,-0.8,0.1,3.1,2.7,-0.5,-0.3,-0.3,-1.2,-1.8,-0.3,-0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,735.0,655.0,80.0,197.0,528.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-09,188623,363101,188739.0,127101,156679.0,216681,173544,81.1,81.6,80.5,84.4,86.1,80.5,80.0,2.3,3.7,2.7,-0.7,-0.1,3.7,2.9,1.0,1.5,1.0,0.9,1.3,1.0,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,792.0,685.0,107.0,193.0,577.0
http://landregistry.data.gov.uk/data/ukhpi/region/birmingham/month/2020-10,188210,363779,188611.0,126028,154576.0,216492,173508,81.0,81.7,80.4,83.7,84.9,80.4,80.0,2.2,3.7,2.6,-1.1,-0.6,3.4,2.9,-0.2,0.2,-0.1,-0.8,-1.3,-0.1,0.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/birmingham,1082.0,1013.0,69.0,236.0,820.0
