_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-01,33529,63684,32242.0,24444,61286.0,36278,26960,23.7,25.2,23.5,29.5,24.9,23.2,22.9,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,167.0,154.0,13.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-02,34447,65070,33082.0,25190,63352.0,37517,27646,24.3,25.7,24.1,30.4,25.7,24.0,23.5,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,166.0,138.0,28.0,2.7,2.2,2.6,3.0,3.4,3.4,2.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-03,34862,65642,33475.0,25490,64170.0,37944,28006,24.6,26.0,24.4,30.8,26.1,24.3,23.8,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,190.0,146.0,44.0,1.2,0.9,1.2,1.2,1.3,1.1,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-04,35157,65958,33758.0,25746,64708.0,38316,28245,24.8,26.1,24.6,31.1,26.3,24.5,24.0,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,163.0,132.0,31.0,0.8,0.5,0.8,1.0,0.8,1.0,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-05,35639,66569,34249.0,26057,65340.0,38775,28681,25.2,26.3,24.9,31.4,26.5,24.8,24.4,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,173.0,152.0,21.0,1.4,0.9,1.5,1.2,1.0,1.2,1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-06,35526,66466,34137.0,26049,65160.0,38751,28545,25.1,26.3,24.9,31.4,26.5,24.8,24.2,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,230.0,178.0,52.0,-0.3,-0.2,-0.3,0.0,-0.3,-0.1,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-07,35617,66889,34219.0,25987,65378.0,38849,28603,25.2,26.4,24.9,31.4,26.5,24.9,24.3,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,164.0,143.0,21.0,0.3,0.6,0.2,-0.2,0.3,0.3,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-08,34683,65773,33307.0,25181,63802.0,37837,27801,24.5,26.0,24.3,30.4,25.9,24.2,23.6,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,160.0,127.0,33.0,-2.6,-1.7,-2.7,-3.1,-2.4,-2.6,-2.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-09,34994,66358,33650.0,25216,63973.0,38084,28087,24.7,26.2,24.5,30.4,26.0,24.4,23.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,206.0,173.0,33.0,0.9,0.9,1.0,0.1,0.3,0.7,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-10,34438,65457,33081.0,24970,63269.0,37604,27582,24.3,25.9,24.1,30.1,25.7,24.1,23.4,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,167.0,139.0,28.0,-1.6,-1.4,-1.7,-1.0,-1.1,-1.3,-1.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-11,34664,65906,33276.0,25345,63893.0,37924,27730,24.5,26.1,24.2,30.6,25.9,24.3,23.5,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,223.0,187.0,36.0,0.7,0.7,0.6,1.5,1.0,0.9,0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1995-12,33905,64597,32477.0,24948,63133.0,37235,27059,23.9,25.5,23.7,30.1,25.6,23.8,23.0,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,243.0,191.0,52.0,-2.2,-2.0,-2.4,-1.6,-1.2,-1.8,-2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1996-01,33183,63615,31735.0,24362,62272.0,36483,26440,23.4,25.2,23.1,29.4,25.3,23.4,22.5,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,112.0,100.0,12.0,-2.1,-1.5,-2.3,-2.3,-1.4,-2.0,-2.3,-1.0,-0.1,-1.6,-0.3,1.6,0.6,-1.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/1996-02,33282,63888,31781.0,24401,62881.0,36685,26489,23.5,25.3,23.1,29.4,25.5,23.5,22.5,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,152.0,127.0,25.0,0.3,0.4,0.1,0.2,1.0,0.6,0.2,-3.4,-1.8,-3.9,-3.1,-0.7,-2.2,-4.2,,
