_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-01,112828,205983,108683.0,68521,202588.0,125305,92319,79.7,81.4,79.2,82.7,82.3,80.2,78.4,3.3,2.8,3.4,2.4,2.9,3.7,3.5,0.2,0.5,0.1,-0.2,1.1,0.2,0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,114.0,111.0,3.0,37.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-02,111893,204418,107766.0,67507,202625.0,124111,91629,79.0,80.8,78.5,81.5,82.3,79.5,77.8,0.5,-0.1,0.7,-1.3,-0.9,0.9,0.8,-0.8,-0.8,-0.8,-1.5,0.0,-1.0,-0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,126.0,117.0,9.0,35.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-03,112345,206038,108099.0,67451,206475.0,124590,91891,79.4,81.5,78.7,81.4,83.8,79.8,78.0,1.4,0.9,1.6,-0.7,0.8,1.6,1.7,0.4,0.8,0.3,-0.1,1.9,0.4,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,146.0,129.0,17.0,45.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-04,110257,202433,106059.0,65532,203122.0,122109,90258,77.9,80.0,77.2,79.1,82.5,78.2,76.7,-1.2,-1.3,-1.1,-3.8,-1.6,-1.1,-1.0,-1.9,-1.7,-1.9,-2.8,-1.6,-2.0,-1.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,58.0,57.0,1.0,18.0,39.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-05,110128,202870,105760.0,65525,205545.0,122125,89956,77.8,80.2,77.0,79.1,83.5,78.2,76.4,-1.6,-0.9,-1.7,-3.8,0.5,-1.5,-1.8,-0.1,0.2,-0.3,0.0,1.2,0.0,-0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,57.0,54.0,3.0,28.0,29.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-06,112469,206519,108157.0,66878,207690.0,124878,91933,79.4,81.7,78.8,80.7,84.3,80.0,78.1,-1.0,-0.2,-1.1,-3.4,1.1,-0.7,-1.2,2.1,1.8,2.3,2.1,1.0,2.3,2.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,105.0,89.0,16.0,30.0,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-07,114781,210045,110509.0,68837,209956.0,127533,93877,81.1,83.1,80.5,83.1,85.2,81.7,79.7,1.3,1.6,1.3,-0.6,2.1,1.7,1.0,2.1,1.7,2.2,2.9,1.1,2.1,2.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,151.0,139.0,12.0,52.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-08,115817,211890,111603.0,69207,210371.0,128716,94741,81.8,83.8,81.3,83.5,85.4,82.4,80.5,2.4,2.8,2.5,0.4,2.8,3.0,2.0,0.9,0.9,1.0,0.5,0.2,0.9,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,185.0,174.0,11.0,72.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-09,115138,211535,110857.0,68434,210513.0,127813,94106,81.3,83.6,80.7,82.6,85.5,81.8,79.9,1.9,2.6,2.0,-0.5,2.3,2.6,1.4,-0.6,-0.2,-0.7,-1.1,0.1,-0.7,-0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,141.0,124.0,17.0,54.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-10,115703,212774,111489.0,68229,210215.0,128339,94611,81.7,84.1,81.2,82.3,85.4,82.2,80.3,1.0,1.9,1.1,-2.1,1.2,1.4,0.6,0.5,0.6,0.6,-0.3,-0.1,0.4,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,197.0,187.0,10.0,59.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-11,119964,220064,115768.0,70775,215383.0,132777,98313,84.7,87.0,84.3,85.4,87.5,85.0,83.5,5.3,5.9,5.5,1.7,5.0,5.1,5.3,3.7,3.4,3.8,3.7,2.5,3.5,3.9,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,173.0,154.0,19.0,62.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2020-12,121337,221941,117215.0,71483,216044.0,134080,99658,85.7,87.8,85.4,86.3,87.7,85.9,84.6,7.7,8.3,8.0,4.1,7.8,7.2,8.0,1.1,0.9,1.3,1.0,0.3,1.0,1.4,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,217.0,198.0,19.0,69.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2021-01,123633,224173,119624.0,73740,217338.0,136622,101851,87.3,88.6,87.1,89.0,88.2,87.5,86.5,9.6,8.8,10.1,7.6,7.3,9.0,10.3,1.9,1.0,2.1,3.2,0.6,1.9,2.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,156.0,141.0,15.0,43.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2021-02,122008,219546,118125.0,73492,213506.0,134607,100875,86.2,86.8,86.0,88.7,86.7,86.2,85.7,9.0,7.4,9.6,8.9,5.4,8.5,10.1,-1.3,-2.1,-1.3,-0.3,-1.8,-1.5,-1.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,181.0,164.0,17.0,72.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2021-03,123034,219933,119166.0,75182,214718.0,135541,102001,86.9,87.0,86.8,90.7,87.2,86.8,86.6,9.5,6.7,10.2,11.5,4.0,8.8,11.0,0.8,0.2,0.9,2.3,0.6,0.7,1.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,239.0,212.0,27.0,75.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2021-04,122794,220041,118787.0,74912,216684.0,134761,101926,86.7,87.0,86.5,90.4,88.0,86.3,86.6,11.4,8.7,12.0,14.3,6.7,10.4,12.9,-0.2,0.0,-0.3,-0.4,0.9,-0.6,-0.1,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,188.0,168.0,20.0,53.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2021-05,123283,221125,119256.0,75010,217619.0,135204,102356,87.1,87.4,86.9,90.5,88.4,86.6,86.9,11.9,9.0,12.8,14.5,5.9,10.7,13.8,0.4,0.5,0.4,0.1,0.4,0.3,0.4,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,180.0,163.0,17.0,59.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackburn-with-darwen/month/2021-06,126286,224755,122395.0,76926,219217.0,138235,105320,89.2,88.9,89.1,92.8,89.0,88.5,89.4,12.3,8.8,13.2,15.0,5.6,10.7,14.6,2.4,1.6,2.6,2.6,0.7,2.2,2.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackburn-with-darwen,257.0,231.0,26.0,69.0,188.0
