_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-01,39105,72911,38594.0,28480,56649.0,44517,32837,29.9,31.7,29.6,36.8,33.5,29.3,28.9,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,156.0,146.0,10.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-02,39149,72591,38617.0,28543,57151.0,44777,32766,29.9,31.6,29.6,36.9,33.8,29.4,28.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,163.0,149.0,14.0,0.1,-0.4,0.1,0.2,0.9,0.6,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-03,39545,73014,39005.0,28821,57796.0,45176,33156,30.2,31.8,29.9,37.3,34.2,29.7,29.2,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,240.0,220.0,20.0,1.0,0.6,1.0,1.0,1.1,0.9,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-04,39340,72299,38803.0,28713,57479.0,44975,32980,30.1,31.5,29.7,37.1,34.0,29.6,29.0,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,171.0,162.0,9.0,-0.5,-1.0,-0.5,-0.4,-0.5,-0.4,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-05,39968,73321,39434.0,29136,58151.0,45633,33560,30.5,31.9,30.2,37.7,34.4,30.0,29.5,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,191.0,176.0,15.0,1.6,1.4,1.6,1.5,1.2,1.5,1.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-06,39651,72862,39121.0,28998,57683.0,45332,33227,30.3,31.7,30.0,37.5,34.1,29.8,29.2,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,237.0,218.0,19.0,-0.8,-0.6,-0.8,-0.5,-0.8,-0.7,-1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-07,40412,74597,39875.0,29383,58737.0,46257,33841,30.9,32.5,30.6,38.0,34.7,30.4,29.8,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,166.0,156.0,10.0,1.9,2.4,1.9,1.3,1.8,2.0,1.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-08,39643,73601,39121.0,28672,57515.0,45417,33172,30.3,32.0,30.0,37.1,34.0,29.9,29.2,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,203.0,193.0,10.0,-1.9,-1.3,-1.9,-2.4,-2.1,-1.8,-2.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-09,39496,73461,38996.0,28348,56870.0,45249,33082,30.2,32.0,29.9,36.6,33.6,29.7,29.1,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,209.0,199.0,10.0,-0.4,-0.2,-0.3,-1.1,-1.1,-0.4,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-10,38528,71902,38021.0,27809,55884.0,44254,32151,29.4,31.3,29.1,35.9,33.0,29.1,28.3,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,195.0,186.0,9.0,-2.5,-2.1,-2.5,-1.9,-1.7,-2.2,-2.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-11,39298,73410,38762.0,28585,57415.0,45198,32708,30.0,31.9,29.7,36.9,33.9,29.7,28.8,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,210.0,200.0,10.0,2.0,2.1,1.9,2.8,2.7,2.1,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/1995-12,39375,73658,38804.0,28790,58247.0,45341,32700,30.1,32.0,29.7,37.2,34.4,29.8,28.8,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,195.0,181.0,14.0,0.2,0.3,0.1,0.7,1.5,0.3,0.0,,,,,,,,,
