_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-01,101930,182899,101227.0,62722,140059.0,118740,86982,77.9,79.6,77.6,81.1,82.8,78.1,76.5,3.0,2.6,3.0,0.7,2.3,3.3,3.3,-0.1,0.0,-0.1,-0.2,0.7,-0.1,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,164.0,154.0,10.0,59.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-02,103165,184568,102473.0,63479,141440.0,120039,88216,78.9,80.3,78.6,82.1,83.6,78.9,77.6,4.9,4.0,5.0,2.6,2.3,5.2,5.4,1.2,0.9,1.2,1.2,1.0,1.1,1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,161.0,150.0,11.0,62.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-03,102338,182671,101612.0,63115,141555.0,119133,87444,78.2,79.5,77.9,81.6,83.7,78.3,76.9,3.2,1.8,3.3,1.8,1.2,3.3,3.7,-0.8,-1.0,-0.8,-0.6,0.1,-0.8,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,153.0,140.0,13.0,49.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-04,102603,183124,101904.0,62789,141162.0,119388,87871,78.4,79.7,78.1,81.2,83.4,78.5,77.3,2.6,1.5,2.7,1.0,0.6,2.7,3.2,0.3,0.2,0.3,-0.5,-0.3,0.2,0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,70.0,65.0,5.0,24.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-05,102031,182746,101241.0,62555,142812.0,118819,87161,78.0,79.5,77.6,80.9,84.4,78.1,76.6,2.7,2.2,2.6,1.9,4.0,2.7,2.8,-0.6,-0.2,-0.7,-0.4,1.2,-0.5,-0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,81.0,76.0,5.0,32.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-06,102030,182373,101295.0,62410,141413.0,118913,87175,78.0,79.3,77.6,80.7,83.6,78.2,76.7,2.0,1.6,2.0,1.2,3.3,2.2,2.1,0.0,-0.2,0.1,-0.2,-1.0,0.1,0.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,97.0,96.0,1.0,34.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-07,102215,182271,101509.0,62840,140892.0,119155,87278,78.1,79.3,77.8,81.2,83.3,78.3,76.7,1.3,1.0,1.3,0.8,1.5,1.7,1.1,0.2,-0.1,0.2,0.7,-0.4,0.2,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,143.0,141.0,2.0,45.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-08,101919,181680,101237.0,62289,139896.0,118901,87066,77.9,79.0,77.6,80.5,82.7,78.2,76.6,-0.4,-0.9,-0.3,-1.3,-0.6,0.1,-0.7,-0.3,-0.3,-0.3,-0.9,-0.7,-0.2,-0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,179.0,172.0,7.0,47.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-09,104345,186510,103601.0,63470,144377.0,121688,89192,79.8,81.1,79.4,82.0,85.3,80.0,78.4,0.9,0.6,0.9,-0.7,0.7,1.6,0.4,2.4,2.7,2.3,1.9,3.2,2.3,2.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,180.0,178.0,2.0,72.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/blackpool/month/2020-10,106347,190385,105660.0,64190,145357.0,124115,90931,81.3,82.8,81.0,83.0,85.9,81.6,80.0,3.8,3.6,3.9,1.3,2.4,4.4,3.6,1.9,2.1,2.0,1.1,0.7,2.0,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/blackpool,226.0,220.0,6.0,91.0,132.0
