_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-01,29806,52591,29465.0,22628,42486.0,32175,26825,22.2,23.5,22.0,27.5,25.1,21.9,21.8,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,36.0,35.0,1.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-02,26171,46048,25856.0,19998,37605.0,28389,23527,19.5,20.6,19.3,24.3,22.2,19.3,19.1,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,38.0,36.0,2.0,-12.2,-12.4,-12.2,-11.6,-11.5,-11.8,-12.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-03,24929,43641,24623.0,19051,35935.0,27038,22424,18.5,19.5,18.4,23.1,21.2,18.4,18.2,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,47.0,44.0,3.0,-4.7,-5.2,-4.8,-4.7,-4.4,-4.8,-4.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-04,23000,40117,22716.0,17529,33176.0,24973,20691,17.1,18.0,17.0,21.3,19.6,17.0,16.8,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,36.0,33.0,3.0,-7.7,-8.1,-7.7,-8.0,-7.7,-7.6,-7.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-05,24090,41973,23798.0,18176,34647.0,26127,21683,17.9,18.8,17.8,22.1,20.5,17.7,17.6,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,64.0,62.0,2.0,4.7,4.6,4.8,3.7,4.4,4.6,4.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-06,24146,42285,23856.0,18271,34676.0,26247,21706,17.9,18.9,17.8,22.2,20.5,17.8,17.7,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,59.0,54.0,5.0,0.2,0.7,0.2,0.5,0.1,0.5,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-07,26113,45879,25801.0,19589,37475.0,28355,23475,19.4,20.5,19.3,23.8,22.1,19.3,19.1,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,51.0,49.0,2.0,8.1,8.5,8.2,7.2,8.1,8.0,8.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-08,26070,46080,25760.0,19510,37369.0,28292,23424,19.4,20.6,19.3,23.7,22.1,19.2,19.1,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,53.0,49.0,4.0,-0.2,0.4,-0.2,-0.4,-0.3,-0.2,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-09,27229,48064,26921.0,20229,38743.0,29478,24488,20.2,21.5,20.1,24.6,22.9,20.0,19.9,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,44.0,40.0,4.0,4.4,4.3,4.5,3.7,3.7,4.2,4.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/1995-10,26062,46255,25752.0,19541,37375.0,28370,23385,19.4,20.7,19.3,23.7,22.1,19.3,19.0,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,56.0,50.0,6.0,-4.3,-3.8,-4.3,-3.4,-3.5,-3.8,-4.5,,,,,,,,,
