_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-01,90487,151103,90000.0,57706,118995.0,99505,82329,67.3,67.7,67.3,70.1,70.2,67.6,67.0,2.9,2.5,2.9,1.7,3.4,3.2,2.9,-2.6,-2.5,-2.6,-2.9,-1.8,-2.6,-2.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,72.0,72.0,26.0,45.0,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-02,90823,151614,90323.0,58014,120504.0,99963,82611,67.5,67.9,67.5,70.5,71.1,67.9,67.2,0.7,0.2,0.7,-0.4,-0.3,1.1,0.7,0.4,0.3,0.4,0.5,1.3,0.5,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,85.0,84.0,29.0,54.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-03,91395,152455,90876.0,58199,123044.0,100635,83137,67.9,68.3,67.9,70.7,72.6,68.3,67.6,-1.4,-1.9,-1.4,-2.5,-1.5,-1.1,-1.3,0.6,0.6,0.6,0.3,2.1,0.7,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,70.0,68.0,20.0,47.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-04,92033,153447,91509.0,58210,124335.0,101243,83775,68.4,68.7,68.4,70.7,73.4,68.8,68.2,-0.5,-0.8,-0.5,-2.0,-0.7,-0.3,-0.4,0.7,0.7,0.7,0.0,1.0,0.6,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,42.0,41.0,13.0,29.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-05,91794,152843,91265.0,57899,125711.0,100980,83589,68.2,68.4,68.2,70.3,74.2,68.6,68.0,1.9,1.7,1.9,0.6,4.4,2.2,1.9,-0.3,-0.4,-0.3,-0.5,1.1,-0.3,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,42.0,42.0,14.0,26.0,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-06,92308,153603,91781.0,58080,125170.0,101675,84040,68.6,68.8,68.6,70.5,73.9,69.0,68.4,2.6,2.5,2.6,0.9,5.4,3.2,2.6,0.6,0.5,0.6,0.3,-0.4,0.7,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,51.0,51.0,8.0,41.0,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-07,96002,159759,95459.0,60889,128762.0,105792,87360,71.4,71.5,71.4,74.0,76.0,71.8,71.1,4.6,4.7,4.6,3.4,5.8,5.2,4.4,4.0,4.0,4.0,4.8,2.9,4.0,4.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,35.0,35.0,18.0,16.0,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-08,98442,164084,97889.0,62190,131117.0,108539,89551,73.2,73.5,73.2,75.5,77.4,73.7,72.9,3.9,4.0,3.9,2.8,4.6,4.7,3.6,2.5,2.7,2.5,2.1,1.8,2.6,2.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,49.0,48.0,13.0,35.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-09,96543,161311,95997.0,60485,129469.0,106226,87871,71.8,72.2,71.8,73.5,76.4,72.1,71.5,2.6,3.1,2.5,0.9,3.1,3.4,2.2,-1.9,-1.7,-1.9,-2.7,-1.3,-2.1,-1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,51.0,51.0,16.0,34.0,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-10,98384,164943,97832.0,61012,130957.0,108089,89570,73.1,73.9,73.1,74.1,77.3,73.4,72.9,5.1,5.9,5.1,2.3,5.1,5.5,4.9,1.9,2.3,1.9,0.9,1.1,1.8,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,98.0,93.0,29.0,61.0,5.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-11,99128,166413,98577.0,61394,130482.0,108609,90310,73.7,74.5,73.7,74.6,77.0,73.8,73.5,8.5,9.3,8.5,5.2,8.2,8.3,8.5,0.8,0.9,0.8,0.6,-0.4,0.5,0.8,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,66.0,62.0,29.0,34.0,4.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2020-12,101851,170886,101290.0,62948,132812.0,111444,92851,75.7,76.5,75.7,76.5,78.4,75.7,75.5,9.7,10.3,9.6,6.0,9.5,9.1,9.9,2.7,2.7,2.8,2.5,1.8,2.6,2.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,98.0,85.0,27.0,60.0,13.0
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2021-01,101339,169000,100789.0,63094,130314.0,110874,92469,75.3,75.7,75.4,76.6,76.9,75.3,75.2,12.0,11.8,12.0,9.3,9.5,11.4,12.3,-0.5,-1.1,-0.5,0.2,-1.9,-0.5,-0.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,78.0,78.0,17.0,61.0,
http://landregistry.data.gov.uk/data/ukhpi/region/blaenau-gwent/month/2021-02,101844,168842,101293.0,63922,130359.0,111343,93023,75.7,75.6,75.7,77.6,77.0,75.6,75.7,12.1,11.4,12.1,10.2,8.2,11.4,12.6,0.5,-0.1,0.5,1.3,0.0,0.4,0.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/blaenau-gwent,78.0,78.0,21.0,57.0,
