_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-01,34208,52501,33319.0,20614,45234.0,31726,25785,20.4,21.5,20.4,23.9,20.2,20.2,19.8,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,61.0,50.0,11.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-02,32596,49832,31704.0,19614,43337.0,30400,24511,19.4,20.4,19.4,22.7,19.3,19.3,18.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,69.0,55.0,14.0,-4.7,-5.1,-4.8,-4.9,-4.2,-4.2,-4.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-03,31736,48414,30855.0,19046,42252.0,29619,23903,18.9,19.8,18.9,22.0,18.8,18.8,18.3,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,91.0,78.0,13.0,-2.6,-2.8,-2.7,-2.9,-2.5,-2.6,-2.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-04,31206,47476,30342.0,18741,41535.0,29178,23525,18.6,19.4,18.5,21.7,18.5,18.6,18.0,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,78.0,62.0,16.0,-1.7,-1.9,-1.7,-1.6,-1.7,-1.5,-1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-05,31456,47784,30607.0,18876,41761.0,29408,23760,18.7,19.6,18.7,21.8,18.6,18.7,18.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,98.0,76.0,22.0,0.8,0.6,0.9,0.7,0.5,0.8,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-06,32178,48931,31312.0,19416,42698.0,30114,24241,19.2,20.0,19.1,22.5,19.0,19.1,18.6,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,130.0,94.0,36.0,2.3,2.4,2.3,2.9,2.2,2.4,2.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-07,31219,47586,30371.0,18723,41466.0,29183,23489,18.6,19.5,18.6,21.7,18.5,18.6,18.0,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,82.0,68.0,14.0,-3.0,-2.7,-3.0,-3.6,-2.9,-3.1,-3.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-08,31700,48569,30837.0,18929,42119.0,29551,23790,18.9,19.9,18.9,21.9,18.8,18.8,18.2,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,88.0,75.0,13.0,1.5,2.1,1.5,1.1,1.6,1.3,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-09,31812,48746,30992.0,18942,42034.0,29602,23927,19.0,19.9,18.9,21.9,18.7,18.8,18.4,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,101.0,86.0,15.0,0.4,0.4,0.5,0.1,-0.2,0.2,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-10,32639,50042,31760.0,19522,43323.0,30458,24443,19.4,20.5,19.4,22.6,19.3,19.4,18.7,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,94.0,76.0,18.0,2.6,2.7,2.5,3.1,3.1,2.9,2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-11,31728,48616,30847.0,19164,42249.0,29670,23711,18.9,19.9,18.9,22.2,18.8,18.9,18.2,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,78.0,68.0,10.0,-2.8,-2.8,-2.9,-1.8,-2.5,-2.6,-3.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolsover/month/1995-12,31932,48964,30961.0,19256,42953.0,29940,23761,19.0,20.0,18.9,22.3,19.2,19.0,18.2,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolsover,100.0,70.0,30.0,0.6,0.7,0.4,0.5,1.7,0.9,0.2,,,,,,,,,
