_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-01,37680,73061,37279.0,27946,54914.0,39918,29950,20.6,21.3,20.6,25.0,20.9,20.2,20.2,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,231.0,204.0,27.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-02,38205,73678,37768.0,28302,55940.0,40746,30298,20.9,21.5,20.9,25.3,21.3,20.6,20.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,247.0,218.0,29.0,1.4,0.8,1.3,1.3,1.9,2.1,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-03,38067,73216,37630.0,28126,55751.0,40558,30243,20.8,21.3,20.8,25.2,21.2,20.5,20.4,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,328.0,286.0,42.0,-0.4,-0.6,-0.4,-0.6,-0.3,-0.5,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-04,38645,74106,38207.0,28543,56555.0,41225,30712,21.2,21.6,21.1,25.5,21.5,20.8,20.7,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,246.0,201.0,45.0,1.5,1.2,1.5,1.5,1.4,1.6,1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-05,38600,73773,38188.0,28485,56258.0,41107,30749,21.1,21.5,21.1,25.5,21.4,20.8,20.7,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,298.0,266.0,32.0,-0.1,-0.4,0.0,-0.2,-0.5,-0.3,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-06,38062,72821,37653.0,28205,55500.0,40637,30252,20.8,21.2,20.8,25.2,21.1,20.5,20.4,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,343.0,292.0,51.0,-1.4,-1.3,-1.4,-1.0,-1.3,-1.1,-1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-07,36692,70427,36287.0,27069,53588.0,39190,29127,20.1,20.5,20.1,24.2,20.4,19.8,19.6,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,282.0,238.0,44.0,-3.6,-3.3,-3.6,-4.0,-3.4,-3.6,-3.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-08,35963,69618,35548.0,26386,52694.0,38404,28472,19.7,20.3,19.6,23.6,20.0,19.4,19.2,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,292.0,249.0,43.0,-2.0,-1.1,-2.0,-2.5,-1.7,-2.0,-2.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-09,36019,69793,35633.0,26268,52514.0,38393,28548,19.7,20.3,19.7,23.5,20.0,19.4,19.2,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,296.0,253.0,43.0,0.2,0.3,0.2,-0.4,-0.3,0.0,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/1995-10,36356,70566,35937.0,26641,53270.0,38870,28734,19.9,20.6,19.9,23.8,20.2,19.6,19.3,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,309.0,254.0,55.0,0.9,1.1,0.9,1.4,1.4,1.2,0.7,,,,,,,,,
