_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-01,134854,255460,133224.0,85646,202682.0,146654,108247,73.8,74.5,73.6,76.6,77.0,74.1,72.8,2.5,2.2,2.5,0.7,2.7,2.9,2.6,-0.7,-0.5,-0.7,-1.0,0.2,-0.7,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,275.0,262.0,13.0,77.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-02,134385,254372,132726.0,85288,203507.0,146074,107974,73.6,74.2,73.4,76.3,77.3,73.8,72.7,2.5,2.2,2.6,0.5,1.4,2.8,2.7,-0.3,-0.4,-0.4,-0.4,0.4,-0.4,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,303.0,280.0,23.0,74.0,228.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-03,136036,257840,134274.0,86302,209073.0,147980,109177,74.5,75.2,74.2,77.2,79.5,74.7,73.5,5.9,5.5,5.9,4.2,5.6,6.1,6.2,1.2,1.4,1.2,1.2,2.7,1.3,1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,282.0,256.0,26.0,73.0,197.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-04,136334,258826,134548.0,85828,210207.0,148182,109556,74.6,75.5,74.4,76.8,79.9,74.8,73.7,6.1,6.3,6.1,3.8,5.9,6.3,6.3,0.2,0.4,0.2,-0.5,0.5,0.1,0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,142.0,136.0,6.0,29.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-05,135468,257407,133601.0,85188,211826.0,147451,108700,74.2,75.0,73.8,76.2,80.5,74.5,73.2,5.4,5.9,5.2,3.4,8.0,5.6,5.2,-0.6,-0.5,-0.7,-0.7,0.8,-0.5,-0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,142.0,134.0,8.0,44.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-06,134875,256072,133080.0,84560,208905.0,146904,108257,73.8,74.7,73.6,75.7,79.4,74.2,72.9,1.8,2.5,1.7,-0.6,4.5,2.2,1.5,-0.4,-0.5,-0.4,-0.7,-1.4,-0.4,-0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,219.0,217.0,2.0,64.0,151.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-07,135263,256204,133535.0,85404,207148.0,147379,108523,74.1,74.7,73.8,76.4,78.7,74.4,73.0,1.6,2.0,1.5,-0.2,2.8,2.1,1.3,0.3,0.1,0.3,1.0,-0.8,0.3,0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,272.0,244.0,28.0,92.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-08,137958,261652,136257.0,86634,209283.0,150388,110673,75.5,76.3,75.3,77.5,79.5,75.9,74.5,3.3,3.9,3.2,1.1,3.8,3.9,2.8,2.0,2.1,2.0,1.4,1.0,2.0,2.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,284.0,265.0,19.0,80.0,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-09,139235,264939,137500.0,87137,211768.0,151667,111664,76.2,77.2,76.0,78.0,80.5,76.6,75.1,4.7,5.6,4.7,2.2,4.8,5.5,4.1,0.9,1.3,0.9,0.6,1.2,0.9,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,350.0,332.0,18.0,88.0,257.0
http://landregistry.data.gov.uk/data/ukhpi/region/bolton/month/2020-10,143140,273220,141420.0,89049,215718.0,155787,114830,78.4,79.7,78.2,79.7,82.0,78.7,77.3,7.1,8.4,7.1,4.1,6.6,7.5,6.7,2.8,3.1,2.9,2.2,1.9,2.7,2.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bolton,422.0,396.0,26.0,136.0,280.0
