_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-01,31398,44455,30921.0,15903,37201.0,27085,20832,16.8,17.2,16.6,19.7,16.3,16.3,16.2,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,45.0,32.0,13.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-02,34855,49141,34258.0,17591,41663.0,30259,23088,18.6,19.0,18.4,21.7,18.2,18.2,18.0,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,51.0,42.0,9.0,11.0,10.5,10.8,10.6,12.0,11.7,10.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-03,35173,49419,34552.0,17786,42149.0,30592,23392,18.8,19.1,18.6,22.0,18.4,18.4,18.2,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,69.0,55.0,14.0,0.9,0.6,0.9,1.1,1.2,1.1,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-04,37766,52950,37102.0,19112,45239.0,32896,25161,20.2,20.5,19.9,23.6,19.8,19.7,19.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,76.0,68.0,8.0,7.4,7.1,7.4,7.5,7.3,7.5,7.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-05,37979,53287,37323.0,19215,45431.0,33043,25321,20.3,20.6,20.1,23.7,19.9,19.8,19.7,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,59.0,49.0,10.0,0.6,0.6,0.6,0.5,0.4,0.4,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-06,37309,52451,36675.0,18894,44572.0,32440,24786,19.9,20.3,19.7,23.3,19.5,19.5,19.3,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,64.0,54.0,10.0,-1.8,-1.6,-1.7,-1.7,-1.9,-1.8,-2.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-07,36393,51319,35774.0,18296,43477.0,31590,24118,19.4,19.8,19.2,22.6,19.0,19.0,18.8,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,51.0,44.0,7.0,-2.5,-2.2,-2.5,-3.2,-2.5,-2.6,-2.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-08,35735,50537,35155.0,17863,42546.0,30949,23651,19.1,19.5,18.9,22.1,18.6,18.6,18.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,74.0,56.0,18.0,-1.8,-1.5,-1.7,-2.4,-2.1,-2.0,-1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-09,36426,51599,35881.0,18116,43118.0,31485,24127,19.5,20.0,19.3,22.4,18.8,18.9,18.8,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,75.0,55.0,20.0,1.9,2.1,2.1,1.4,1.3,1.7,2.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-10,36441,51706,35838.0,18161,43453.0,31546,23973,19.5,20.0,19.3,22.4,19.0,18.9,18.7,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,71.0,59.0,12.0,0.0,0.2,-0.1,0.2,0.8,0.2,-0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-11,36534,51870,35886.0,18299,43796.0,31669,23919,19.5,20.1,19.3,22.6,19.1,19.0,18.6,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,92.0,68.0,24.0,0.3,0.3,0.1,0.8,0.8,0.4,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1995-12,36745,52175,35998.0,18395,44577.0,31920,23959,19.6,20.2,19.3,22.7,19.5,19.2,18.7,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,76.0,58.0,18.0,0.6,0.6,0.3,0.5,1.8,0.8,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-01,35666,50562,34901.0,17804,43487.0,31015,23303,19.0,19.6,18.8,22.0,19.0,18.6,18.2,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,47.0,35.0,12.0,-2.9,-3.1,-3.0,-3.2,-2.4,-2.8,-2.7,13.6,13.7,12.9,12.0,16.9,14.5,11.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-02,36777,51905,35937.0,18321,45134.0,32110,24146,19.6,20.1,19.3,22.6,19.7,19.3,18.8,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,50.0,38.0,12.0,3.1,2.7,3.0,2.9,3.8,3.5,3.6,5.5,5.6,4.9,4.1,8.3,6.1,4.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-03,37256,52643,36370.0,18508,45910.0,32564,24358,19.9,20.4,19.5,22.9,20.1,19.5,19.0,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,89.0,73.0,16.0,1.3,1.4,1.2,1.0,1.7,1.4,0.9,5.9,6.5,5.3,4.1,8.9,6.4,4.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-04,38518,54385,37613.0,19200,47408.0,33667,25226,20.6,21.0,20.2,23.7,20.7,20.2,19.7,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,77.0,58.0,19.0,3.4,3.3,3.4,3.7,3.3,3.4,3.6,2.0,2.7,1.4,0.5,4.8,2.3,0.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-05,37372,52903,36537.0,18583,45778.0,32550,24469,20.0,20.5,19.6,23.0,20.0,19.5,19.1,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,102.0,77.0,25.0,-3.0,-2.7,-2.9,-3.2,-3.4,-3.3,-3.0,-1.6,-0.7,-2.1,-3.3,0.8,-1.5,-3.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-06,37247,52748,36435.0,18606,45520.0,32364,24452,19.9,20.4,19.6,23.0,19.9,19.4,19.1,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,71.0,59.0,12.0,-0.3,-0.3,-0.3,0.1,-0.6,-0.6,-0.1,-0.2,0.6,-0.7,-1.5,2.1,-0.2,-1.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-07,37382,53036,36598.0,18529,45524.0,32443,24493,20.0,20.5,19.7,22.9,19.9,19.5,19.1,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,109.0,95.0,14.0,0.4,0.5,0.4,-0.4,0.0,0.2,0.2,2.7,3.3,2.3,1.3,4.7,2.7,1.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-08,36079,51400,35311.0,17736,43995.0,31241,23502,19.3,19.9,19.0,21.9,19.2,18.8,18.3,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,89.0,74.0,15.0,-3.5,-3.1,-3.5,-4.3,-3.4,-3.7,-4.0,1.0,1.7,0.4,-0.7,3.4,0.9,-0.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-09,35715,50954,35008.0,17372,43277.0,30868,23285,19.1,19.7,18.8,21.5,18.9,18.5,18.2,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,84.0,67.0,17.0,-1.0,-0.9,-0.9,-2.0,-1.6,-1.2,-0.9,-2.0,-1.3,-2.4,-4.1,0.4,-2.0,-3.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/boston/month/1996-10,36419,52073,35694.0,17634,44152.0,31451,23651,19.4,20.1,19.2,21.8,19.3,18.9,18.4,1996-10,1,1996-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/boston,111.0,86.0,25.0,2.0,2.2,2.0,1.5,2.0,1.9,1.6,-0.1,0.7,-0.4,-2.9,1.6,-0.3,-1.3,,
