_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-01,55465,94411,56650.0,39849,51618.0,57286,49246,16.2,15.7,16.4,17.7,17.6,15.0,15.7,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,447.0,407.0,40.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-02,55465,94411,56650.0,39849,51618.0,57286,49246,16.2,15.7,16.4,17.7,17.6,15.0,15.7,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,448.0,411.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-03,55465,94411,56650.0,39849,51618.0,57286,49246,16.2,15.7,16.4,17.7,17.6,15.0,15.7,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,660.0,602.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-04,55641,94472,56817.0,39942,51897.0,57645,49640,16.2,15.7,16.5,17.8,17.7,15.1,15.8,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,619.0,555.0,64.0,0.3,0.1,0.3,0.2,0.5,0.6,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-05,55283,93923,56453.0,39640,51546.0,57307,49315,16.1,15.6,16.4,17.6,17.5,15.0,15.7,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,586.0,544.0,42.0,-0.6,-0.6,-0.6,-0.8,-0.7,-0.6,-0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-06,55245,93859,56403.0,39608,51601.0,57339,49210,16.1,15.6,16.4,17.6,17.6,15.0,15.7,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,654.0,577.0,77.0,-0.1,-0.1,-0.1,-0.1,0.1,0.1,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-07,55806,95120,56988.0,39800,52023.0,57971,49780,16.3,15.8,16.5,17.7,17.7,15.2,15.8,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,598.0,535.0,63.0,1.0,1.3,1.0,0.5,0.8,1.1,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-08,55720,95311,56943.0,39756,51588.0,57676,49405,16.3,15.8,16.5,17.7,17.6,15.1,15.7,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,672.0,596.0,76.0,-0.2,0.2,-0.1,-0.1,-0.8,-0.5,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-09,55172,94673,56427.0,39201,50708.0,57103,48936,16.1,15.7,16.4,17.4,17.3,15.0,15.6,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,642.0,580.0,62.0,-1.0,-0.7,-0.9,-1.4,-1.7,-1.0,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-10,53712,92118,54899.0,38387,49658.0,55516,47185,15.7,15.3,15.9,17.1,16.9,14.6,15.0,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,633.0,554.0,79.0,-2.6,-2.7,-2.7,-2.1,-2.1,-2.8,-3.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-11,53958,92404,55098.0,38704,50323.0,55743,47246,15.7,15.3,16.0,17.2,17.1,14.6,15.0,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,649.0,579.0,70.0,0.5,0.3,0.4,0.8,1.3,0.4,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1995-12,54123,92524,55208.0,38867,50965.0,55992,47416,15.8,15.4,16.0,17.3,17.3,14.7,15.1,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,611.0,542.0,69.0,0.3,0.1,0.2,0.4,1.3,0.4,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-01,53986,92399,55041.0,38681,51066.0,55844,47384,15.7,15.3,16.0,17.2,17.4,14.7,15.1,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,554.0,509.0,45.0,-0.3,-0.1,-0.3,-0.5,0.2,-0.3,-0.1,-2.7,-2.1,-2.8,-2.9,-1.1,-2.5,-3.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-02,53430,91341,54448.0,38004,50804.0,55766,47217,15.6,15.2,15.8,16.9,17.3,14.6,15.0,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,499.0,456.0,43.0,-1.0,-1.1,-1.1,-1.7,-0.5,-0.1,-0.4,-3.7,-3.3,-3.9,-4.6,-1.6,-2.7,-4.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-03,53571,91746,54564.0,38027,51212.0,56018,47182,15.6,15.2,15.8,16.9,17.4,14.7,15.0,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,787.0,739.0,48.0,0.3,0.4,0.2,0.1,0.8,0.5,-0.1,-3.4,-2.8,-3.7,-4.6,-0.8,-2.2,-4.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-04,54215,92621,55223.0,38640,51796.0,56604,47797,15.8,15.4,16.0,17.2,17.6,14.9,15.2,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,692.0,636.0,56.0,1.2,1.0,1.2,1.6,1.1,1.0,1.3,-2.6,-2.0,-2.8,-3.3,-0.2,-1.8,-3.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-05,54741,93564,55785.0,39018,51964.0,56960,48420,16.0,15.5,16.2,17.3,17.7,14.9,15.4,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,794.0,738.0,56.0,1.0,1.0,1.0,1.0,0.3,0.6,1.3,-1.0,-0.4,-1.2,-1.6,0.8,-0.6,-1.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-06,55079,93837,56144.0,39596,52110.0,57052,48623,16.1,15.6,16.3,17.6,17.7,15.0,15.5,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,674.0,627.0,47.0,0.6,0.3,0.6,1.5,0.3,0.2,0.4,-0.3,0.0,-0.5,0.0,1.0,-0.5,-1.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-07,55886,95496,56985.0,39860,52634.0,58171,49390,16.3,15.9,16.5,17.7,17.9,15.3,15.7,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,905.0,861.0,44.0,1.5,1.8,1.5,0.7,1.0,2.0,1.6,0.1,0.4,0.0,0.2,1.2,0.3,-0.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-08,56630,97195,57745.0,40321,53322.0,58785,49772,16.5,16.1,16.8,17.9,18.1,15.4,15.8,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,895.0,826.0,69.0,1.3,1.8,1.3,1.2,1.3,1.1,0.8,1.6,2.0,1.4,1.4,3.4,1.9,0.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bournemouth-christchurch-and-poole/month/1996-09,57277,98916,58432.0,40297,53587.0,59552,50558,16.7,16.4,17.0,17.9,18.2,15.6,16.1,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bournemouth-christchurch-and-poole,847.0,792.0,55.0,1.1,1.8,1.2,-0.1,0.5,1.3,1.6,3.8,4.5,3.6,2.8,5.7,4.3,3.3,,
