_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-01,73309,138013,70960.0,50120,102456.0,77697,59762,18.3,18.5,18.0,21.9,17.5,17.5,17.0,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,121.0,94.0,27.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-02,73551,136953,71148.0,50443,103003.0,78394,60300,18.3,18.3,18.0,22.1,17.6,17.7,17.2,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,125.0,84.0,41.0,0.3,-0.8,0.3,0.6,0.5,0.9,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-03,73580,136564,71171.0,50464,103061.0,78419,60502,18.3,18.3,18.0,22.1,17.6,17.7,17.3,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,224.0,149.0,75.0,0.0,-0.3,0.0,0.0,0.1,0.0,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-04,75260,138860,72846.0,51806,105190.0,80344,62072,18.8,18.6,18.5,22.7,17.9,18.1,17.7,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,172.0,129.0,43.0,2.3,1.7,2.4,2.7,2.1,2.5,2.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-05,75406,139066,73027.0,51942,105222.0,80596,62161,18.8,18.6,18.5,22.7,17.9,18.2,17.7,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,211.0,145.0,66.0,0.2,0.1,0.2,0.3,0.0,0.3,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-06,76386,140958,73975.0,52797,106591.0,81810,62784,19.0,18.9,18.8,23.1,18.2,18.4,17.9,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,250.0,189.0,61.0,1.3,1.4,1.3,1.6,1.3,1.5,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-07,74907,138750,72506.0,51453,104691.0,80223,61493,18.7,18.6,18.4,22.5,17.9,18.1,17.5,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,164.0,136.0,28.0,-1.9,-1.6,-2.0,-2.5,-1.8,-1.9,-2.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-08,74076,138126,71679.0,50537,103627.0,79089,60696,18.5,18.5,18.2,22.1,17.7,17.8,17.3,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,206.0,172.0,34.0,-1.1,-0.4,-1.1,-1.8,-1.0,-1.4,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-09,72584,135764,70321.0,49205,101159.0,77426,59464,18.1,18.2,17.8,21.5,17.2,17.4,17.0,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,177.0,135.0,42.0,-2.0,-1.7,-1.9,-2.6,-2.4,-2.1,-2.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/1995-10,72577,135708,70248.0,49370,101449.0,77613,59319,18.1,18.2,17.8,21.6,17.3,17.5,16.9,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,180.0,139.0,41.0,0.0,0.0,-0.1,0.3,0.3,0.2,-0.2,,,,,,,,,
