_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-01,341871,629772,329508.0,204652,514642.0,375441,291026,85.2,84.4,83.6,89.6,87.8,84.6,83.0,-1.3,-1.3,-1.2,-2.7,-2.2,-0.8,-0.6,-0.2,-0.2,-0.3,-0.3,0.3,-0.2,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,174.0,131.0,43.0,29.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-02,341736,629642,329805.0,204378,518790.0,374830,291237,85.2,84.3,83.6,89.4,88.5,84.5,83.0,-1.4,-1.3,-0.9,-3.3,-3.2,-1.0,-0.5,0.0,0.0,0.1,-0.1,0.8,-0.2,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,160.0,115.0,45.0,30.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-03,337757,623180,325854.0,201941,518874.0,370619,287559,84.2,83.5,82.6,88.4,88.5,83.5,82.0,-1.6,-1.4,-1.1,-3.3,-2.7,-1.2,-0.8,-1.2,-1.0,-1.2,-1.2,0.0,-1.1,-1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,172.0,120.0,52.0,21.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-04,339902,629256,327871.0,202166,522421.0,372709,289839,84.7,84.3,83.1,88.5,89.1,84.0,82.6,0.0,0.9,0.5,-2.3,-1.3,0.3,0.7,0.6,1.0,0.6,0.1,0.7,0.6,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,77.0,55.0,22.0,13.0,59.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-05,341787,631226,328313.0,204110,531826.0,375473,290749,85.2,84.6,83.3,89.3,90.7,84.6,82.9,-0.3,0.6,-0.3,-1.7,0.8,0.1,-0.2,0.6,0.3,0.1,1.0,1.8,0.7,0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,97.0,78.0,19.0,23.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-06,345741,638274,333102.0,205735,533382.0,379839,295015,86.2,85.5,84.5,90.0,90.9,85.6,84.1,0.5,1.3,0.7,-1.1,1.6,1.0,0.8,1.2,1.1,1.5,0.8,0.3,1.2,1.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,105.0,76.0,29.0,21.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-07,344529,634481,332716.0,205501,527775.0,378322,294188,85.9,85.0,84.4,89.9,90.0,85.3,83.9,1.4,1.9,1.8,-0.1,1.4,1.8,1.8,-0.4,-0.6,-0.1,-0.1,-1.1,-0.4,-0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,143.0,103.0,40.0,20.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-08,346292,640215,335360.0,204780,525989.0,380369,296572,86.3,85.8,85.0,89.6,89.7,85.7,84.6,3.9,4.5,4.5,1.9,3.3,4.3,4.6,0.5,0.9,0.8,-0.4,-0.3,0.5,0.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,141.0,109.0,32.0,23.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-09,346126,642603,334793.0,203870,527600.0,380514,296040,86.3,86.1,84.9,89.2,90.0,85.8,84.4,2.9,4.0,3.5,0.4,1.9,3.6,3.3,0.0,0.4,-0.2,-0.4,0.3,0.0,-0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,153.0,125.0,28.0,31.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-10,347585,648338,337226.0,203253,525097.0,381903,297831,86.7,86.8,85.5,89.0,89.5,86.1,84.9,1.7,3.3,2.6,-1.2,0.3,2.1,2.4,0.4,0.9,0.7,-0.3,-0.5,0.4,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,195.0,130.0,65.0,37.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-11,348701,651514,339532.0,203612,521167.0,381905,299407,86.9,87.3,86.1,89.1,88.9,86.1,85.4,1.2,2.8,2.4,-1.7,-0.3,1.1,2.2,0.3,0.5,0.7,0.2,-0.7,0.0,0.5,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,216.0,174.0,42.0,46.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2020-12,351524,657034,343046.0,204812,521894.0,384407,302592,87.6,88.0,87.0,89.6,89.0,86.6,86.3,2.6,4.2,3.8,-0.3,1.7,2.2,3.8,0.8,0.8,1.0,0.6,0.1,0.7,1.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,226.0,190.0,36.0,44.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2021-01,349874,649690,341990.0,204972,516951.0,382169,301926,87.2,87.0,86.7,89.7,88.1,86.1,86.1,2.3,3.2,3.8,0.2,0.4,1.8,3.7,-0.5,-1.1,-0.3,0.1,-0.9,-0.6,-0.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,191.0,156.0,35.0,31.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2021-02,350748,645432,342720.0,207249,518734.0,382504,303364,87.5,86.5,86.9,90.7,88.4,86.2,86.5,2.6,2.5,3.9,1.4,0.0,2.0,4.2,0.2,-0.7,0.2,1.1,0.3,0.1,0.5,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,272.0,226.0,46.0,50.0,222.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2021-03,352071,641569,343585.0,210253,522478.0,383062,304919,87.8,85.9,87.1,92.0,89.1,86.3,86.9,4.2,3.0,5.4,4.1,0.7,3.4,6.0,0.4,-0.6,0.3,1.4,0.7,0.1,0.5,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,327.0,280.0,47.0,67.0,259.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2021-04,355158,646597,345496.0,212790,531825.0,386193,307082,88.6,86.6,87.6,93.1,90.7,87.0,87.6,4.5,2.8,5.4,5.3,1.8,3.6,5.9,0.9,0.8,0.6,1.2,1.8,0.8,0.7,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,212.0,179.0,33.0,42.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2021-05,355115,648139,345256.0,212466,532608.0,386349,306712,88.5,86.8,87.5,93.0,90.8,87.1,87.5,3.9,2.7,5.2,4.1,0.1,2.9,5.5,0.0,0.2,-0.1,-0.2,0.1,0.0,-0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,199.0,168.0,31.0,40.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/bracknell-forest/month/2021-06,356275,649876,347790.0,212279,528384.0,386795,309445,88.8,87.1,88.2,92.9,90.1,87.2,88.2,3.0,1.8,4.4,3.2,-0.9,1.8,4.9,0.3,0.3,0.7,-0.1,-0.8,0.1,0.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bracknell-forest,544.0,454.0,90.0,89.0,451.0
