_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-01,146829,228900,145451.0,87141,176165.0,143957,116167,76.4,76.7,76.1,80.1,79.1,76.5,75.4,3.8,3.5,3.8,1.9,3.7,4.1,3.9,-1.2,-1.0,-1.3,-1.5,-0.3,-1.2,-1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,172.0,165.0,7.0,50.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-02,145960,227771,144432.0,86297,177009.0,142938,115602,76.0,76.3,75.6,79.3,79.5,76.0,75.0,5.4,5.0,5.5,3.3,4.4,5.7,5.8,-0.6,-0.5,-0.7,-1.0,0.5,-0.7,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,170.0,159.0,11.0,44.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-03,146307,228570,144570.0,86149,179964.0,143193,115892,76.2,76.6,75.7,79.2,80.9,76.1,75.2,5.2,4.7,5.2,3.4,5.0,5.3,5.7,0.2,0.4,0.1,-0.2,1.7,0.2,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,222.0,201.0,21.0,48.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-04,147277,230474,145452.0,86229,182201.0,144016,116713,76.7,77.2,76.1,79.2,81.9,76.6,75.8,4.7,4.6,4.7,2.7,4.6,4.7,5.1,0.7,0.8,0.6,0.1,1.2,0.6,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,81.0,73.0,8.0,25.0,56.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-05,147253,230377,145236.0,86187,184740.0,144067,116657,76.7,77.2,76.0,79.2,83.0,76.6,75.7,3.4,3.6,3.1,1.6,5.9,3.3,3.4,0.0,0.0,-0.1,0.0,1.4,0.0,0.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,79.0,76.0,3.0,18.0,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-06,147627,230726,145747.0,86266,183346.0,144553,116980,76.8,77.3,76.3,79.3,82.4,76.8,75.9,2.7,3.1,2.5,0.6,5.4,2.8,2.7,0.3,0.2,0.4,0.1,-0.8,0.3,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,92.0,81.0,11.0,23.0,68.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-07,151644,236562,149895.0,88977,185876.0,148611,120170,78.9,79.2,78.4,81.8,83.5,79.0,78.0,4.1,4.2,4.0,2.2,5.2,4.3,4.0,2.7,2.5,2.8,3.1,1.4,2.8,2.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,97.0,88.0,9.0,26.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-08,155703,242973,154076.0,90685,188610.0,152631,123465,81.1,81.4,80.6,83.3,84.7,81.1,80.2,4.9,5.0,4.9,2.4,5.1,5.2,4.8,2.7,2.7,2.8,1.9,1.5,2.7,2.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,124.0,118.0,6.0,38.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-09,156640,244989,154964.0,90569,190246.0,153419,124221,81.5,82.1,81.1,83.2,85.5,81.6,80.6,4.8,5.0,4.8,1.6,4.5,5.1,4.5,0.6,0.8,0.6,-0.1,0.9,0.5,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,157.0,153.0,4.0,41.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-10,157862,247447,156302.0,90606,190061.0,154457,125239,82.2,82.9,81.8,83.3,85.4,82.1,81.3,6.2,6.9,6.3,2.4,5.6,6.3,6.2,0.8,1.0,0.9,0.0,-0.1,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,252.0,244.0,8.0,73.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-11,158581,248747,157188.0,91178,188694.0,154878,125968,82.5,83.3,82.3,83.8,84.8,82.3,81.8,7.0,7.7,7.1,3.2,6.0,6.7,7.3,0.5,0.5,0.6,0.6,-0.7,0.3,0.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,202.0,190.0,12.0,57.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2020-12,159786,250445,158502.0,91905,188597.0,155855,127210,83.2,83.9,82.9,84.5,84.7,82.9,82.6,7.6,8.3,7.6,3.9,6.8,6.9,8.2,0.8,0.7,0.8,0.8,-0.1,0.6,1.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,216.0,206.0,10.0,53.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2021-01,161313,251379,160174.0,93857,188418.0,157435,128801,84.0,84.2,83.8,86.3,84.7,83.7,83.6,9.9,9.8,10.1,7.7,7.0,9.4,10.9,1.0,0.4,1.1,2.1,-0.1,1.0,1.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,137.0,133.0,4.0,34.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2021-02,160710,248908,159602.0,94427,187423.0,156987,128701,83.7,83.4,83.5,86.8,84.2,83.5,83.5,10.1,9.3,10.5,9.4,5.9,9.8,11.3,-0.4,-1.0,-0.4,0.6,-0.5,-0.3,-0.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,221.0,211.0,10.0,53.0,167.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2021-03,162845,250647,161713.0,96976,190081.0,159145,130776,84.8,83.9,84.6,89.1,85.4,84.6,84.9,11.3,9.7,11.9,12.6,5.6,11.1,12.8,1.3,0.7,1.3,2.7,1.4,1.4,1.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,252.0,236.0,16.0,81.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2021-04,162962,250652,161657.0,96961,192534.0,159203,131020,84.8,83.9,84.6,89.1,86.5,84.6,85.1,10.6,8.8,11.1,12.4,5.7,10.5,12.3,0.1,0.0,0.0,0.0,1.3,0.0,0.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,226.0,215.0,11.0,64.0,162.0
