_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-01,47469,97834,47411.0,39384,36982.0,57328,47892,10.7,10.6,10.7,11.9,11.1,9.9,9.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,296.0,292.0,4.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-02,47864,97929,47782.0,39649,37584.0,58059,48388,10.8,10.6,10.8,12.0,11.3,10.0,9.7,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,288.0,284.0,4.0,0.8,0.1,0.8,0.7,1.6,1.3,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-03,48022,98083,47934.0,39765,37790.0,58261,48599,10.8,10.6,10.8,12.0,11.3,10.0,9.7,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,420.0,410.0,10.0,0.3,0.2,0.3,0.3,0.5,0.3,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-04,49732,100932,49645.0,41287,39072.0,60217,50326,11.2,10.9,11.2,12.5,11.7,10.4,10.1,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,390.0,378.0,12.0,3.6,2.9,3.6,3.8,3.4,3.4,3.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-05,50184,101408,50118.0,41796,39152.0,60549,50751,11.3,10.9,11.3,12.6,11.7,10.4,10.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,439.0,421.0,18.0,0.9,0.5,1.0,1.2,0.2,0.6,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-06,51244,103011,51190.0,42889,39813.0,61612,51676,11.6,11.1,11.5,13.0,11.9,10.6,10.4,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,460.0,420.0,40.0,2.1,1.6,2.1,2.6,1.7,1.8,1.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-07,51176,103291,51125.0,42675,39721.0,61653,51737,11.5,11.1,11.5,12.9,11.9,10.6,10.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,493.0,464.0,29.0,-0.1,0.3,-0.1,-0.5,-0.2,0.1,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-08,51617,104919,51564.0,42864,40089.0,62275,52310,11.6,11.3,11.6,13.0,12.0,10.7,10.5,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,504.0,478.0,26.0,0.9,1.6,0.9,0.4,0.9,1.0,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-09,51808,105740,51775.0,42846,39970.0,62578,52687,11.7,11.4,11.7,13.0,12.0,10.8,10.6,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,460.0,441.0,19.0,0.4,0.8,0.4,0.0,-0.3,0.5,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-10,51257,104700,51207.0,42507,39762.0,61943,51893,11.6,11.3,11.5,12.9,11.9,10.6,10.4,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,475.0,452.0,23.0,-1.1,-1.0,-1.1,-0.8,-0.5,-1.0,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-11,51105,104089,51046.0,42602,39769.0,61664,51465,11.5,11.2,11.5,12.9,11.9,10.6,10.3,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,452.0,433.0,19.0,-0.3,-0.6,-0.3,0.2,0.0,-0.5,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1995-12,50763,103249,50672.0,42401,39930.0,61288,50985,11.4,11.1,11.4,12.8,12.0,10.5,10.2,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,459.0,408.0,51.0,-0.7,-0.8,-0.7,-0.5,0.4,-0.6,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-01,50325,102640,50208.0,41905,39926.0,60839,50674,11.3,11.1,11.3,12.7,12.0,10.5,10.1,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,347.0,331.0,16.0,-0.9,-0.6,-0.9,-1.2,0.0,-0.7,-0.6,6.0,4.9,5.9,6.4,8.0,6.1,5.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-02,50424,102659,50270.0,41956,40460.0,61003,50864,11.4,11.1,11.3,12.7,12.1,10.5,10.2,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,387.0,338.0,49.0,0.2,0.0,0.1,0.1,1.3,0.3,0.4,5.3,4.8,5.2,5.8,7.7,5.1,5.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-03,49697,101586,49504.0,41232,40342.0,60278,50182,11.2,11.0,11.1,12.5,12.1,10.4,10.1,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,515.0,464.0,51.0,-1.4,-1.0,-1.5,-1.7,-0.3,-1.2,-1.3,3.5,3.6,3.3,3.7,6.8,3.5,3.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-04,50488,102225,50295.0,42145,40968.0,60848,50961,11.4,11.0,11.3,12.8,12.3,10.5,10.2,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,421.0,382.0,39.0,1.6,0.6,1.6,2.2,1.6,0.9,1.6,1.5,1.3,1.3,2.1,4.9,1.0,1.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-05,50707,102673,50543.0,42198,40873.0,61059,51387,11.4,11.1,11.4,12.8,12.3,10.5,10.3,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,529.0,483.0,46.0,0.4,0.4,0.5,0.1,-0.2,0.3,0.8,1.0,1.2,0.8,1.0,4.4,0.8,1.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-06,53159,107234,53002.0,44341,42713.0,63814,53886,12.0,11.6,11.9,13.4,12.8,11.0,10.8,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,572.0,477.0,95.0,4.8,4.4,4.9,5.1,4.5,4.5,4.9,3.7,4.1,3.5,3.4,7.3,3.6,4.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-07,54088,109995,53959.0,44815,43197.0,65257,54955,12.2,11.9,12.2,13.6,12.9,11.2,11.0,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,631.0,598.0,33.0,1.7,2.6,1.8,1.1,1.1,2.3,2.0,5.7,6.5,5.5,5.0,8.8,5.8,6.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-08,55786,114285,55663.0,46079,44460.0,67404,56703,12.6,12.3,12.5,13.9,13.3,11.6,11.4,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,623.0,579.0,44.0,3.1,3.9,3.2,2.8,2.9,3.3,3.2,8.1,8.9,8.0,7.5,10.9,8.2,8.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-09,55456,114296,55382.0,45676,43774.0,67029,56430,12.5,12.3,12.5,13.8,13.1,11.5,11.3,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,561.0,516.0,45.0,-0.6,0.0,-0.5,-0.9,-1.5,-0.6,-0.5,7.0,8.1,7.0,6.6,9.5,7.1,7.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-10,55475,114555,55405.0,45678,43764.0,67106,56411,12.5,12.4,12.5,13.8,13.1,11.5,11.3,1996-10,1,1996-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,631.0,590.0,41.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,8.2,9.4,8.2,7.5,10.1,8.3,8.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-11,55607,114148,55531.0,45936,43909.0,67116,56510,12.5,12.3,12.5,13.9,13.2,11.5,11.3,1996-11,1,1996-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,641.0,604.0,37.0,0.2,-0.4,0.2,0.6,0.3,0.0,0.2,8.8,9.7,8.8,7.8,10.4,8.8,9.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1996-12,56047,114537,55965.0,46336,44307.0,67660,56981,12.6,12.4,12.6,14.0,13.3,11.6,11.4,1996-12,1,1996-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,655.0,604.0,51.0,0.8,0.3,0.8,0.9,0.9,0.8,0.8,10.4,10.9,10.4,9.3,11.0,10.4,11.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/1997-01,55572,113376,55519.0,45899,43685.0,67004,56630,12.5,12.2,12.5,13.9,13.1,11.5,11.3,1997-01,1,1997-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,492.0,471.0,21.0,-0.8,-1.0,-0.8,-0.9,-1.4,-1.0,-0.6,10.4,10.5,10.6,9.5,9.4,10.1,11.8,,
