_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-01,358809,720885,358797.0,279267,286408.0,452860,390570,80.9,77.8,80.8,84.5,85.8,77.9,78.2,-1.3,-1.2,-1.3,-2.0,-2.0,-0.4,-0.2,0.8,0.8,0.8,0.7,1.7,0.8,1.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,281.0,279.0,2.0,76.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-02,355036,717430,355046.0,275001,285431.0,449906,388211,80.0,77.4,79.9,83.2,85.6,77.3,77.8,-0.3,0.3,-0.2,-1.4,-2.0,0.8,1.3,-1.1,-0.5,-1.0,-1.5,-0.3,-0.7,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,269.0,268.0,1.0,71.0,195.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-03,356933,723056,356927.0,275520,290764.0,453953,391696,80.5,78.0,80.4,83.4,87.2,78.0,78.5,2.2,3.0,2.2,0.7,1.3,3.7,3.8,0.5,0.8,0.5,0.2,1.9,0.9,0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,311.0,310.0,1.0,80.0,220.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-04,354939,723577,354939.0,273198,288822.0,451609,390286,80.0,78.1,79.9,82.7,86.6,77.6,78.2,1.3,3.0,1.3,-0.2,0.0,2.9,2.8,-0.6,0.1,-0.6,-0.8,-0.7,-0.5,-0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,109.0,107.0,2.0,22.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-05,358195,730212,358133.0,276317,294835.0,455231,392644,80.8,78.8,80.6,83.6,88.4,78.3,78.6,1.4,3.6,1.4,0.0,2.2,2.9,2.2,0.9,0.9,0.9,1.1,2.1,0.8,0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,134.0,132.0,2.0,39.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-06,358301,728643,358322.0,276602,290482.0,454832,392991,80.8,78.6,80.7,83.7,87.1,78.2,78.7,-0.2,1.9,-0.2,-1.5,0.0,1.2,0.8,0.0,-0.2,0.1,0.1,-1.5,-0.1,0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,188.0,187.0,1.0,54.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-07,362843,732509,362902.0,280801,292076.0,459958,397877,81.8,79.0,81.7,85.0,87.5,79.1,79.7,1.2,2.8,1.3,0.2,0.5,2.5,2.1,1.3,0.5,1.3,1.5,0.5,1.1,1.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,256.0,254.0,2.0,73.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-08,365754,738051,365880.0,281947,290733.0,464877,403195,82.5,79.6,82.4,85.3,87.1,79.9,80.8,1.8,3.1,1.9,0.5,0.4,3.2,3.0,0.8,0.8,0.8,0.4,-0.5,1.1,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,275.0,273.0,2.0,71.0,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-09,367050,743192,367147.0,282124,293387.0,467426,405562,82.8,80.2,82.7,85.4,87.9,80.4,81.2,2.6,4.1,2.7,1.1,1.2,4.3,3.8,0.4,0.7,0.3,0.1,0.9,0.5,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,359.0,358.0,1.0,96.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/brighton-and-hove/month/2020-10,369262,750602,369428.0,283189,291490.0,470610,408691,83.3,81.0,83.2,85.7,87.4,80.9,81.9,3.6,5.1,3.6,2.1,1.7,4.8,4.9,0.6,1.0,0.6,0.4,-0.6,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/brighton-and-hove,404.0,401.0,3.0,98.0,300.0
