_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-01,83082,175233,82930.0,58911,52136.0,98262,70928,15.8,15.9,15.7,18.2,16.7,15.0,14.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,323.0,295.0,28.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-02,83068,173052,82882.0,58884,52479.0,98608,71256,15.8,15.8,15.7,18.2,16.8,15.0,14.6,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,326.0,301.0,25.0,0.0,-1.2,-0.1,0.0,0.7,0.4,0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-03,82856,172233,82664.0,58706,52406.0,98331,71233,15.7,15.7,15.7,18.1,16.8,15.0,14.6,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,449.0,424.0,25.0,-0.3,-0.5,-0.3,-0.3,-0.1,-0.3,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-04,82525,170541,82336.0,58591,52178.0,98008,71115,15.7,15.5,15.6,18.1,16.7,14.9,14.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,362.0,327.0,35.0,-0.4,-1.0,-0.4,-0.2,-0.4,-0.3,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-05,82951,171691,82773.0,58859,52321.0,98460,71469,15.7,15.6,15.7,18.2,16.8,15.0,14.7,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,428.0,401.0,27.0,0.5,0.7,0.5,0.5,0.3,0.5,0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-06,83806,173200,83626.0,59733,52862.0,99537,72047,15.9,15.8,15.8,18.4,16.9,15.2,14.8,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,431.0,413.0,18.0,1.0,0.9,1.0,1.5,1.0,1.1,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-07,84330,174850,84155.0,59743,53140.0,100249,72488,16.0,15.9,15.9,18.4,17.0,15.3,14.9,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,399.0,390.0,9.0,0.6,1.0,0.6,0.0,0.5,0.7,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-08,83471,173872,83311.0,58880,52467.0,99183,71718,15.8,15.8,15.8,18.2,16.8,15.1,14.7,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,453.0,434.0,19.0,-1.0,-0.6,-1.0,-1.4,-1.3,-1.1,-1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-09,82847,173454,82726.0,58046,51682.0,98407,71205,15.7,15.8,15.7,17.9,16.6,15.0,14.6,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,408.0,392.0,16.0,-0.7,-0.2,-0.7,-1.4,-1.5,-0.8,-0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/1995-10,83276,174538,83121.0,58485,52293.0,99008,71338,15.8,15.9,15.7,18.0,16.8,15.1,14.6,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,392.0,373.0,19.0,0.5,0.6,0.5,0.8,1.2,0.6,0.2,,,,,,,,,
