_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-01,441520,901421,440116.0,284636,278021.0,540156,398918,83.8,82.0,83.4,87.8,89.1,82.3,81.9,-1.5,-1.6,-1.5,-2.7,-2.3,-0.8,-0.6,-0.9,-1.0,-1.0,-1.0,-0.3,-0.9,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,378.0,348.0,30.0,76.0,290.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-02,440331,899196,438812.0,283628,279325.0,538410,398523,83.6,81.8,83.1,87.5,89.6,82.0,81.8,-1.6,-1.4,-1.4,-3.1,-3.6,-0.8,-0.4,-0.3,-0.2,-0.3,-0.4,0.5,-0.3,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,368.0,343.0,25.0,65.0,291.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-03,438748,895768,436915.0,282597,282010.0,536837,396891,83.3,81.5,82.7,87.2,90.4,81.8,81.5,-1.1,-1.0,-1.0,-2.5,-2.3,-0.3,0.0,-0.4,-0.4,-0.4,-0.4,1.0,-0.3,-0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,395.0,363.0,32.0,77.0,297.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-04,440285,905177,438409.0,282422,283326.0,538580,398941,83.6,82.4,83.0,87.1,90.8,82.1,81.9,0.3,1.4,0.4,-1.5,-1.1,1.1,1.1,0.4,1.1,0.3,-0.1,0.5,0.3,0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,134.0,125.0,9.0,17.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-05,433420,891570,431114.0,278376,282950.0,530072,391968,82.2,81.2,81.6,85.9,90.7,80.8,80.5,-0.4,1.0,-0.4,-1.8,0.8,0.3,0.0,-1.6,-1.5,-1.7,-1.4,-0.1,-1.6,-1.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,170.0,156.0,14.0,36.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-06,432758,889125,430835.0,277208,279226.0,530279,392315,82.1,80.9,81.6,85.5,89.5,80.8,80.6,-0.9,0.5,-0.9,-2.4,0.1,-0.1,-0.4,-0.2,-0.3,-0.1,-0.4,-1.3,0.0,0.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,269.0,257.0,12.0,52.0,215.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-07,436493,891008,434832.0,280389,279158.0,534956,395672,82.8,81.1,82.4,86.5,89.5,81.5,81.3,-1.0,-0.1,-0.9,-2.3,-1.4,-0.3,-0.4,0.9,0.2,0.9,1.1,0.0,0.9,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,344.0,332.0,12.0,65.0,278.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-08,441736,903487,440501.0,282101,278593.0,543211,401746,83.8,82.2,83.4,87.0,89.3,82.8,82.5,-1.5,-0.7,-1.4,-3.2,-2.7,-0.5,-0.8,1.2,1.4,1.3,0.6,-0.2,1.5,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,347.0,333.0,14.0,50.0,290.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-09,444664,913958,443376.0,283056,280817.0,547655,404290,84.4,83.2,84.0,87.3,90.0,83.5,83.0,-1.0,0.1,-0.9,-3.0,-2.9,0.3,-0.4,0.7,1.2,0.7,0.3,0.8,0.8,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,408.0,396.0,12.0,65.0,341.0
http://landregistry.data.gov.uk/data/ukhpi/region/bromley/month/2020-10,445564,919346,444684.0,282307,277856.0,550013,405739,84.6,83.7,84.2,87.1,89.1,83.8,83.3,-0.3,1.0,-0.1,-2.5,-2.7,1.0,0.6,0.2,0.6,0.3,-0.3,-1.1,0.4,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromley,489.0,487.0,2.0,88.0,397.0
