_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-01,69900,153040,68921.0,46429,127156.0,82897,64141,17.1,17.3,17.3,20.0,17.1,16.3,16.0,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,73.0,70.0,3.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-02,71504,154832,70479.0,47387,130405.0,85058,65832,17.5,17.5,17.7,20.4,17.5,16.7,16.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,67.0,60.0,7.0,2.3,1.2,2.3,2.1,2.6,2.6,2.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-03,71849,155144,70800.0,47615,131290.0,85382,66253,17.6,17.5,17.8,20.5,17.6,16.8,16.5,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,135.0,126.0,9.0,0.5,0.2,0.5,0.5,0.7,0.4,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-04,72096,154715,71067.0,47841,131431.0,85678,66583,17.7,17.5,17.9,20.6,17.6,16.8,16.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,104.0,88.0,16.0,0.3,-0.3,0.4,0.5,0.1,0.3,0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-05,71260,152902,70267.0,47375,129566.0,84710,65739,17.5,17.3,17.7,20.4,17.4,16.6,16.4,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,101.0,82.0,19.0,-1.2,-1.2,-1.1,-1.0,-1.4,-1.1,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-06,70809,151928,69847.0,47214,128418.0,84335,65156,17.3,17.2,17.6,20.3,17.2,16.6,16.3,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,119.0,104.0,15.0,-0.6,-0.6,-0.6,-0.3,-0.9,-0.4,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-07,71773,154688,70799.0,47585,130145.0,85613,66071,17.6,17.5,17.8,20.5,17.5,16.8,16.5,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,129.0,113.0,16.0,1.4,1.8,1.4,0.8,1.3,1.5,1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-08,71751,155676,70775.0,47288,130135.0,85574,66098,17.6,17.6,17.8,20.4,17.5,16.8,16.5,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,121.0,110.0,11.0,0.0,0.6,0.0,-0.6,0.0,0.0,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-09,72399,157596,71461.0,47408,130665.0,86421,66797,17.7,17.8,18.0,20.4,17.5,17.0,16.7,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,131.0,119.0,12.0,0.9,1.2,1.0,0.3,0.4,1.0,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-10,70990,154751,70018.0,46592,128854.0,84910,65315,17.4,17.5,17.6,20.1,17.3,16.7,16.3,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,93.0,80.0,13.0,-1.9,-1.8,-2.0,-1.7,-1.4,-1.7,-2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-11,70806,154145,69811.0,46663,128867.0,84746,65017,17.3,17.4,17.6,20.1,17.3,16.7,16.2,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,136.0,108.0,28.0,-0.3,-0.4,-0.3,0.2,0.0,-0.2,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1995-12,69785,151883,68706.0,46096,128345.0,83516,64014,17.1,17.2,17.3,19.8,17.2,16.4,16.0,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,133.0,107.0,26.0,-1.4,-1.5,-1.6,-1.2,-0.4,-1.5,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1996-01,70651,154351,69496.0,46437,130799.0,84524,64895,17.3,17.4,17.5,20.0,17.6,16.6,16.2,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,95.0,77.0,18.0,1.2,1.6,1.1,0.7,1.9,1.2,1.4,1.1,0.9,0.8,0.0,2.9,2.0,1.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxbourne/month/1996-02,69816,152623,68616.0,45794,130109.0,83605,64151,17.1,17.2,17.3,19.7,17.5,16.4,16.0,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxbourne,109.0,96.0,13.0,-1.2,-1.1,-1.3,-1.4,-0.5,-1.1,-1.1,-2.4,-1.4,-2.6,-3.4,-0.2,-1.7,-2.6,,
