_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-01,45582,68307,45415.0,28141,51342.0,42130,32306,18.7,19.4,18.7,22.8,19.0,18.1,17.9,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,87.0,80.0,7.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-02,45446,67709,45286.0,27961,51114.0,42205,32215,18.6,19.2,18.6,22.7,19.0,18.1,17.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,117.0,105.0,12.0,-0.3,-0.9,-0.3,-0.6,-0.4,0.2,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-03,45663,67915,45503.0,28083,51355.0,42411,32449,18.7,19.3,18.7,22.8,19.0,18.2,17.9,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,172.0,146.0,26.0,0.5,0.3,0.5,0.4,0.5,0.5,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-04,46398,68813,46250.0,28528,52016.0,43161,33016,19.0,19.5,19.0,23.1,19.3,18.6,18.3,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,120.0,106.0,14.0,1.6,1.3,1.6,1.6,1.3,1.8,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-05,46904,69461,46773.0,28866,52383.0,43659,33411,19.2,19.7,19.2,23.4,19.4,18.8,18.5,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,114.0,104.0,10.0,1.1,0.9,1.1,1.2,0.7,1.2,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-06,47592,70488,47465.0,29371,53083.0,44352,33809,19.5,20.0,19.5,23.8,19.7,19.1,18.7,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,152.0,137.0,15.0,1.5,1.5,1.5,1.7,1.3,1.6,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-07,46851,69527,46715.0,28738,52379.0,43640,33232,19.2,19.7,19.2,23.3,19.4,18.8,18.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,134.0,119.0,15.0,-1.6,-1.4,-1.6,-2.2,-1.3,-1.6,-1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-08,47414,70708,47253.0,28850,53262.0,44054,33560,19.4,20.1,19.4,23.4,19.8,18.9,18.6,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,138.0,131.0,7.0,1.2,1.7,1.2,0.4,1.7,0.9,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-09,46956,70061,46814.0,28416,52565.0,43599,33268,19.2,19.9,19.2,23.0,19.5,18.7,18.4,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,128.0,117.0,11.0,-1.0,-0.9,-0.9,-1.5,-1.3,-1.0,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/broxtowe/month/1995-10,47904,71519,47742.0,29071,53819.0,44553,33794,19.6,20.3,19.6,23.6,20.0,19.1,18.7,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/broxtowe,114.0,107.0,7.0,2.0,2.1,2.0,2.3,2.4,2.2,1.6,,,,,,,,,
