_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-01,86586,154840,85882.0,52490,92185.0,79327,64851,18.4,18.3,18.3,21.7,18.1,17.4,17.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,580.0,520.0,60.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-02,84689,150099,83941.0,51291,90702.0,77999,63933,18.0,17.8,17.9,21.2,17.8,17.1,17.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,474.0,415.0,59.0,-2.2,-3.1,-2.3,-2.3,-1.6,-1.7,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-03,85454,150862,84674.0,51745,91745.0,78787,64832,18.1,17.9,18.0,21.4,18.0,17.3,17.6,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,679.0,586.0,93.0,0.9,0.5,0.9,0.9,1.1,1.0,1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-04,86007,151351,85220.0,52093,92355.0,79376,65484,18.2,17.9,18.1,21.5,18.2,17.4,17.8,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,650.0,576.0,74.0,0.6,0.3,0.6,0.7,0.7,0.7,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-05,87994,154990,87196.0,53278,94424.0,81179,66944,18.7,18.4,18.5,22.0,18.6,17.8,18.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,668.0,606.0,62.0,2.3,2.4,2.3,2.3,2.2,2.3,2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-06,88921,156637,88107.0,53887,95484.0,82112,67523,18.8,18.5,18.7,22.3,18.8,18.0,18.4,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,769.0,673.0,96.0,1.1,1.1,1.0,1.1,1.1,1.1,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-07,89123,157367,88268.0,53563,96058.0,82289,67718,18.9,18.6,18.8,22.1,18.9,18.1,18.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,723.0,667.0,56.0,0.2,0.5,0.2,-0.6,0.6,0.2,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-08,89419,158928,88563.0,53377,96369.0,82321,67733,19.0,18.8,18.8,22.1,18.9,18.1,18.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,819.0,746.0,73.0,0.3,1.0,0.3,-0.3,0.3,0.0,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-09,88046,157176,87248.0,52161,94481.0,80932,66608,18.7,18.6,18.6,21.6,18.6,17.8,18.1,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,706.0,643.0,63.0,-1.5,-1.1,-1.5,-2.3,-2.0,-1.7,-1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-10,87610,156449,86827.0,52279,93908.0,80641,65884,18.6,18.5,18.5,21.6,18.5,17.7,17.9,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,627.0,566.0,61.0,-0.5,-0.5,-0.5,0.2,-0.6,-0.4,-1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-11,87443,155749,86595.0,52355,94338.0,80585,65811,18.5,18.4,18.4,21.7,18.5,17.7,17.9,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,664.0,588.0,76.0,-0.2,-0.4,-0.3,0.1,0.5,-0.1,-0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1995-12,88300,156858,87391.0,53149,95731.0,81514,66410,18.7,18.6,18.6,22.0,18.8,17.9,18.1,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,785.0,690.0,95.0,1.0,0.7,0.9,1.5,1.5,1.2,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1996-01,87965,156533,86929.0,52445,96576.0,81112,66395,18.6,18.5,18.5,21.7,19.0,17.8,18.1,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,541.0,503.0,38.0,-0.4,-0.2,-0.5,-1.3,0.9,-0.5,0.0,1.6,1.1,1.2,-0.1,4.8,2.3,2.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/1996-02,86900,154153,85803.0,51636,96131.0,80406,65703,18.4,18.3,18.3,21.4,18.9,17.6,17.9,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,562.0,498.0,64.0,-1.2,-1.5,-1.3,-1.5,-0.5,-0.9,-1.0,2.6,2.7,2.2,0.7,6.0,3.1,2.8,,
