_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-01,411296,730618,406932.0,222573,456479.0,393307,315566,87.2,86.5,86.6,92.0,89.7,86.3,85.9,-1.7,-1.9,-1.6,-2.7,-1.7,-1.1,-1.2,0.2,0.1,0.0,0.0,1.4,0.3,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,584.0,507.0,77.0,122.0,452.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-02,412785,733850,407676.0,222536,462630.0,394540,317485,87.5,86.9,86.7,92.0,90.9,86.6,86.4,-1.4,-1.4,-1.2,-3.2,-2.2,-0.8,-0.5,0.4,0.4,0.2,0.0,1.3,0.3,0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,564.0,485.0,79.0,130.0,408.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-03,413729,736601,407420.0,222387,470927.0,395509,318216,87.7,87.2,86.7,92.0,92.6,86.8,86.6,-1.3,-1.4,-1.3,-3.3,-0.8,-0.5,-0.2,0.2,0.4,-0.1,-0.1,1.8,0.2,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,572.0,476.0,96.0,123.0,430.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-04,416390,745195,409943.0,222126,474549.0,397610,320185,88.3,88.2,87.2,91.9,93.3,87.2,87.1,0.0,0.7,0.0,-2.8,-0.2,0.4,0.6,0.6,1.2,0.6,-0.1,0.8,0.5,0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,260.0,223.0,37.0,56.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-05,414006,740779,406631.0,221297,477639.0,395529,317680,87.8,87.7,86.5,91.5,93.9,86.8,86.5,-0.2,0.7,-0.6,-2.5,1.8,0.1,-0.2,-0.6,-0.6,-0.8,-0.4,0.7,-0.5,-0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,272.0,239.0,33.0,61.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-06,410504,733113,403961.0,218666,469046.0,393026,316031,87.0,86.8,85.9,90.4,92.2,86.2,86.0,-1.6,-0.6,-1.9,-4.3,0.5,-1.1,-1.3,-0.8,-1.0,-0.7,-1.2,-1.8,-0.6,-0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,440.0,386.0,54.0,97.0,339.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-07,409222,727713,403358.0,219091,463576.0,392188,315390,86.7,86.2,85.8,90.6,91.1,86.0,85.8,-1.8,-1.2,-1.9,-4.1,-0.8,-1.2,-1.3,-0.3,-0.7,-0.1,0.2,-1.2,-0.2,-0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,524.0,468.0,56.0,122.0,387.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-08,413218,736269,407993.0,219595,463884.0,396267,319271,87.6,87.2,86.8,90.8,91.2,86.9,86.9,-0.9,-0.3,-1.0,-3.7,-0.6,-0.3,-0.3,1.0,1.2,1.1,0.2,0.1,1.0,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,554.0,489.0,65.0,114.0,430.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-09,420230,752066,414622.0,222396,473481.0,402462,324116,89.1,89.0,88.2,92.0,93.1,88.3,88.2,0.6,1.5,0.6,-2.5,0.3,1.3,0.8,1.7,2.1,1.6,1.3,2.1,1.6,1.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,679.0,619.0,60.0,157.0,507.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-10,421232,755834,416310.0,221447,470482.0,403547,325261,89.3,89.5,88.6,91.6,92.5,88.5,88.5,1.3,2.3,1.4,-2.1,0.8,1.9,1.8,0.2,0.5,0.4,-0.4,-0.6,0.3,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,793.0,702.0,91.0,173.0,598.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-11,425498,763485,421433.0,223578,469954.0,407270,329106,90.2,90.4,89.6,92.5,92.4,89.4,89.6,3.0,4.0,3.2,-0.4,2.3,3.4,4.0,1.0,1.0,1.2,1.0,-0.1,0.9,1.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,866.0,795.0,71.0,175.0,663.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2020-12,428809,769000,425281.0,225035,470300.0,410358,332424,90.9,91.0,90.5,93.1,92.4,90.0,90.5,4.5,5.4,4.5,1.1,4.4,4.6,5.8,0.8,0.7,0.9,0.7,0.1,0.8,1.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,965.0,849.0,116.0,218.0,704.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-01,430168,767451,427204.0,227389,468494.0,411790,334060,91.2,90.9,90.9,94.0,92.1,90.3,90.9,4.6,5.0,5.0,2.2,2.6,4.7,5.9,0.3,-0.2,0.5,1.0,-0.4,0.3,0.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,855.0,755.0,100.0,201.0,651.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-02,425985,754745,422997.0,227297,464453.0,407984,331675,90.3,89.4,90.0,94.0,91.3,89.5,90.3,3.2,2.8,3.8,2.1,0.4,3.4,4.5,-1.0,-1.7,-1.0,0.0,-0.9,-0.9,-0.7,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,1057.0,945.0,112.0,237.0,820.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-03,423028,743989,419862.0,228353,462775.0,405160,330084,89.7,88.1,89.3,94.4,91.0,88.9,89.8,2.2,1.0,3.1,2.7,-1.7,2.4,3.7,-0.7,-1.4,-0.7,0.5,-0.4,-0.7,-0.5,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,1511.0,1353.0,158.0,376.0,1132.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-04,422051,742115,418086.0,228258,466961.0,403974,329200,89.5,87.9,88.9,94.4,91.8,88.6,89.6,1.4,-0.4,2.0,2.8,-1.6,1.6,2.8,-0.2,-0.3,-0.4,0.0,0.9,-0.3,-0.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,866.0,786.0,80.0,212.0,654.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-05,425774,750126,421715.0,229791,471467.0,407407,331725,90.2,88.8,89.7,95.0,92.7,89.4,90.3,2.8,1.3,3.7,3.8,-1.3,3.0,4.4,0.9,1.1,0.9,0.7,1.0,0.8,0.8,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,726.0,616.0,110.0,174.0,552.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-06,431617,759784,428466.0,232534,471749.0,412612,337723,91.5,90.0,91.1,96.2,92.7,90.5,91.9,5.1,3.6,6.1,6.3,0.6,5.0,6.9,1.4,1.3,1.6,1.2,0.1,1.3,1.8,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,2262.0,2053.0,209.0,575.0,1684.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-07,430264,760169,426986.0,230920,471189.0,411501,335448,91.2,90.0,90.8,95.5,92.6,90.3,91.3,5.1,4.5,5.9,5.4,1.6,4.9,6.4,-0.3,0.1,-0.3,-0.7,-0.1,-0.3,-0.7,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,371.0,321.0,50.0,61.0,309.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-08,431360,766328,428733.0,229442,468164.0,412945,335234,91.4,90.7,91.2,94.9,92.0,90.6,91.2,4.4,4.1,5.1,4.5,0.9,4.2,5.0,0.3,0.8,0.4,-0.6,-0.6,0.4,-0.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,640.0,568.0,72.0,148.0,489.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-09,431819,770451,429114.0,228224,469144.0,414029,334099,91.5,91.2,91.3,94.4,92.2,90.8,90.9,2.8,2.4,3.5,2.6,-0.9,2.9,3.1,0.1,0.5,0.1,-0.5,0.2,0.3,-0.3,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,1344.0,1221.0,123.0,324.0,1014.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-10,437544,784675,436127.0,229416,466774.0,419312,338059,92.7,92.9,92.8,94.9,91.7,92.0,92.0,3.9,3.8,4.8,3.6,-0.8,3.9,3.9,1.3,1.8,1.6,0.5,-0.5,1.3,1.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,547.0,456.0,91.0,128.0,418.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-11,442203,793792,440469.0,231586,473663.0,423815,341392,93.7,94.0,93.7,95.8,93.1,93.0,92.9,3.9,4.0,4.5,3.6,0.8,4.1,3.7,1.1,1.2,1.0,0.9,1.5,1.1,1.0,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,692.0,587.0,105.0,159.0,532.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2021-12,443531,799592,442220.0,230802,472410.0,425065,341711,94.0,94.7,94.1,95.4,92.8,93.3,93.0,3.4,4.0,4.0,2.6,0.4,3.6,2.8,0.3,0.7,0.4,-0.3,-0.3,0.3,0.1,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,775.0,641.0,134.0,185.0,585.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2022-01,449929,808885,448640.0,233748,478969.0,432222,347610,95.4,95.8,95.4,96.7,94.1,94.8,94.6,4.6,5.4,5.0,2.8,2.2,5.0,4.1,1.4,1.2,1.5,1.3,1.4,1.7,1.7,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,605.0,535.0,70.0,129.0,473.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2022-02,450241,807799,449098.0,234525,481406.0,432812,348237,95.4,95.6,95.5,97.0,94.6,95.0,94.8,5.7,7.0,6.2,3.2,3.7,6.1,5.0,0.1,-0.1,0.1,0.3,0.5,0.1,0.2,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,673.0,568.0,105.0,151.0,512.0
http://landregistry.data.gov.uk/data/ukhpi/region/buckinghamshire/month/2022-03,453557,813890,451871.0,235982,490577.0,436676,350303,96.1,96.4,96.1,97.6,96.4,95.8,95.3,7.2,9.4,7.6,3.3,6.0,7.8,6.1,0.7,0.8,0.6,0.6,1.9,0.9,0.6,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/buckinghamshire,731.0,623.0,108.0,171.0,560.0
