_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-01,29152,58535,28816.0,22517,44031.0,34514,24742,24.7,26.8,24.8,29.7,24.5,24.7,24.7,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,103.0,92.0,11.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-02,30114,60276,29739.0,23386,45814.0,35943,25499,25.5,27.6,25.6,30.8,25.5,25.8,25.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,106.0,94.0,12.0,3.3,3.0,3.2,3.9,4.0,4.1,3.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-03,29959,59790,29585.0,23197,45591.0,35701,25401,25.3,27.3,25.5,30.5,25.3,25.6,25.3,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,135.0,125.0,10.0,-0.5,-0.8,-0.5,-0.8,-0.5,-0.7,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-04,29988,59674,29615.0,23294,45619.0,35796,25425,25.4,27.3,25.5,30.7,25.4,25.7,25.4,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,103.0,81.0,22.0,0.1,-0.2,0.1,0.4,0.1,0.3,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-05,28635,56697,28302.0,22214,43282.0,34071,24333,24.2,25.9,24.4,29.3,24.1,24.4,24.3,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,128.0,110.0,18.0,-4.5,-5.0,-4.4,-4.6,-5.1,-4.8,-4.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-06,29088,57723,28747.0,22727,44006.0,34708,24678,24.6,26.4,24.7,29.9,24.5,24.9,24.6,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,175.0,151.0,24.0,1.6,1.8,1.6,2.3,1.7,1.9,1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-07,29790,59346,29435.0,23128,45139.0,35564,25251,25.2,27.1,25.3,30.5,25.1,25.5,25.2,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,103.0,88.0,15.0,2.4,2.8,2.4,1.8,2.6,2.5,2.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-08,31512,63366,31116.0,24307,47983.0,37661,26646,26.7,29.0,26.8,32.0,26.7,27.0,26.6,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,134.0,122.0,12.0,5.8,6.8,5.7,5.1,6.3,5.9,5.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-09,31157,62611,30790.0,23820,47155.0,37186,26368,26.4,28.6,26.5,31.4,26.2,26.7,26.3,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,146.0,124.0,22.0,-1.1,-1.2,-1.0,-2.0,-1.7,-1.3,-1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-10,30233,60882,29857.0,23305,45996.0,36211,25537,25.6,27.8,25.7,30.7,25.6,26.0,25.5,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,137.0,119.0,18.0,-3.0,-2.8,-3.0,-2.2,-2.5,-2.6,-3.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-11,29164,58715,28790.0,22633,44500.0,35020,24610,24.7,26.8,24.8,29.8,24.7,25.1,24.6,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,176.0,152.0,24.0,-3.5,-3.6,-3.6,-2.9,-3.3,-3.3,-3.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1995-12,28489,57525,28086.0,22242,43929.0,34321,23994,24.1,26.3,24.2,29.3,24.4,24.6,23.9,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,182.0,152.0,30.0,-2.3,-2.0,-2.4,-1.7,-1.3,-2.0,-2.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1996-01,28082,57103,27648.0,21735,43761.0,33877,23607,23.8,26.1,23.8,28.6,24.3,24.3,23.6,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,79.0,67.0,12.0,-1.4,-0.7,-1.6,-2.3,-0.4,-1.3,-1.6,-3.7,-2.4,-4.1,-3.5,-0.6,-1.8,-4.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1996-02,27247,55548,26791.0,21017,42893.0,32912,22882,23.0,25.4,23.1,27.7,23.8,23.6,22.8,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,75.0,60.0,15.0,-3.0,-2.7,-3.1,-3.3,-2.0,-2.8,-3.1,-9.5,-7.8,-9.9,-10.1,-6.4,-8.4,-10.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1996-03,27308,56009,26816.0,21043,43418.0,33123,22869,23.1,25.6,23.1,27.7,24.1,23.7,22.8,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,92.0,71.0,21.0,0.2,0.8,0.1,0.1,1.2,0.6,-0.1,-8.8,-6.3,-9.4,-9.3,-4.8,-7.2,-10.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1996-04,28266,57639,27777.0,21871,44736.0,34155,23729,23.9,26.4,23.9,28.8,24.9,24.5,23.7,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,113.0,91.0,22.0,3.5,2.9,3.6,3.9,3.0,3.1,3.8,-5.7,-3.4,-6.2,-6.1,-1.9,-4.6,-6.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/burnley/month/1996-05,28618,58032,28169.0,22101,44835.0,34439,24087,24.2,26.5,24.2,29.1,24.9,24.7,24.0,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/burnley,117.0,91.0,26.0,1.2,0.7,1.4,1.1,0.2,0.8,1.5,-0.1,2.4,-0.5,-0.5,3.6,1.1,-1.0,,
