_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-01,169051,293739,168551.0,103852,222306.0,186568,137649,76.0,76.6,75.9,79.7,80.2,75.9,75.0,3.5,3.1,3.4,2.1,4.4,3.9,3.5,0.3,0.5,0.3,-0.1,1.1,0.3,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,188.0,182.0,6.0,46.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-02,169314,294277,168760.0,103658,224576.0,186782,138012,76.2,76.7,75.9,79.6,81.0,76.0,75.2,2.8,2.4,2.8,0.8,2.0,3.2,3.1,0.2,0.2,0.1,-0.2,1.0,0.1,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,170.0,165.0,5.0,41.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-03,168335,292940,167698.0,102743,226280.0,185913,137082,75.7,76.3,75.5,78.9,81.6,75.7,74.7,2.8,2.3,2.8,0.8,2.1,3.2,3.1,-0.6,-0.5,-0.6,-0.9,0.8,-0.5,-0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,217.0,204.0,13.0,54.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-04,166731,290608,166091.0,101243,224432.0,183989,135942,75.0,75.7,74.7,77.7,80.9,74.9,74.1,1.9,1.9,1.9,-0.3,0.8,2.2,2.1,-1.0,-0.8,-1.0,-1.5,-0.8,-1.0,-0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,98.0,96.0,2.0,25.0,72.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-05,166646,290670,165906.0,101256,227655.0,184121,135645,75.0,75.8,74.7,77.7,82.1,74.9,73.9,2.1,2.5,2.0,0.2,3.7,2.5,2.0,-0.1,0.0,-0.1,0.0,1.4,0.1,-0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,105.0,104.0,1.0,27.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-06,169134,294807,168469.0,102310,228215.0,187094,137700,76.1,76.8,75.8,78.5,82.3,76.2,75.1,3.0,3.5,2.9,0.5,4.4,3.5,2.8,1.5,1.4,1.5,1.0,0.2,1.6,1.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,132.0,128.0,4.0,33.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-07,175197,304709,174571.0,106350,234326.0,193988,142540,78.8,79.4,78.6,81.6,84.5,79.0,77.7,6.0,6.3,5.9,3.6,6.4,6.7,5.7,3.6,3.4,3.6,3.9,2.7,3.7,3.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,182.0,177.0,5.0,45.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-08,177752,309593,177191.0,106958,235266.0,196937,144731,80.0,80.7,79.7,82.1,84.9,80.2,78.9,6.8,7.3,6.8,3.7,6.5,7.7,6.5,1.5,1.6,1.5,0.6,0.4,1.5,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,184.0,179.0,5.0,46.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-09,177208,309725,176615.0,106185,235615.0,196247,144241,79.7,80.7,79.5,81.5,85.0,79.9,78.6,5.6,6.5,5.6,2.1,4.9,6.6,5.0,-0.3,0.0,-0.3,-0.7,0.1,-0.4,-0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,189.0,183.0,6.0,44.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/bury/month/2020-10,176460,309441,175943.0,104908,232218.0,195403,143669,79.4,80.6,79.2,80.5,83.8,79.5,78.3,5.6,6.8,5.6,1.5,4.3,6.3,5.2,-0.4,-0.1,-0.4,-1.2,-1.4,-0.4,-0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bury,227.0,222.0,5.0,57.0,166.0
