_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-01,136536,221651,135666.0,82571,206155.0,139115,114943,74.5,75.1,74.4,78.0,77.8,74.7,74.0,3.4,3.0,3.5,1.3,2.6,3.8,3.5,1.1,1.3,1.1,0.9,2.1,1.1,1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,180.0,175.0,5.0,53.0,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-02,134860,219088,133971.0,81684,205548.0,137355,113520,73.6,74.2,73.4,77.1,77.6,73.7,73.1,3.8,3.2,3.9,1.7,2.0,4.0,4.1,-1.2,-1.2,-1.2,-1.1,-0.3,-1.3,-1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,165.0,161.0,4.0,44.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-03,132807,215996,131879.0,80542,205643.0,135228,111753,72.5,73.2,72.3,76.1,77.6,72.6,71.9,1.7,1.1,1.8,0.2,1.0,1.8,2.1,-1.5,-1.4,-1.6,-1.4,0.0,-1.5,-1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,165.0,152.0,13.0,34.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-04,133519,217274,132569.0,80407,207668.0,135890,112417,72.9,73.6,72.7,75.9,78.4,73.0,72.3,1.7,1.3,1.7,-0.3,1.2,1.7,1.9,0.5,0.6,0.5,-0.2,1.0,0.5,0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,79.0,78.0,1.0,12.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-05,134355,218379,133347.0,80785,211765.0,136758,113170,73.3,74.0,73.1,76.3,79.9,73.4,72.8,-0.3,-0.3,-0.3,-1.9,1.9,-0.2,-0.2,0.6,0.5,0.6,0.5,2.0,0.6,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,96.0,96.0,,22.0,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-06,135442,219850,134469.0,81206,211189.0,137963,114099,73.9,74.5,73.7,76.7,79.7,74.1,73.4,1.4,1.4,1.3,-0.5,3.6,1.6,1.4,0.8,0.7,0.8,0.5,-0.3,0.9,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,126.0,120.0,6.0,33.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-07,135146,219092,134223.0,81455,208098.0,137702,113843,73.7,74.2,73.6,76.9,78.5,73.9,73.3,0.8,0.7,0.8,-0.8,1.2,1.0,0.7,-0.2,-0.3,-0.2,0.3,-1.5,-0.2,-0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,131.0,112.0,19.0,30.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-08,139443,226284,138532.0,83663,212484.0,142047,117470,76.1,76.6,75.9,79.0,80.2,76.3,75.6,3.5,3.4,3.5,1.8,3.3,3.8,3.4,3.2,3.3,3.2,2.7,2.1,3.2,3.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,121.0,110.0,11.0,23.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-09,140592,228748,139655.0,83843,215234.0,143012,118500,76.7,77.5,76.6,79.2,81.2,76.8,76.3,3.0,3.1,3.0,0.6,2.5,3.4,2.8,0.8,1.1,0.8,0.2,1.3,0.7,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,126.0,119.0,7.0,28.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/caerphilly/month/2020-10,144116,235021,143187.0,85369,218956.0,146422,121527,78.6,79.6,78.5,80.6,82.6,78.6,78.2,7.6,8.0,7.7,4.5,7.0,7.7,7.6,2.5,2.7,2.5,1.8,1.7,2.4,2.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/caerphilly,211.0,200.0,11.0,52.0,155.0
