_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-01,40361,79699,40184.0,30829,50859.0,46952,34264,23.8,24.0,23.7,27.4,24.1,23.4,23.3,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,240.0,230.0,10.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-02,39778,77852,39569.0,30662,50566.0,46440,33751,23.5,23.5,23.4,27.3,24.0,23.1,23.0,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,151.0,140.0,11.0,-1.4,-2.3,-1.5,-0.5,-0.6,-1.1,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-03,39393,76658,39189.0,30275,50048.0,45926,33490,23.3,23.1,23.2,26.9,23.7,22.9,22.8,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,262.0,253.0,9.0,-1.0,-1.5,-1.0,-1.3,-1.0,-1.1,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-04,39472,76408,39265.0,30420,50184.0,46010,33586,23.3,23.0,23.2,27.0,23.8,22.9,22.9,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,230.0,218.0,12.0,0.2,-0.3,0.2,0.5,0.3,0.2,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-05,40085,77633,39886.0,30815,50808.0,46683,34122,23.7,23.4,23.6,27.4,24.1,23.3,23.3,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,264.0,254.0,10.0,1.6,1.6,1.6,1.3,1.2,1.5,1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-06,40308,78351,40096.0,31213,51252.0,47061,34234,23.8,23.6,23.7,27.7,24.3,23.5,23.3,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,298.0,271.0,27.0,0.6,0.9,0.5,1.3,0.9,0.8,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-07,39897,77946,39689.0,30788,50704.0,46622,33848,23.5,23.5,23.5,27.4,24.0,23.2,23.1,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,291.0,265.0,26.0,-1.0,-0.5,-1.0,-1.4,-1.1,-0.9,-1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-08,38856,76377,38662.0,29795,49277.0,45412,32940,22.9,23.0,22.8,26.5,23.3,22.6,22.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,270.0,237.0,33.0,-2.6,-2.0,-2.6,-3.2,-2.8,-2.6,-2.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-09,38768,76430,38605.0,29437,48760.0,45258,32885,22.9,23.1,22.8,26.2,23.1,22.6,22.4,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,354.0,304.0,50.0,-0.2,0.1,-0.1,-1.2,-1.1,-0.3,-0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-10,38126,75428,37935.0,29231,48354.0,44629,32259,22.5,22.7,22.4,26.0,22.9,22.2,22.0,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,234.0,195.0,39.0,-1.7,-1.3,-1.7,-0.7,-0.8,-1.4,-1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-11,37781,74801,37568.0,29270,48230.0,44308,31915,22.3,22.6,22.2,26.0,22.9,22.1,21.7,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,261.0,222.0,39.0,-0.9,-0.8,-1.0,0.1,-0.3,-0.7,-1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1995-12,37913,75018,37654.0,29661,48996.0,44547,31981,22.4,22.6,22.2,26.4,23.2,22.2,21.8,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,316.0,282.0,34.0,0.3,0.3,0.2,1.3,1.6,0.5,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1996-01,37908,74887,37636.0,29517,49181.0,44570,31989,22.4,22.6,22.2,26.2,23.3,22.2,21.8,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,201.0,178.0,23.0,0.0,-0.2,0.0,-0.5,0.4,0.1,0.0,-6.1,-6.0,-6.3,-4.3,-3.3,-5.1,-6.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1996-02,38192,75161,37900.0,29625,49779.0,44960,32248,22.5,22.7,22.4,26.3,23.6,22.4,22.0,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,242.0,224.0,18.0,0.7,0.4,0.7,0.4,1.2,0.9,0.8,-4.0,-3.5,-4.2,-3.4,-1.6,-3.2,-4.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1996-03,37720,74538,37412.0,29334,49471.0,44547,31783,22.3,22.5,22.1,26.1,23.4,22.2,21.7,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,230.0,201.0,29.0,-1.2,-0.8,-1.3,-1.0,-0.6,-0.9,-1.4,-4.2,-2.8,-4.5,-3.1,-1.2,-3.0,-5.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/1996-04,37939,74716,37636.0,29623,49623.0,44709,32014,22.4,22.5,22.2,26.3,23.5,22.3,21.8,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,244.0,219.0,25.0,0.6,0.2,0.6,1.0,0.3,0.4,0.7,-3.9,-2.2,-4.1,-2.6,-1.1,-2.8,-4.7,,
