_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-01,136471,266039,135944.0,94920,176996.0,162020,117245,80.6,80.2,80.3,84.4,83.9,80.7,79.9,3.1,2.7,3.1,1.5,3.9,3.4,3.3,-1.1,-1.0,-1.1,-1.3,-0.1,-1.1,-1.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,233.0,228.0,5.0,70.0,156.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-02,135242,264071,134731.0,93596,177207.0,160518,116253,79.8,79.6,79.6,83.2,84.0,80.0,79.2,2.6,2.2,2.7,0.3,2.1,2.9,2.9,-0.9,-0.7,-0.9,-1.4,0.1,-0.9,-0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,214.0,211.0,3.0,62.0,146.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-03,134588,263538,134033.0,93018,179774.0,159982,115533,79.4,79.5,79.2,82.7,85.2,79.7,78.7,2.2,2.0,2.2,0.1,2.5,2.4,2.4,-0.5,-0.2,-0.5,-0.6,1.4,-0.3,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,204.0,204.0,,69.0,132.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-04,135357,265259,134790.0,92901,181035.0,160744,116375,79.9,80.0,79.6,82.6,85.8,80.1,79.3,2.2,2.4,2.2,-0.2,2.3,2.4,2.4,0.6,0.7,0.6,-0.1,0.7,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,97.0,97.0,,38.0,56.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-05,133340,260469,132659.0,92040,181798.0,158482,114574,78.7,78.6,78.4,81.8,86.1,79.0,78.1,0.3,0.5,0.2,-1.1,3.5,0.6,0.4,-1.5,-1.8,-1.6,-0.9,0.4,-1.4,-1.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,149.0,149.0,,41.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-06,133886,260906,133285.0,91974,180252.0,159193,115194,79.0,78.7,78.8,81.8,85.4,79.3,78.5,0.8,0.9,0.8,-1.2,3.7,1.2,0.9,0.4,0.2,0.5,-0.1,-0.9,0.4,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,180.0,178.0,2.0,52.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-07,135682,264506,135118.0,93706,181399.0,161446,116564,80.1,79.8,79.8,83.3,86.0,80.5,79.4,0.7,1.0,0.7,-1.0,2.6,1.2,0.6,1.3,1.4,1.4,1.9,0.6,1.4,1.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,216.0,214.0,2.0,71.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-08,139158,272712,138682.0,95076,183142.0,165764,119530,82.1,82.2,81.9,84.5,86.8,82.6,81.4,1.9,2.4,1.9,-0.8,2.2,2.6,1.7,2.6,3.1,2.6,1.5,1.0,2.7,2.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,237.0,231.0,6.0,67.0,163.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-09,142358,280392,141844.0,97002,188079.0,169526,122183,84.0,84.6,83.8,86.2,89.1,84.5,83.3,2.5,3.7,2.6,-0.3,2.6,3.4,2.2,2.3,2.8,2.3,2.0,2.7,2.3,2.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,225.0,225.0,,73.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/calderdale/month/2020-10,143036,282669,142605.0,96695,186620.0,170233,122864,84.4,85.3,84.3,86.0,88.4,84.8,83.7,3.1,4.5,3.2,-0.4,2.2,3.7,3.0,0.5,0.8,0.5,-0.3,-0.8,0.4,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/calderdale,306.0,305.0,1.0,91.0,209.0
