_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-01,287665,410486,281876.0,189512,346309.0,267356,235827,85.2,84.7,84.4,90.9,88.3,84.4,85.0,-0.7,-0.7,-0.7,-2.8,-1.2,-0.2,-0.3,-0.3,-0.2,-0.4,-0.6,0.6,-0.3,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,608.0,524.0,84.0,150.0,438.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-02,289664,412148,283733.0,191743,352052.0,268956,238202,85.8,85.0,84.9,91.9,89.8,84.9,85.8,1.3,0.9,1.5,-0.3,0.1,1.7,2.2,0.7,0.4,0.7,1.2,1.7,0.6,1.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,694.0,608.0,86.0,177.0,488.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-03,287845,409610,281655.0,190408,354224.0,267272,236742,85.3,84.5,84.3,91.3,90.4,84.4,85.3,1.9,1.3,2.0,1.1,1.8,2.3,2.8,-0.6,-0.6,-0.7,-0.7,0.6,-0.6,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,664.0,557.0,107.0,182.0,463.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-04,286994,409582,280773.0,188088,353549.0,266276,236094,85.0,84.5,84.0,90.2,90.2,84.1,85.1,1.0,0.9,1.2,-0.7,0.7,1.3,1.6,-0.3,0.0,-0.3,-1.2,-0.2,-0.4,-0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,311.0,274.0,37.0,75.0,227.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-05,285770,408299,279089.0,186656,355641.0,265492,234658,84.6,84.2,83.5,89.5,90.7,83.8,84.6,-0.2,0.0,-0.4,-2.0,1.5,0.1,-0.2,-0.4,-0.3,-0.6,-0.8,0.6,-0.3,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,357.0,326.0,31.0,97.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-06,289024,412775,282777.0,187762,355967.0,268995,237535,85.6,85.1,84.6,90.0,90.8,84.9,85.6,0.1,0.4,0.0,-2.4,1.5,0.6,0.1,1.1,1.1,1.3,0.6,0.1,1.3,1.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,587.0,519.0,68.0,154.0,427.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-07,289228,411567,283482.0,189688,352437.0,269140,238156,85.7,84.9,84.9,91.0,89.9,85.0,85.8,-0.3,-0.4,-0.1,-1.8,-0.3,0.2,0.0,0.1,-0.3,0.2,1.0,-1.0,0.1,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,618.0,527.0,91.0,149.0,448.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-08,290713,414564,285180.0,188623,352439.0,270664,239513,86.1,85.5,85.4,90.4,89.9,85.5,86.3,0.4,0.5,0.7,-2.1,-0.2,1.0,0.7,0.5,0.7,0.6,-0.6,0.0,0.6,0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,666.0,573.0,93.0,168.0,481.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-09,292181,417584,286358.0,188802,356110.0,271652,240663,86.5,86.1,85.7,90.5,90.8,85.8,86.7,0.7,1.1,1.0,-2.6,-0.3,1.4,0.7,0.5,0.7,0.4,0.1,1.0,0.4,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,770.0,674.0,96.0,182.0,575.0
http://landregistry.data.gov.uk/data/ukhpi/region/cambridgeshire/month/2020-10,293407,420733,287889.0,187844,355214.0,272704,241417,86.9,86.8,86.2,90.1,90.6,86.1,87.0,1.3,2.2,1.7,-2.8,0.1,1.7,1.2,0.4,0.8,0.5,-0.5,-0.3,0.4,0.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cambridgeshire,919.0,833.0,86.0,248.0,653.0
