_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-01,819361,3088398,814125.0,692904,836708.0,1850109,1398159,95.2,86.2,94.5,96.4,96.9,88.6,90.6,-4.7,-4.5,-4.6,-4.9,-5.0,-3.5,-3.0,1.6,0.9,1.4,1.6,2.2,1.2,1.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,173.0,156.0,17.0,48.0,117.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-02,807901,3098936,802105.0,682402,825639.0,1838871,1382527,93.8,86.5,93.1,94.9,95.6,88.1,89.6,-5.6,-3.5,-5.2,-6.0,-7.7,-3.3,-3.3,-1.4,0.3,-1.5,-1.5,-1.3,-0.6,-1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,150.0,133.0,17.0,46.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-03,839698,3262678,832676.0,708366,861123.0,1929120,1443425,97.5,91.1,96.7,98.5,99.7,92.4,93.5,4.8,8.5,5.2,4.3,2.5,8.0,7.2,3.9,5.3,3.8,3.8,4.3,4.9,4.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,157.0,144.0,13.0,57.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-04,855249,3376498,850557.0,719977,863647.0,1984490,1484487,99.3,94.3,98.7,100.2,100.0,95.1,96.2,5.2,10.4,5.9,4.5,1.0,9.2,8.2,1.9,3.5,2.1,1.6,0.3,2.9,2.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,88.0,83.0,5.0,27.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-05,855142,3348006,847765.0,720810,877869.0,1966871,1476323,99.3,93.5,98.4,100.3,101.6,94.2,95.6,2.7,7.6,2.8,2.2,1.6,5.4,4.4,0.0,-0.8,-0.3,0.1,1.6,-0.9,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,63.0,58.0,5.0,16.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-06,838573,3241702,833277.0,706929,850790.0,1918488,1452339,97.4,90.5,96.7,98.3,98.5,91.9,94.1,-3.1,0.4,-2.9,-3.5,-4.4,-1.2,-1.4,-1.9,-3.2,-1.7,-1.9,-3.1,-2.5,-1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,77.0,74.0,3.0,22.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-07,810762,3102641,805670.0,684102,822444.0,1847107,1398962,94.2,86.6,93.5,95.2,95.2,88.5,90.6,-8.5,-5.2,-8.2,-8.8,-10.3,-6.8,-7.1,-3.3,-4.3,-3.3,-3.2,-3.3,-3.7,-3.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,151.0,129.0,22.0,46.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-08,827652,3200364,823494.0,696831,833911.0,1912385,1442976,96.1,89.4,95.6,96.9,96.5,91.6,93.5,-4.8,-1.0,-4.4,-5.2,-7.1,-2.2,-2.7,2.1,3.1,2.2,1.9,1.4,3.5,3.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,121.0,116.0,5.0,35.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-09,839702,3301469,834379.0,705696,851729.0,1964697,1473762,97.5,92.2,96.9,98.2,98.6,94.1,95.5,-1.6,3.1,-1.2,-2.2,-4.2,2.1,0.9,1.5,3.2,1.3,1.3,2.1,2.7,2.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,154.0,144.0,10.0,49.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/camden/month/2020-10,825440,3265879,822756.0,692799,824159.0,1941508,1459029,95.9,91.2,95.5,96.4,95.4,93.0,94.5,1.8,5.5,2.5,1.2,-2.0,5.2,4.9,-1.7,-1.1,-1.4,-1.8,-3.2,-1.2,-1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/camden,180.0,168.0,12.0,58.0,120.0
