_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-01,38928,61707,37858.0,22122,57857.0,36226,29490,17.7,18.4,17.7,20.6,17.0,17.3,16.9,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,95.0,80.0,15.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-02,39716,62386,38594.0,22463,59291.0,37096,30145,18.0,18.6,18.0,20.9,17.4,17.7,17.3,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,63.0,55.0,8.0,2.0,1.1,1.9,1.5,2.5,2.4,2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-03,41324,64742,40139.0,23370,61845.0,38615,31430,18.7,19.3,18.8,21.8,18.2,18.4,18.1,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,126.0,100.0,26.0,4.0,3.8,4.0,4.0,4.3,4.1,4.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-04,42545,66421,41331.0,24087,63621.0,39784,32419,19.3,19.8,19.3,22.4,18.7,19.0,18.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,91.0,81.0,10.0,3.0,2.6,3.0,3.1,2.9,3.0,3.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-05,42213,65891,41019.0,23959,63028.0,39469,32159,19.1,19.7,19.2,22.3,18.5,18.9,18.5,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,96.0,81.0,15.0,-0.8,-0.8,-0.8,-0.5,-0.9,-0.8,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-06,41237,64389,40082.0,23501,61467.0,38568,31330,18.7,19.2,18.7,21.9,18.1,18.4,18.0,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,119.0,98.0,21.0,-2.3,-2.3,-2.3,-1.9,-2.5,-2.3,-2.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-07,41353,64804,40194.0,23415,61643.0,38654,31396,18.8,19.3,18.8,21.8,18.1,18.5,18.0,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,89.0,79.0,10.0,0.3,0.6,0.3,-0.4,0.3,0.2,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-08,42931,67675,41737.0,24138,63923.0,40074,32561,19.5,20.2,19.5,22.5,18.8,19.1,18.7,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,120.0,109.0,11.0,3.8,4.4,3.8,3.1,3.7,3.7,3.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-09,43630,68939,42461.0,24385,64585.0,40705,33110,19.8,20.6,19.8,22.7,19.0,19.4,19.0,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,114.0,90.0,24.0,1.6,1.9,1.7,1.0,1.0,1.6,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cannock-chase/month/1995-10,43589,68811,42396.0,24437,64739.0,40725,32939,19.8,20.5,19.8,22.8,19.0,19.5,18.9,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cannock-chase,99.0,71.0,28.0,-0.1,-0.2,-0.2,0.2,0.2,0.0,-0.5,,,,,,,,,
