_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-01,53204,86514,52173.0,35268,74824.0,52386,43408,14.8,15.2,14.8,17.2,15.0,14.3,13.7,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,103.0,99.0,4.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-02,55613,89786,54516.0,36873,78795.0,55021,45466,15.5,15.8,15.4,18.0,15.8,15.0,14.4,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,138.0,135.0,3.0,4.5,3.8,4.5,4.6,5.3,5.0,4.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-03,55786,89811,54682.0,36963,79153.0,55225,45734,15.6,15.8,15.5,18.0,15.9,15.1,14.5,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,184.0,182.0,2.0,0.3,0.0,0.3,0.2,0.5,0.4,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-04,56893,91216,55767.0,37770,80725.0,56412,46726,15.9,16.0,15.8,18.4,16.2,15.4,14.8,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,149.0,145.0,4.0,2.0,1.6,2.0,2.2,2.0,2.2,2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-05,56821,91041,55706.0,37685,80311.0,56335,46727,15.8,16.0,15.8,18.4,16.1,15.4,14.8,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,195.0,186.0,9.0,-0.1,-0.2,-0.1,-0.2,-0.5,-0.1,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-06,57095,91516,55978.0,37965,80612.0,56619,46864,15.9,16.1,15.8,18.5,16.2,15.5,14.8,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,203.0,196.0,7.0,0.5,0.5,0.5,0.7,0.4,0.5,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-07,57464,92399,56340.0,37985,81108.0,56938,47170,16.0,16.2,15.9,18.5,16.3,15.6,14.9,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,192.0,189.0,3.0,0.6,1.0,0.6,0.1,0.6,0.6,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-08,57719,93210,56591.0,37957,81439.0,57103,47348,16.1,16.4,16.0,18.5,16.3,15.6,15.0,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,209.0,203.0,6.0,0.4,0.9,0.4,-0.1,0.4,0.3,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-09,58022,93864,56906.0,37974,81317.0,57365,47641,16.2,16.5,16.1,18.5,16.3,15.7,15.1,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,194.0,181.0,13.0,0.5,0.7,0.6,0.0,-0.1,0.5,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/canterbury/month/1995-10,57636,93293,56518.0,37843,81087.0,57070,47132,16.1,16.4,16.0,18.4,16.3,15.6,14.9,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/canterbury,195.0,184.0,11.0,-0.7,-0.6,-0.7,-0.3,-0.3,-0.5,-1.1,,,,,,,,,
