_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-01,48615,97778,47323.0,36198,69614.0,54172,42300,18.3,19.3,18.0,22.1,19.0,17.4,16.9,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,224.0,206.0,18.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-02,48199,96036,46874.0,35863,69457.0,53892,41963,18.2,18.9,17.8,21.9,19.0,17.3,16.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,283.0,246.0,37.0,-0.9,-1.8,-0.9,-0.9,-0.2,-0.5,-0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-03,47852,95186,46526.0,35583,69058.0,53472,41700,18.0,18.8,17.7,21.7,18.9,17.1,16.6,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,393.0,339.0,54.0,-0.7,-0.9,-0.7,-0.8,-0.6,-0.8,-0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-04,48006,95024,46675.0,35743,69290.0,53653,41871,18.1,18.7,17.7,21.8,19.0,17.2,16.7,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,316.0,280.0,36.0,0.3,-0.2,0.3,0.5,0.3,0.3,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-05,48321,95371,47012.0,35959,69431.0,53936,42216,18.2,18.8,17.9,21.9,19.0,17.3,16.9,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,299.0,247.0,52.0,0.7,0.4,0.7,0.6,0.2,0.5,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-06,49276,97083,47947.0,36801,70759.0,55037,43018,18.6,19.1,18.2,22.4,19.4,17.7,17.2,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,434.0,356.0,78.0,2.0,1.8,2.0,2.3,1.9,2.0,1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-07,49861,98427,48531.0,36998,71446.0,55688,43576,18.8,19.4,18.5,22.6,19.5,17.9,17.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,330.0,307.0,23.0,1.2,1.4,1.2,0.5,1.0,1.2,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-08,50178,99773,48842.0,37022,71869.0,56007,43846,18.9,19.7,18.6,22.6,19.7,18.0,17.5,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,399.0,354.0,45.0,0.6,1.4,0.6,0.1,0.6,0.6,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-09,49571,98741,48303.0,36314,70484.0,55273,43397,18.7,19.5,18.4,22.1,19.3,17.7,17.3,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,425.0,361.0,64.0,-1.2,-1.0,-1.1,-1.9,-1.9,-1.3,-1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-10,48132,96019,46861.0,35418,68843.0,53807,42011,18.1,18.9,17.8,21.6,18.8,17.3,16.8,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,318.0,283.0,35.0,-2.9,-2.8,-3.0,-2.5,-2.3,-2.7,-3.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-11,47561,94848,46268.0,35292,68394.0,53274,41381,17.9,18.7,17.6,21.5,18.7,17.1,16.5,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,374.0,340.0,34.0,-1.2,-1.2,-1.3,-0.4,-0.7,-1.0,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/1995-12,48113,95933,46727.0,35828,69981.0,54019,41767,18.1,18.9,17.8,21.9,19.1,17.3,16.7,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,369.0,306.0,63.0,1.2,1.1,1.0,1.5,2.3,1.4,0.9,,,,,,,,,
