_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-01,212212,409958,208296.0,137531,302193.0,247261,195484,80.0,80.9,79.2,83.9,82.7,79.3,78.0,2.8,2.8,2.8,1.1,3.3,3.5,3.4,-0.1,0.1,-0.1,-0.4,0.8,-0.1,0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,352.0,329.0,23.0,77.0,270.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-02,208661,402861,204937.0,134921,299024.0,242999,192628,78.7,79.5,77.9,82.3,81.8,77.9,76.9,0.9,0.8,1.1,-1.1,0.0,1.5,1.8,-1.7,-1.7,-1.6,-1.9,-1.0,-1.7,-1.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,345.0,323.0,22.0,84.0,255.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-03,208037,401739,204261.0,134279,301826.0,242234,192260,78.4,79.2,77.7,81.9,82.6,77.7,76.7,0.5,0.2,0.7,-1.3,0.2,1.0,1.4,-0.3,-0.3,-0.3,-0.5,0.9,-0.3,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,343.0,307.0,36.0,82.0,243.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-04,207983,403755,204146.0,133567,302375.0,242167,192498,78.4,79.6,77.6,81.5,82.7,77.7,76.8,0.5,1.2,0.7,-1.6,0.2,1.1,1.3,0.0,0.5,-0.1,-0.5,0.2,0.0,0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,135.0,127.0,8.0,24.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-05,210101,408933,205794.0,135008,309684.0,244884,194025,79.2,80.7,78.2,82.3,84.7,78.5,77.5,2.2,3.4,2.1,0.4,4.5,2.8,2.5,1.0,1.3,0.8,1.1,2.4,1.1,0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,167.0,160.0,7.0,42.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-06,210446,408766,206445.0,134788,307173.0,245624,194771,79.3,80.6,78.5,82.2,84.0,78.8,77.8,2.2,3.4,2.2,0.0,4.5,3.0,2.7,0.2,0.0,0.3,-0.2,-0.8,0.3,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,240.0,223.0,17.0,50.0,185.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-07,211705,408433,208012.0,136006,305705.0,247074,196064,79.8,80.6,79.1,83.0,83.6,79.2,78.3,2.6,3.2,2.8,0.7,3.5,3.5,3.2,0.6,-0.1,0.8,0.9,-0.5,0.6,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,247.0,232.0,15.0,53.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-08,213567,412053,210164.0,136259,305201.0,249648,198536,80.5,81.3,79.9,83.1,83.5,80.1,79.3,1.5,2.1,1.8,-0.9,1.5,2.5,2.3,0.9,0.9,1.0,0.2,-0.2,1.0,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,264.0,245.0,19.0,72.0,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-09,214969,416501,211424.0,136734,308344.0,251363,199887,81.0,82.1,80.4,83.4,84.4,80.6,79.8,2.4,3.3,2.7,-0.2,2.0,3.7,3.0,0.7,1.1,0.6,0.3,1.0,0.7,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,299.0,284.0,15.0,71.0,220.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-10,216007,419539,212734.0,136831,307052.0,252776,201124,81.4,82.7,80.9,83.5,84.0,81.1,80.3,2.3,3.4,2.7,-0.6,1.3,3.3,3.2,0.5,0.7,0.6,0.1,-0.4,0.6,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,455.0,434.0,21.0,93.0,345.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-11,217221,421381,214303.0,137741,305227.0,253793,202436,81.9,83.1,81.5,84.0,83.5,81.4,80.8,3.1,3.8,3.6,0.3,1.5,3.6,4.3,0.6,0.4,0.7,0.7,-0.6,0.4,0.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,410.0,379.0,31.0,104.0,290.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2020-12,218537,423255,215847.0,138376,304743.0,255184,204089,82.4,83.5,82.1,84.4,83.4,81.8,81.5,2.9,3.3,3.5,0.3,1.6,3.1,4.5,0.6,0.4,0.7,0.5,-0.2,0.5,0.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,495.0,466.0,29.0,112.0,372.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-01,220906,423582,218479.0,140757,305333.0,257423,206540,83.3,83.5,83.1,85.9,83.5,82.6,82.4,4.1,3.3,4.9,2.3,1.0,4.1,5.7,1.1,0.1,1.2,1.7,0.2,0.9,1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,393.0,378.0,15.0,88.0,305.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-02,222370,421750,219957.0,142774,307330.0,258265,208229,83.8,83.2,83.6,87.1,84.1,82.8,83.1,6.6,4.7,7.3,5.8,2.8,6.3,8.1,0.7,-0.4,0.7,1.4,0.7,0.3,0.8,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,428.0,406.0,22.0,87.0,341.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-03,225304,422570,222844.0,146019,311977.0,260702,211136,84.9,83.3,84.7,89.1,85.3,83.6,84.3,8.3,5.2,9.1,8.7,3.4,7.6,9.8,1.3,0.2,1.3,2.3,1.5,0.9,1.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,628.0,575.0,53.0,127.0,501.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-04,225872,424224,223072.0,146466,316646.0,260878,211776,85.1,83.7,84.8,89.3,86.6,83.7,84.5,8.6,5.1,9.3,9.7,4.7,7.7,10.0,0.3,0.4,0.1,0.3,1.5,0.1,0.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,392.0,372.0,20.0,99.0,293.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-05,229208,431915,226327.0,148383,321791.0,264843,214783,86.4,85.2,86.0,90.5,88.0,84.9,85.7,9.1,5.6,10.0,9.9,3.9,8.2,10.7,1.5,1.8,1.5,1.3,1.6,1.5,1.4,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,443.0,399.0,44.0,95.0,347.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-06,232259,436387,229721.0,150137,321713.0,267969,218327,87.6,86.1,87.3,91.6,88.0,85.9,87.2,10.4,6.8,11.3,11.4,4.7,9.1,12.1,1.3,1.0,1.5,1.2,0.0,1.2,1.7,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,833.0,750.0,83.0,170.0,661.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-07,234986,443264,232302.0,151736,326876.0,271633,220397,88.6,87.4,88.3,92.5,89.4,87.1,88.0,11.0,8.5,11.7,11.6,6.9,9.9,12.4,1.2,1.6,1.1,1.1,1.6,1.4,0.9,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,334.0,315.0,19.0,74.0,259.0
http://landregistry.data.gov.uk/data/ukhpi/region/cardiff/month/2021-08,235540,445774,233078.0,151187,325031.0,273259,220860,88.8,87.9,88.6,92.2,88.9,87.6,88.2,10.3,8.2,10.9,11.0,6.5,9.5,11.2,0.2,0.6,0.3,-0.4,-0.6,0.6,0.2,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cardiff,400.0,361.0,39.0,91.0,308.0
