_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-01,39249,58101,39181.0,23266,49938.0,35406,28681,20.1,20.5,20.1,23.9,20.5,19.9,19.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,99.0,89.0,10.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-02,35995,53037,35894.0,21331,46212.0,32658,26285,18.4,18.8,18.4,21.9,19.0,18.3,18.0,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,111.0,100.0,11.0,-8.3,-8.7,-8.4,-8.3,-7.5,-7.8,-8.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-03,35516,52120,35403.0,21109,45738.0,32258,26019,18.2,18.4,18.1,21.7,18.8,18.1,17.8,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,131.0,108.0,23.0,-1.3,-1.7,-1.4,-1.0,-1.0,-1.2,-1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-04,35517,51949,35403.0,21120,45749.0,32329,26056,18.2,18.4,18.1,21.7,18.8,18.1,17.8,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,131.0,117.0,14.0,0.0,-0.3,0.0,0.1,0.0,0.2,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-05,36095,52866,35998.0,21405,46301.0,32815,26475,18.5,18.7,18.4,22.0,19.0,18.4,18.1,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,116.0,100.0,16.0,1.6,1.8,1.7,1.3,1.2,1.5,1.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-06,37075,54444,36979.0,21948,47521.0,33732,27098,19.0,19.2,18.9,22.6,19.5,18.9,18.6,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,151.0,126.0,25.0,2.7,3.0,2.7,2.5,2.6,2.8,2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-07,36589,53885,36500.0,21477,46837.0,33240,26703,18.7,19.1,18.7,22.1,19.2,18.7,18.3,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,130.0,125.0,5.0,-1.3,-1.0,-1.3,-2.1,-1.4,-1.5,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-08,36754,54270,36673.0,21440,46958.0,33332,26796,18.8,19.2,18.8,22.0,19.3,18.7,18.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,147.0,125.0,22.0,0.5,0.7,0.5,-0.2,0.3,0.3,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-09,37638,55692,37595.0,21750,47660.0,34048,27449,19.3,19.7,19.3,22.4,19.6,19.1,18.8,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,171.0,146.0,25.0,2.4,2.6,2.5,1.4,1.5,2.1,2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-10,37177,55143,37107.0,21556,47362.0,33716,26975,19.0,19.5,19.0,22.2,19.4,18.9,18.5,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,110.0,95.0,15.0,-1.2,-1.0,-1.3,-0.9,-0.6,-1.0,-1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/1995-11,38127,56604,38038.0,22291,48757.0,34645,27583,19.5,20.0,19.5,22.9,20.0,19.4,18.9,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,145.0,131.0,14.0,2.6,2.6,2.5,3.4,2.9,2.8,2.3,,,,,,,,,
