_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-01,143518,207613,142681.0,74192,185807.0,131451,106277,73.4,73.4,73.1,76.3,76.3,73.8,72.8,5.7,5.2,5.6,4.0,6.0,6.1,5.9,-0.3,-0.3,-0.4,-0.6,0.5,-0.3,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,159.0,151.0,8.0,66.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-02,141908,205075,140988.0,73297,185235.0,129909,105313,72.6,72.5,72.2,75.4,76.0,72.9,72.1,4.3,3.7,4.4,2.6,3.4,4.6,4.8,-1.1,-1.2,-1.2,-1.2,-0.3,-1.2,-0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,168.0,154.0,14.0,61.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-03,139744,201834,138740.0,72098,183996.0,127907,103818,71.5,71.4,71.1,74.1,75.5,71.8,71.1,3.4,2.8,3.4,1.9,2.8,3.6,4.0,-1.5,-1.6,-1.6,-1.6,-0.7,-1.5,-1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,227.0,217.0,10.0,70.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-04,137262,198263,136270.0,70307,180809.0,125528,102128,70.2,70.1,69.8,72.3,74.2,70.5,69.9,-0.2,-0.6,-0.1,-1.9,-1.1,0.0,0.4,-1.8,-1.8,-1.8,-2.5,-1.7,-1.9,-1.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,96.0,89.0,7.0,29.0,59.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-05,136016,196214,134804.0,69551,182551.0,124560,101242,69.6,69.4,69.0,71.5,74.9,69.9,69.3,-0.5,-0.9,-0.7,-2.4,1.4,-0.4,-0.2,-0.9,-1.0,-1.1,-1.1,1.0,-0.8,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,95.0,85.0,10.0,30.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-06,137831,198654,136722.0,70286,183270.0,126336,102642,70.5,70.2,70.0,72.3,75.2,70.9,70.3,0.9,0.6,0.8,-1.4,2.9,1.3,1.2,1.3,1.2,1.4,1.1,0.4,1.4,1.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,124.0,102.0,22.0,43.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-07,140733,202937,139736.0,72231,185114.0,128984,104683,72.0,71.8,71.6,74.3,76.0,72.4,71.7,3.2,3.1,3.1,1.1,3.7,3.4,3.1,2.1,2.2,2.2,2.8,1.0,2.1,2.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,147.0,138.0,9.0,65.0,80.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-08,142975,206388,142105.0,73077,185915.0,130998,106242,73.1,73.0,72.8,75.1,76.3,73.5,72.8,2.3,2.0,2.3,0.4,2.2,2.7,2.2,1.6,1.7,1.7,1.2,0.4,1.6,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,148.0,138.0,10.0,63.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-09,145818,210930,144891.0,74195,190201.0,133368,108275,74.6,74.6,74.2,76.3,78.1,74.9,74.1,2.3,2.2,2.4,0.2,1.9,2.7,2.1,2.0,2.2,2.0,1.5,2.3,1.8,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,190.0,173.0,17.0,70.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-10,150880,218764,150077.0,76225,194541.0,137734,111945,77.2,77.3,76.9,78.4,79.9,77.3,76.7,5.6,5.7,5.7,2.7,4.4,5.6,5.4,3.5,3.7,3.6,2.7,2.3,3.3,3.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,280.0,275.0,5.0,139.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-11,153363,222732,152752.0,77421,194828.0,139655,113855,78.5,78.8,78.2,79.6,80.0,78.4,78.0,6.7,7.1,6.9,3.6,4.7,6.2,6.8,1.6,1.8,1.8,1.6,0.1,1.4,1.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,309.0,297.0,12.0,108.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2020-12,155883,226514,155389.0,78507,196219.0,141767,115837,79.8,80.1,79.6,80.7,80.5,79.6,79.3,8.3,8.8,8.5,5.1,6.2,7.5,8.7,1.6,1.7,1.7,1.4,0.7,1.5,1.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,291.0,269.0,22.0,94.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-01,156029,225889,155611.0,79519,195352.0,142048,116389,79.8,79.9,79.7,81.8,80.2,79.7,79.7,8.7,8.8,9.1,7.2,5.1,8.1,9.5,0.1,-0.3,0.1,1.3,-0.4,0.2,0.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,203.0,194.0,9.0,77.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-02,156520,225849,156078.0,80592,196190.0,142614,117167,80.1,79.9,79.9,82.9,80.5,80.0,80.2,10.3,10.1,10.7,10.0,5.9,9.8,11.3,0.3,0.0,0.3,1.3,0.4,0.4,0.7,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,255.0,244.0,11.0,93.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-03,156407,224737,155888.0,81723,196941.0,142636,117603,80.0,79.5,79.8,84.0,80.8,80.1,80.5,11.9,11.3,12.4,13.3,7.0,11.5,13.3,-0.1,-0.5,-0.1,1.4,0.4,0.0,0.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,344.0,323.0,21.0,135.0,209.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-04,159192,228605,158438.0,83178,203247.0,145084,119898,81.4,80.8,81.1,85.5,83.4,81.4,82.1,16.0,15.3,16.3,18.3,12.4,15.6,17.4,1.8,1.7,1.6,1.8,3.2,1.7,2.0,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,287.0,267.0,20.0,111.0,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-05,159049,228251,158231.0,83150,203862.0,144927,119932,81.4,80.7,81.0,85.5,83.7,81.3,82.1,16.9,16.3,17.4,19.6,11.7,16.4,18.5,-0.1,-0.2,-0.1,0.0,0.3,-0.1,0.0,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,264.0,245.0,19.0,115.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-06,162861,233448,162261.0,85215,205874.0,148264,123162,83.3,82.5,83.1,87.6,84.5,83.2,84.3,18.2,17.5,18.7,21.2,12.3,17.4,20.0,2.4,2.3,2.5,2.5,1.0,2.3,2.7,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,430.0,403.0,27.0,153.0,275.0
http://landregistry.data.gov.uk/data/ukhpi/region/carmarthenshire/month/2021-07,164081,234710,163347.0,85855,209081.0,149704,124141,83.9,83.0,83.7,88.3,85.8,84.0,85.0,16.6,15.7,16.9,18.9,12.9,16.1,18.6,0.7,0.5,0.7,0.8,1.6,1.0,0.8,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/carmarthenshire,259.0,246.0,13.0,98.0,161.0
