_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-01,57233,78696,57411.0,32388,83343.0,53912,42040,15.6,15.9,15.6,18.0,15.0,15.2,14.4,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,127.0,121.0,6.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-02,57593,78783,57761.0,32391,84138.0,54511,42449,15.7,15.9,15.7,18.0,15.1,15.3,14.5,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,105.0,100.0,5.0,0.6,0.1,0.6,0.0,1.0,1.1,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-03,57485,78490,57651.0,32397,84042.0,54444,42492,15.6,15.9,15.7,18.0,15.1,15.3,14.6,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,133.0,123.0,10.0,-0.2,-0.4,-0.2,0.0,-0.1,-0.1,0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-04,57523,78325,57695.0,32397,83957.0,54581,42649,15.6,15.9,15.7,18.0,15.1,15.4,14.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,81.0,75.0,6.0,0.1,-0.2,0.1,0.0,-0.1,0.3,0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-05,56899,77470,57074.0,32076,82914.0,54001,42112,15.5,15.7,15.5,17.8,14.9,15.2,14.4,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,120.0,110.0,10.0,-1.1,-1.1,-1.1,-1.0,-1.2,-1.1,-1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-06,56917,77536,57092.0,32105,82925.0,54022,41982,15.5,15.7,15.5,17.9,14.9,15.2,14.4,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,143.0,134.0,9.0,0.0,0.1,0.0,0.1,0.0,0.0,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-07,56179,76729,56348.0,31472,81963.0,53288,41372,15.3,15.5,15.3,17.5,14.7,15.0,14.2,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,108.0,100.0,8.0,-1.3,-1.0,-1.3,-2.0,-1.2,-1.4,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-08,56271,77133,56443.0,31316,81999.0,53274,41448,15.3,15.6,15.4,17.4,14.7,15.0,14.2,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,139.0,137.0,2.0,0.2,0.5,0.2,-0.5,0.0,0.0,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-09,56655,77775,56847.0,31342,82073.0,53624,41738,15.4,15.7,15.5,17.4,14.7,15.1,14.3,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,111.0,109.0,2.0,0.7,0.8,0.7,0.1,0.1,0.7,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-10,57307,78653,57488.0,31762,83365.0,54287,41996,15.6,15.9,15.6,17.7,15.0,15.3,14.4,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,116.0,110.0,6.0,1.2,1.1,1.1,1.3,1.6,1.2,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-11,58003,79485,58171.0,32346,84785.0,54988,42386,15.8,16.1,15.8,18.0,15.2,15.5,14.5,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,110.0,107.0,3.0,1.2,1.1,1.2,1.8,1.7,1.3,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/castle-point/month/1995-12,57963,79395,58102.0,32324,85511.0,54984,42294,15.8,16.1,15.8,18.0,15.3,15.5,14.5,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/castle-point,107.0,100.0,7.0,-0.1,-0.1,-0.1,-0.1,0.9,0.0,-0.2,,,,,,,,,
