_about,average_price,house_price_index,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,percentage_change,percentage_annual_change
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-01,112598,61.8,2005-01,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,79.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-02,112598,61.8,2005-02,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,79.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-03,112598,61.8,2005-03,3,2005-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,79.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-04,116888,64.1,2005-04,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,237.0,3.8,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-05,116888,64.1,2005-05,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,237.0,3.8,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-06,116888,64.1,2005-06,3,2005-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,237.0,3.8,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-07,126274,69.3,2005-07,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,238.0,8.0,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-08,126274,69.3,2005-08,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,238.0,8.0,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-09,126274,69.3,2005-09,3,2005-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,238.0,8.0,
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2005-10,130589,71.6,2005-10,3,2005-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,278.0,3.4,
