_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-01,143332,78.6,6.7,2.6,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-02,143332,78.6,6.7,2.6,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-03,143332,78.6,6.7,2.6,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-04,137430,75.4,1.8,-4.1,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-05,137430,75.4,1.8,-4.1,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-06,137430,75.4,1.8,-4.1,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-07,145264,79.7,4.7,5.7,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-08,145264,79.7,4.7,5.7,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-09,145264,79.7,4.7,5.7,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-10,151445,83.1,8.4,4.3,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,243.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-11,151445,83.1,8.4,4.3,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,243.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2020-12,151445,83.1,8.4,4.3,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,243.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2021-01,149490,82.0,4.3,-1.3,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2021-02,149490,82.0,4.3,-1.3,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2021-03,149490,82.0,4.3,-1.3,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,204.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2021-04,160737,88.2,17.0,7.5,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2021-05,160737,88.2,17.0,7.5,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,226.0
http://landregistry.data.gov.uk/data/ukhpi/region/causeway-coast-and-glens/month/2021-06,160737,88.2,17.0,7.5,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/causeway-coast-and-glens,226.0
